version,label,meaning,autopos_rms,autopos_p95,static_n,static_median,static_p95,static_max,roto_n,roto_median,roto_p95,roto_max
v1-old,V1,early MDS baseline,64.23229847283386,143.90936159764362,23,50.869034759084364,77.82346941994493,109.20337555974896,34,103.5799851703901,162.61790842961219,167.21518939195965
v2,V2,IVW fusion no-delay,40.42875898501114,80.42623507995474,23,48.46903865882211,72.21279691242023,83.86396543249144,34,103.06041879252014,160.81128739661975,182.2207438063872
v3-lite,V3-lite,MAD/MVUE no-delay,40.826179188699136,81.95290749521845,23,48.60206773545057,72.05537524738887,83.10909959247046,34,103.01332979020918,160.80562437228048,182.23494202243032
v3-full,V3-full,Tukey + delay,64.91021868568188,177.98166175156052,23,52.47752619118862,85.57957804303851,199.34729551785253,34,106.72611757925702,157.80190761661453,179.29047499635507
v4-io,V4-io,Huber bounded-delay inter-anchor,44.23967568238983,88.54797670117362,23,48.38835023151112,80.587411953214,108.98580442081892,34,103.44990703411908,160.50436990343093,178.63705043210894
v4-io-roto,V4-io-roto,V4-io + RotoArm soft constraints,57.53325075651539,133.71020100432406,23,48.01701378436952,75.09974285275239,83.00407493325959,34,99.96981035272034,142.09740695692426,155.63223985350066
v4-io-wand,V4-io-wand,V4-io + W01-W04 wand soft constraints,44.195950489164694,88.49690548225364,23,48.14613879809572,79.25753812458215,97.12052941625228,34,101.88014389612931,154.748536844264,168.44814608669782
v5,V5,V4-io diagnostics,44.23967568238983,88.54797670117362,23,48.38835023151112,80.587411953214,108.98580442081892,34,103.44990703411908,160.50436990343093,178.63705043210894
