group_by,group,n,D3_median,D3_p75,D3_p95,D3_max
location,center,96,48.3598832885989,57.538162478578016,66.20773098993374,80.73341173201158
location,edge,88,50.015617379968354,69.93121843021265,93.26965845883397,199.34729551785253
height,high,64,43.29043270395799,47.90180674468913,75.61734641569006,80.97183293752914
height,low,56,58.5461239838193,65.58990395846538,77.44559991881817,86.11804096648595
height,mid,64,49.783194698409,52.31579243686482,107.20601317013386,199.34729551785253
facing,ABEF,48,48.1469063971705,52.367535290070236,60.95863971173936,73.65138520599025
facing,ADHE,40,48.53555319713634,51.06420221649256,58.20915464749415,65.84838234524162
facing,BCGF,48,50.27941661748249,53.76441525849899,67.2857769240101,80.73341173201158
facing,CDHG,48,63.30178667693151,78.72008900193283,108.98580442081892,199.34729551785253
