version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v1-old,ID25,461.82849458034946,593.0841300873661,131.25563550701668,11.255635507016677
v1-old,ID26,472.2361368895936,588.6627727935889,116.42663590399536,-3.5733640960046387
v1-old,ID27,460.2237856984258,569.4566871350024,109.23290143657664,-10.76709856342336
v1-old,ID28,467.7735767617214,592.2910959615903,124.51751919986884,4.517519199868843
v1-old,ID29,461.63845558987737,583.0577463154774,121.41929072560004,1.4192907256000353
v1-old,ID30,497.99576532990784,573.5799629180492,75.58419758814136,-44.415802411858635
v1-old,ID31,426.76844003230957,550.3045783565062,123.53613832419666,3.5361383241966564
v1-old,ID32,502.17460607718976,567.4153843850855,65.24077830789577,-54.759221692104234
v1-old,ID33,458.62662724524546,554.0566817391068,95.43005449386135,-24.56994550613865
v1-old,ID34,486.07934102444955,545.182789025692,59.1034480012425,-60.8965519987575
v1-old,ID35,460.6118009166939,546.1842775721292,85.57247665543531,-34.42752334456469
v1-old,ID36,471.8463162362977,539.5298464613271,67.68353022502941,-52.316469774970585
v1-old,ID37,457.19243822805294,541.0196051232883,83.8271668952354,-36.17283310476461
v1-old,ID38,451.3066987932535,526.6621876524988,75.35548885924533,-44.64451114075467
v1-old,ID39,446.7849543866707,548.7758186046881,101.9908642180174,-18.009135781982593
v1-old,ID40,454.341092417299,532.2535991922558,77.9125067749568,-42.087493225043204
v1-old,ID41,429.2122268091912,527.4878721304148,98.27564532122358,-21.72435467877642
v2,ID25,465.1098873331465,593.7357648970927,128.62587756394623,8.625877563946233
v2,ID26,461.253497616985,586.1132802689979,124.85978265201288,4.859782652012882
v2,ID27,466.69053718260875,569.8394953909366,103.14895820832783,-16.851041791672174
v2,ID28,474.9400299583459,594.853134713203,119.91310475485705,-0.08689524514295499
v2,ID29,457.530610017488,577.770716546981,120.240106529493,0.24010652949300493
v2,ID30,491.2239982523469,562.3409034173668,71.11690516501989,-48.88309483498011
v2,ID31,433.1081115953016,548.4240825864115,115.31597099110991,-4.684029008890093
v2,ID32,501.18223356810597,572.3235438519505,71.14131028384452,-48.85868971615548
v2,ID33,454.3977175619137,554.6010843734134,100.20336681149973,-19.796633188500266
v2,ID34,479.5844997940152,537.6769198526629,58.09242005864769,-61.90757994135231
v2,ID35,458.9734565561081,544.1869679439933,85.2135113878852,-34.786488612114795
v2,ID36,463.5089860403531,535.5557203505449,72.04673431019182,-47.95326568980818
v2,ID37,459.92017590336064,541.5165713260892,81.59639542272856,-38.40360457727144
v2,ID38,443.610060372712,519.0030211674771,75.39296079476509,-44.60703920523491
v2,ID39,446.6681969926653,544.3486827252716,97.68048573260631,-22.319514267393686
v2,ID40,442.19238014772907,524.5815721581968,82.3891920104677,-37.610807989532304
v2,ID41,432.58226221198413,527.499249414669,94.91698720268482,-25.083012797315178
v3-full,ID25,465.9601168343986,597.4070027886148,131.4468859542162,11.446885954216214
v3-full,ID26,454.53758412780564,592.4526278265647,137.91504369875906,17.915043698759064
v3-full,ID27,459.54576575840537,565.6089063745451,106.06314061613972,-13.93685938386028
v3-full,ID28,463.38832596068045,595.7684142384113,132.38008827773086,12.380088277730863
v3-full,ID29,455.0263958354571,579.7359367135986,124.70954087814147,4.709540878141468
v3-full,ID30,479.0943569914029,568.0971958363681,89.0028388449652,-30.997161155034803
v3-full,ID31,437.7101711889464,550.7971270895005,113.08695590055407,-6.913044099445926
v3-full,ID32,493.6296969222697,571.7056411320613,78.07594420979154,-41.924055790208456
v3-full,ID33,454.0943509759523,548.8733803724564,94.77902939650409,-25.220970603495914
v3-full,ID34,478.6540619268033,544.1118455883801,65.4577836615768,-54.5422163384232
v3-full,ID35,472.5102772170565,553.297205758436,80.7869285413795,-39.213071458620504
v3-full,ID36,456.6249125006122,528.7458867589935,72.1209742583813,-47.879025741618705
v3-full,ID37,453.3761776029649,532.771682134366,79.39550453140106,-40.60449546859894
v3-full,ID38,445.97901459215524,526.7722516711598,80.79323707900454,-39.20676292099546
v3-full,ID39,447.7038856572873,545.0136846333398,97.30979897605255,-22.690201023947452
v3-full,ID40,439.04784326557626,525.5099483791918,86.46210511361551,-33.53789488638449
v3-full,ID41,424.93282516236417,518.5920676795009,93.65924251713676,-26.34075748286324
v3-lite,ID25,465.1815098451958,593.8195947495811,128.63808490438532,8.638084904385323
v3-lite,ID26,461.42883591367314,586.1886975244382,124.75986161076509,4.7598616107650855
v3-lite,ID27,466.6159664294198,569.8780599564134,103.26209352699357,-16.737906473006433
v3-lite,ID28,474.89303338529027,594.8709629073331,119.97792952204287,-0.022070477957129242
v3-lite,ID29,457.57337040890627,577.8307135573913,120.257343148485,0.25734314848500617
v3-lite,ID30,491.01778674939317,562.1092479787918,71.09146122939865,-48.90853877060135
v3-lite,ID31,432.7832618114741,548.2567808230201,115.47351901154599,-4.526480988454011
v3-lite,ID32,501.07214715173774,572.236917132034,71.16476998029628,-48.835230019703715
v3-lite,ID33,454.0789775021886,554.4166080582596,100.33763055607102,-19.66236944392898
v3-lite,ID34,479.41920832690283,537.4196656483854,58.00045732148254,-61.99954267851746
v3-lite,ID35,458.6530505844692,543.9062354452811,85.25318486081193,-34.74681513918807
v3-lite,ID36,463.3568806988063,535.4007674667993,72.04388676799294,-47.956113232007056
v3-lite,ID37,459.51367380045167,541.2815210367997,81.76784723634808,-38.232152763651925
v3-lite,ID38,443.45686062612776,518.7870257353065,75.33016510917878,-44.66983489082122
v3-lite,ID39,446.3565578885542,544.095385646452,97.73882775789775,-22.261172242102248
v3-lite,ID40,442.054401054748,524.3134041903593,82.2590031356113,-37.740996864388705
v3-lite,ID41,432.2506461800184,527.2815877813638,95.03094160134538,-24.969058398654624
v4-io,ID25,465.70653264895805,595.5356380197077,129.82910537074963,9.82910537074963
v4-io,ID26,462.1445523993462,588.1934174628321,126.04886506348595,6.048865063485948
v4-io,ID27,465.79266356251713,570.1110535032419,104.31838994072478,-15.681610059275215
v4-io,ID28,471.0312440777307,595.5653465452043,124.53410246747359,4.534102467473588
v4-io,ID29,456.56299686613477,577.901723622877,121.33872675674218,1.338726756742176
v4-io,ID30,492.18380389148143,566.4059152422626,74.22211135078118,-45.77788864921882
v4-io,ID31,433.81526817930484,550.5244440040714,116.70917582476653,-3.2908241752334675
v4-io,ID32,499.31248759656785,571.893143939142,72.58065634257412,-47.419343657425884
v4-io,ID33,454.9641730768765,552.3167090315565,97.35253595467998,-22.64746404532002
v4-io,ID34,482.5754863202621,540.399857211733,57.82437089147089,-62.17562910852911
v4-io,ID35,464.38165014478017,547.4338234280625,83.05217328328234,-36.94782671671766
v4-io,ID36,464.9988378437693,535.4728857855389,70.47404794176958,-49.525952058230416
v4-io,ID37,460.28524505986593,539.1854396464654,78.90019458659947,-41.09980541340053
v4-io,ID38,445.4406187301849,522.9631592122346,77.52254048204969,-42.47745951795031
v4-io,ID39,446.9521077031848,544.0217709043882,97.06966320120335,-22.930336798796645
v4-io,ID40,444.7197479380442,527.9513346107982,83.23158667275402,-36.76841332724598
v4-io,ID41,430.8383437914091,525.8735104373836,95.03516664597453,-24.964833354025473
v4-io-roto,ID25,457.97735865597804,589.3651199972418,131.38776134126374,11.38776134126374
v4-io-roto,ID26,451.7033130901193,577.0836739502608,125.38036086014154,5.380360860141536
v4-io-roto,ID27,455.7519501223931,566.340326178767,110.58837605637387,-9.411623943626125
v4-io-roto,ID28,463.3511893296871,588.5291139763145,125.17792464662745,5.177924646627446
v4-io-roto,ID29,450.5145449339173,576.1247335581772,125.61018862425993,5.6101886242599335
v4-io-roto,ID30,471.38217740805203,549.0258327219827,77.64365531393071,-42.35634468606929
v4-io-roto,ID31,423.3133978401284,541.5787023039072,118.26530446377882,-1.7346955362211816
v4-io-roto,ID32,484.6640594976958,562.1894047633513,77.52534526565546,-42.47465473434454
v4-io-roto,ID33,444.49306497136706,547.5622376775541,103.06917270618703,-16.930827293812968
v4-io-roto,ID34,467.6816165082769,527.4305643881252,59.74894787984829,-60.25105212015171
v4-io-roto,ID35,446.72405915328295,535.7937532585735,89.06969410529052,-30.930305894709477
v4-io-roto,ID36,450.951232722502,528.7902953050755,77.83906258257343,-42.16093741742657
v4-io-roto,ID37,451.6711730999997,534.3950657651394,82.72389266513972,-37.276107334860285
v4-io-roto,ID38,430.33994916019014,509.01057036424913,78.67062120405899,-41.32937879594101
v4-io-roto,ID39,434.78992757099775,535.3730734638783,100.58314589288057,-19.416854107119434
v4-io-roto,ID40,428.84800697752087,515.8354640592241,86.98745708170327,-33.01254291829673
v4-io-roto,ID41,427.8103077233713,521.282681386811,93.47237366343967,-26.52762633656033
v4-io-td,ID25,464.2438099139078,594.8110169993965,130.56720708548875,10.567207085488747
v4-io-td,ID26,460.1470539441423,587.261739421076,127.11468547693363,7.11468547693363
v4-io-td,ID27,462.93387134521373,568.5875905361527,105.65371919093894,-14.346280809061057
v4-io-td,ID28,468.3536598052477,594.5091317905958,126.15547198534813,6.155471985348129
v4-io-td,ID29,454.74365261133596,577.3152206957193,122.57156808438333,2.5715680843833297
v4-io-td,ID30,487.1078697113197,562.8662209254088,75.75835121408909,-44.24164878591091
v4-io-td,ID31,431.1947792915677,547.9830487789632,116.78826948739544,-3.2117305126045608
v4-io-td,ID32,495.04002497917213,569.0769664741516,74.03694149497949,-45.96305850502051
v4-io-td,ID33,452.8766559677156,550.6043002610601,97.7276442933445,-22.272355706655503
v4-io-td,ID34,477.99738169115574,536.867380693045,58.869999001889255,-61.130000998110745
v4-io-td,ID35,461.31893291260985,544.7830829442454,83.46415003163554,-36.53584996836446
v4-io-td,ID36,460.4283895160725,532.5087297344062,72.08034021833367,-47.919659781666326
v4-io-td,ID37,457.06396859836934,537.0771365418899,80.01316794352056,-39.98683205647944
v4-io-td,ID38,441.3107479064635,519.627672670993,78.31692476452946,-41.68307523547054
v4-io-td,ID39,443.6255282712905,541.0570037814051,97.43147551011464,-22.568524489885363
v4-io-td,ID40,440.6922164690022,524.7728184527831,84.08060198378092,-35.91939801621908
v4-io-td,ID41,427.91401439661985,523.71040922257,95.79639482595013,-24.20360517404987
v4-io-wand,ID25,462.65092551103123,594.0087075084963,131.35778199746505,11.357781997465054
v4-io-wand,ID26,463.13128764331645,585.8096199543733,122.6783323110568,2.6783323110568062
v4-io-wand,ID27,462.0412703763862,569.1539880141382,107.11271763775204,-12.887282362247959
v4-io-wand,ID28,466.50249999017535,593.2433569903931,126.74085700021772,6.740857000217716
v4-io-wand,ID29,455.4963581491333,578.7647395447891,123.26838139565581,3.2683813956558083
v4-io-wand,ID30,487.5002726175916,562.3679816336135,74.86770901602188,-45.13229098397812
v4-io-wand,ID31,427.7558119541841,547.1771140660892,119.4213021119051,-0.5786978880948936
v4-io-wand,ID32,494.48852921333247,566.6775976854545,72.18906847212207,-47.810931527877926
v4-io-wand,ID33,452.2122239783852,550.0880625737935,97.87583859540831,-22.12416140459169
v4-io-wand,ID34,478.202400927552,536.252015003639,58.04961407608704,-61.95038592391296
v4-io-wand,ID35,457.10903203332,542.4700332080038,85.36100117468379,-34.63899882531621
v4-io-wand,ID36,461.79293524202217,533.2685099661512,71.47557472412905,-48.524425275870954
v4-io-wand,ID37,455.0792793994138,536.7914373908121,81.71215799139833,-38.28784200860167
v4-io-wand,ID38,441.10994986330775,518.943041541693,77.83309167838524,-42.166908321614756
v4-io-wand,ID39,441.06099045877795,540.5888175381824,99.52782707940446,-20.47217292059554
v4-io-wand,ID40,443.04149604829706,524.4521941739167,81.41069812561966,-38.58930187438034
v4-io-wand,ID41,426.1769514094301,523.6855564126656,97.50860500323552,-22.491394996764484
v5,ID25,465.70653264895805,595.5356380197077,129.82910537074963,9.82910537074963
