version,eval_set,rms,p50_abs,p75_abs,p95_abs,max_abs
v1-old,all1000,64.23229847283386,28.314644389452496,51.0980335579186,143.90936159764362,183.13574331507834
v1-old,first500,65.06972984377741,32.56964438945215,52.82744141883086,145.3653615976435,186.1912433150785
v1-old,last500,63.56171936447128,25.573448871224173,51.662423739335395,142.45336159764338,180.0802433150784
v2,all1000,40.42875898501114,26.999141588714565,42.853146860077004,80.42623507995474,90.70140468157024
v2,first500,40.65751946478381,27.463434889667724,44.757427246372345,80.52532997228559,92.44233985462597
v2,last500,40.30428333757223,30.09250398831705,44.424110745526605,80.11656872038218,89.20730703625486
v3-full,all1000,64.91021868568188,2.6467875438534065,11.59177823044314,177.98166175156052,220.43768917562375
v3-full,first500,65.12593251184067,4.039389717008589,14.456813887774842,178.56221345759428,219.2820415048891
v3-full,last500,64.95868791847757,3.7380159681611076,16.901695163056274,177.5889232020189,221.64612081615178
v3-lite,all1000,40.826179188699136,26.899603695380392,43.60284969389181,81.95290749521845,90.6546481661735
v3-lite,first500,41.11241644257064,27.8655562620836,44.53292078146956,81.9360922617084,93.6823713644817
v3-lite,last500,40.94492471469315,31.018586775087442,44.766341069550435,81.12636736220485,91.59721401118077
v4-io,all1000,44.23967568238983,14.917307003048563,24.865386894200583,88.54797670117362,162.11503508347687
v4-io,first500,44.52323155724863,13.897335499416613,26.190162501426357,89.1285284072074,160.95938741274222
v4-io,last500,44.379187226335574,15.41879886528909,25.113711874067235,88.15523815163199,163.3234667240049
v4-io-roto,all1000,57.53325075651539,23.462764188646588,58.68889992335153,133.71020100432406,144.43467157067334
v4-io-roto,first500,56.840967576790376,23.588848512433287,57.00051911008609,132.34845449419979,141.4205749435814
v4-io-roto,last500,58.338655801273646,24.08356668567808,60.57813460097714,133.8334218684165,147.4677526833484
v4-io-wand,all1000,44.195950489164694,17.239716689129637,27.948347233035975,88.49690548225364,162.58276759466844
v4-io-wand,first500,44.34745927711448,15.944277661895285,29.310947701728765,90.92041214195824,161.4271199239338
v4-io-wand,last500,44.449147581722094,17.876824620154594,27.32618709927374,86.97972963438482,163.79119923519647
v5,all1000,44.23967568238983,14.917307003048563,24.865386894200583,88.54797670117362,162.11503508347687
v5,first500,44.52323155724863,13.897335499416613,26.190162501426357,89.1285284072074,160.95938741274222
v5,last500,44.379187226335574,15.41879886528909,25.113711874067235,88.15523815163199,163.3234667240049
