version,delay_min,delay_max,delay_l2,n_near_bounds_55mm,tag_delay_mm
v1-old,0.0,0.0,0.0,0,0.0
v2,0.0,0.0,0.0,0,0.0
v3-lite,0.0,0.0,0.0,0,0.0
v3-full,-103.58304437950528,51.683997633057515,122.14351022693153,1,0.0
v4-io,-2.381762011646609,32.45992677534163,44.143860237816675,0,0.0
v4-io-td,-2.381762011646609,32.45992677534163,44.143860237816675,0,3.5
v4-io-roto,-29.04001433296094,14.884962241838489,36.741059279072914,0,0.0
v4-io-wand,-9.922612344720669,59.99999999999999,64.07978576782703,1,0.0
v5,-2.381762011646609,32.45992677534163,44.143860237816675,0,0.0
