version,location,height,facing,n,D3_median,D3_p75,D3_p95,D3_max
v1-old,center,high,ABEF,1,43.1545557745673,43.1545557745673,43.1545557745673,43.1545557745673
v1-old,center,high,ADHE,1,40.62285254465849,40.62285254465849,40.62285254465849,40.62285254465849
v1-old,center,high,BCGF,1,50.869034759084364,50.869034759084364,50.869034759084364,50.869034759084364
v1-old,center,high,CDHG,1,43.328629104157045,43.328629104157045,43.328629104157045,43.328629104157045
v1-old,center,low,ABEF,1,62.14670872070142,62.14670872070142,62.14670872070142,62.14670872070142
v1-old,center,low,ADHE,1,58.376713101532346,58.376713101532346,58.376713101532346,58.376713101532346
v1-old,center,low,BCGF,1,72.63892067019539,72.63892067019539,72.63892067019539,72.63892067019539
v1-old,center,low,CDHG,1,61.099828857656384,61.099828857656384,61.099828857656384,61.099828857656384
v1-old,center,mid,ABEF,1,58.59152502189075,58.59152502189075,58.59152502189075,58.59152502189075
v1-old,center,mid,ADHE,1,49.75083210633598,49.75083210633598,49.75083210633598,49.75083210633598
v1-old,center,mid,BCGF,1,48.34886771496236,48.34886771496236,48.34886771496236,48.34886771496236
v1-old,center,mid,CDHG,1,44.116415145583616,44.116415145583616,44.116415145583616,44.116415145583616
v1-old,edge,high,ABEF,1,39.09780418717728,39.09780418717728,39.09780418717728,39.09780418717728
v1-old,edge,high,ADHE,1,50.923208010864755,50.923208010864755,50.923208010864755,50.923208010864755
v1-old,edge,high,BCGF,1,32.51396773738923,32.51396773738923,32.51396773738923,32.51396773738923
v1-old,edge,high,CDHG,1,54.650184469028275,54.650184469028275,54.650184469028275,54.650184469028275
v1-old,edge,low,ABEF,1,49.748727779179454,49.748727779179454,49.748727779179454,49.748727779179454
v1-old,edge,low,BCGF,1,56.84861254715801,56.84861254715801,56.84861254715801,56.84861254715801
v1-old,edge,low,CDHG,1,78.39953039213933,78.39953039213933,78.39953039213933,78.39953039213933
v1-old,edge,mid,ABEF,1,49.81555729048202,49.81555729048202,49.81555729048202,49.81555729048202
v1-old,edge,mid,ADHE,1,48.32875152506568,48.32875152506568,48.32875152506568,48.32875152506568
v1-old,edge,mid,BCGF,1,51.04808288297446,51.04808288297446,51.04808288297446,51.04808288297446
v1-old,edge,mid,CDHG,1,109.20337555974896,109.20337555974896,109.20337555974896,109.20337555974896
v2,center,high,ABEF,1,43.24695389648583,43.24695389648583,43.24695389648583,43.24695389648583
v2,center,high,ADHE,1,39.728124546018755,39.728124546018755,39.728124546018755,39.728124546018755
v2,center,high,BCGF,1,43.07426525871735,43.07426525871735,43.07426525871735,43.07426525871735
v2,center,high,CDHG,1,44.34934587768487,44.34934587768487,44.34934587768487,44.34934587768487
v2,center,low,ABEF,1,56.842937847330404,56.842937847330404,56.842937847330404,56.842937847330404
v2,center,low,ADHE,1,56.82925433883757,56.82925433883757,56.82925433883757,56.82925433883757
v2,center,low,BCGF,1,60.56121225020209,60.56121225020209,60.56121225020209,60.56121225020209
v2,center,low,CDHG,1,57.41627335997965,57.41627335997965,57.41627335997965,57.41627335997965
v2,center,mid,ABEF,1,50.560434862471716,50.560434862471716,50.560434862471716,50.560434862471716
v2,center,mid,ADHE,1,47.52455358079269,47.52455358079269,47.52455358079269,47.52455358079269
v2,center,mid,BCGF,1,46.542502505654134,46.542502505654134,46.542502505654134,46.542502505654134
v2,center,mid,CDHG,1,44.39081778866514,44.39081778866514,44.39081778866514,44.39081778866514
v2,edge,high,ABEF,1,38.9005145808058,38.9005145808058,38.9005145808058,38.9005145808058
v2,edge,high,ADHE,1,48.46903865882211,48.46903865882211,48.46903865882211,48.46903865882211
v2,edge,high,BCGF,1,32.37719412411194,32.37719412411194,32.37719412411194,32.37719412411194
v2,edge,high,CDHG,1,71.73221090695334,71.73221090695334,71.73221090695334,71.73221090695334
v2,edge,low,ABEF,1,47.52732819945507,47.52732819945507,47.52732819945507,47.52732819945507
v2,edge,low,BCGF,1,51.54477234017462,51.54477234017462,51.54477234017462,51.54477234017462
v2,edge,low,CDHG,1,72.26619535747211,72.26619535747211,72.26619535747211,72.26619535747211
v2,edge,mid,ABEF,1,48.10646428563571,48.10646428563571,48.10646428563571,48.10646428563571
v2,edge,mid,ADHE,1,48.81175914378304,48.81175914378304,48.81175914378304,48.81175914378304
v2,edge,mid,BCGF,1,51.66974467202412,51.66974467202412,51.66974467202412,51.66974467202412
v2,edge,mid,CDHG,1,83.86396543249144,83.86396543249144,83.86396543249144,83.86396543249144
v3-full,center,high,ABEF,1,48.37089886223544,48.37089886223544,48.37089886223544,48.37089886223544
v3-full,center,high,ADHE,1,44.413057769285494,44.413057769285494,44.413057769285494,44.413057769285494
v3-full,center,high,BCGF,1,40.57632321693447,40.57632321693447,40.57632321693447,40.57632321693447
v3-full,center,high,CDHG,1,52.365340203675714,52.365340203675714,52.365340203675714,52.365340203675714
v3-full,center,low,ABEF,1,73.65138520599025,73.65138520599025,73.65138520599025,73.65138520599025
v3-full,center,low,ADHE,1,65.84838234524162,65.84838234524162,65.84838234524162,65.84838234524162
v3-full,center,low,BCGF,1,80.73341173201158,80.73341173201158,80.73341173201158,80.73341173201158
v3-full,center,low,CDHG,1,65.50374449620664,65.50374449620664,65.50374449620664,65.50374449620664
v3-full,center,mid,ABEF,1,53.11886877500208,53.11886877500208,53.11886877500208,53.11886877500208
v3-full,center,mid,ADHE,1,49.91312596539535,49.91312596539535,49.91312596539535,49.91312596539535
v3-full,center,mid,BCGF,1,49.84567032001575,49.84567032001575,49.84567032001575,49.84567032001575
v3-full,center,mid,CDHG,1,51.40664056582118,51.40664056582118,51.40664056582118,51.40664056582118
v3-full,edge,high,ABEF,1,41.825289427811775,41.825289427811775,41.825289427811775,41.825289427811775
v3-full,edge,high,ADHE,1,47.62327179984195,47.62327179984195,47.62327179984195,47.62327179984195
v3-full,edge,high,BCGF,1,43.11629933599697,43.11629933599697,43.11629933599697,43.11629933599697
v3-full,edge,high,CDHG,1,75.01237212785247,75.01237212785247,75.01237212785247,75.01237212785247
v3-full,edge,low,ABEF,1,52.47752619118862,52.47752619118862,52.47752619118862,52.47752619118862
v3-full,edge,low,BCGF,1,59.39476102086972,59.39476102086972,59.39476102086972,59.39476102086972
v3-full,edge,low,CDHG,1,86.11804096648595,86.11804096648595,86.11804096648595,86.11804096648595
v3-full,edge,mid,ABEF,1,44.34729115642063,44.34729115642063,44.34729115642063,44.34729115642063
v3-full,edge,mid,ADHE,1,53.78770276317684,53.78770276317684,53.78770276317684,53.78770276317684
v3-full,edge,mid,BCGF,1,61.886866896913524,61.886866896913524,61.886866896913524,61.886866896913524
v3-full,edge,mid,CDHG,1,199.34729551785253,199.34729551785253,199.34729551785253,199.34729551785253
v3-lite,center,high,ABEF,1,43.25529224253966,43.25529224253966,43.25529224253966,43.25529224253966
v3-lite,center,high,ADHE,1,39.7490833460733,39.7490833460733,39.7490833460733,39.7490833460733
v3-lite,center,high,BCGF,1,43.19954568400526,43.19954568400526,43.19954568400526,43.19954568400526
