version,anchor,delta_x,delta_y,delta_z,delta_xy,delta_3d,delta_delay
v1-old,A,-4.935807654850123,6.271904581164108,9.17307275013809,7.981164343684723,12.159122006141331,0.0
v1-old,B,6.376856838870481,4.088586671340181,-3.9925086614794054,7.575014462858127,8.562766464437638,0.0
v1-old,C,0.565756039119151,-2.4318037176735743,-9.04299624062628,2.4967477279634815,9.381339468597853,0.0
v1-old,D,-1.868105374797409,-3.829071179553466,10.917183628707676,4.260469902420851,11.71906575509997,0.0
v1-old,E,2.7119122138677056,0.22007728686664763,-4.430692848529361,2.720827423398887,5.1994173698529575,0.0
v1-old,F,-3.6014816519827946,-0.17802886045762278,-1.1630925779340942,3.605879138951354,3.7888189069378777,0.0
v1-old,G,-1.9155591164289945,-2.2158277313146755,13.917951749960821,2.929037258792959,14.222821104746936,0.0
v1-old,H,2.6664287062012235,-1.925837050372138,-15.37891780023665,3.2891777680508527,15.726722579618286,0.0
v2,A,-0.02463565698644743,6.393628266741871,0.359693466253475,6.393675729099484,6.403785499104514,0.0
v2,B,2.909544288513189,4.388631159523811,-4.317798623887825,5.2655039095193,6.809472547680226,0.0
v2,C,-2.3042294942583794,-2.883635437178782,1.8039534872640388,3.6911823169227893,4.108415154408763,0.0
v2,D,2.579949333218707,-5.134467863812461,-0.04840825309321417,5.746207341064064,5.7464112422855775,0.0
v2,E,-0.5925900344580128,0.6596560713301756,4.481538349750053,0.8867407069610093,4.568423695506158,0.0
v2,F,-1.8295853112658733,-0.23830213433766545,-1.2824424198797715,1.8450393812679797,2.246959919254639,0.0
v2,G,-1.269693560351243,-1.495139263591227,5.321080997926174,1.9615206230701556,5.671108017065143,0.0
v2,H,0.5312404355851863,-1.6903707986721201,-6.31761700433276,1.7718831331112557,6.561391197820672,0.0
v3-lite,A,0.32026665910825614,6.0438710000667015,2.0482985092045283,6.052350568034178,6.389559779921707,0.0
v3-lite,B,3.9445939996808193,4.947529161650436,-6.508311505279721,6.327548231953621,9.077223434368893,0.0
v3-lite,C,-2.9936474212095163,-3.138374681698224,4.947779940042892,4.33720192350308,6.579654007645817,0.0
v3-lite,D,0.7556075441641497,-4.078153831314012,-2.5385067593660153,4.147563312676364,4.862745932084657,0.0
v3-lite,E,-0.23569006951017002,0.13852922183374972,7.318550106842849,0.27338645571346987,7.323654539950464,0.0
v3-lite,F,-3.2622184252295483,-0.5170232786335767,-4.094724230206793,3.302935380015202,5.260812546175617,0.0
v3-lite,G,-0.18807581221290093,-2.049658932478451,6.207874984003865,2.058269722516523,6.540197708605547,0.0
v3-lite,H,1.6591635252099879,-1.346718659427097,-7.380961045241747,2.1369311526196513,7.684078389918501,0.0
v3-full,A,-62.441563845963174,1.5485978469437214,-61.353932997963625,62.460764090915944,87.55371005925257,0.0
v3-full,B,68.92353218345625,-71.33648548803603,33.4663135478371,99.19348491926627,104.68687402397136,-73.96195137208451
v3-full,C,-35.33002063814183,-29.6104710438849,-17.79922397933376,46.097617657882,49.41460035251488,10.895300940073412
v3-full,D,-34.66479077663388,32.4594274823321,34.89005650226068,47.48960046229677,58.92858554894662,-62.35498685335756
v3-full,E,130.2848606437965,106.41860596498509,95.54402492456711,168.22325822698903,193.46246485375536,165.49532660904288
v3-full,F,-54.336444396322804,-25.323432052842506,-48.429327755381564,59.947688867625345,77.06571992402188,-9.753170023410576
v3-full,G,-8.264200788501967,-16.81187775774106,-4.505102366597384,18.733292513968415,19.267386842730552,3.823332579948328
v3-full,H,-4.171372381689935,2.6556350482433118,-31.8128078753889,4.944971694174176,32.1948363867964,2.8416322732641675
v4-io,A,1.5504034067014345,4.875884247348949,4.388601100514165,5.116443874123613,6.740757934868392,0.0
v4-io,B,7.101797509751123,2.00086488241368,-6.657222055577108,7.378278128885055,9.937685527548446,-2.7221373458857165
v4-io,C,-4.344359931270901,-3.3161177183246764,6.591940439566429,5.465354511302901,8.562930496798991,-0.21024064427867728
v4-io,D,-3.496462033894062,-3.438284924694017,-2.865151114063579,4.903779152637356,5.679448994775859,-4.05925803153189
v4-io,E,-2.4488542362460777,6.786063865943504,10.743902965076131,7.214398787358823,12.941367809702966,0.2272391123459716
v4-io,F,-2.336983484038683,-2.441218858109437,-8.824183643568858,3.379503117006807,9.449193526078663,-2.2835166366343316
v4-io,G,1.3686363049664578,-1.8384858537856417,8.352080451447137,2.2919850719064816,8.66085696898913,0.40953525992494955
v4-io,H,2.6058224640293375,-2.6287056407909404,-11.729968143394672,3.7014056870283802,12.30010393065928,-0.13843663135735218
v4-io-td,A,1.5504034067014345,4.875884247348949,4.388601100514165,5.116443874123613,6.740757934868392,0.0
v4-io-td,B,7.101797509751123,2.00086488241368,-6.657222055577108,7.378278128885055,9.937685527548446,-2.7221373458857165
v4-io-td,C,-4.344359931270901,-3.3161177183246764,6.591940439566429,5.465354511302901,8.562930496798991,-0.21024064427867728
v4-io-td,D,-3.496462033894062,-3.438284924694017,-2.865151114063579,4.903779152637356,5.679448994775859,-4.05925803153189
v4-io-td,E,-2.4488542362460777,6.786063865943504,10.743902965076131,7.214398787358823,12.941367809702966,0.2272391123459716
v4-io-td,F,-2.336983484038683,-2.441218858109437,-8.824183643568858,3.379503117006807,9.449193526078663,-2.2835166366343316
v4-io-td,G,1.3686363049664578,-1.8384858537856417,8.352080451447137,2.2919850719064816,8.66085696898913,0.40953525992494955
v4-io-td,H,2.6058224640293375,-2.6287056407909404,-11.729968143394672,3.7014056870283802,12.30010393065928,-0.13843663135735218
v4-io-roto,A,0.88564970861853,2.9834387778346354,3.5711694247669357,3.112118626830203,4.736932911479085,0.0
v4-io-roto,B,5.786450823691666,1.491620402013723,-9.06494425373296,5.975612483980663,10.85730900739183,-1.38153879517726
v4-io-roto,C,-3.2864075486850197,-2.155538180748408,6.5799588644924825,3.9302441940314647,7.664377214303276,-1.3558280064469521
v4-io-roto,D,0.15701504293426183,0.266274619689284,-7.03654933715876,0.30912116847333654,7.043336032809148,1.5097355670220765
v4-io-roto,E,-1.6600596570334147,-1.7077608978611636,10.017333058993245,2.381647612299827,10.296562871365008,0.04568969143107804
v4-io-roto,F,-4.282109685485466,0.17464296676767788,-5.570659351849599,4.285669553800182,7.028457095175246,0.3072525873287546
v4-io-roto,G,1.0320245328807687,-0.23263168472749385,9.171026669545427,1.0579187762805426,9.231842844780255,1.038318245351124
v4-io-roto,H,1.3674367830776788,-0.8200460029720489,-7.667335075056826,1.5944775955479162,7.83137190764817,-0.10979892568125216
