event_id,node,start_s,end_s,solutions_during,median_response_mm,p95_response_mm,reason
E001,BSF3C79,485.0,487.0,17,79.96640828131282,182.36145512906464,
E001,BSFC2CC,485.0,487.0,18,54.318125632070604,223.3686002744843,
E001,BSF44AD,485.0,487.0,17,58.091889038924634,187.7916427600591,
E001,BSF6C53,485.0,487.0,17,113.76803408615618,259.97996560502963,
E001,BSF8BC4,485.0,487.0,16,36.905884455902715,91.3742129279726,
E001,BSF1120,485.0,487.0,17,156.66732210225382,359.9912034011755,
E001,BSF31CC,485.0,487.0,17,74.19469272960758,154.42759327818044,
E001,BSFAA61,485.0,487.0,17,204.21644204499583,392.1648878295729,
E001,BSFB165,485.0,487.0,17,62.24703629280328,126.39034970375918,
E001,BSFEC35,485.0,487.0,17,49.61156511513019,101.02509675885284,
E005,BSF3C79,518.0,519.0,9,56.92778424671981,143.35608585900428,
E005,BSFC2CC,518.0,519.0,8,68.85599659538202,108.65677531998618,
E005,BSF44AD,518.0,519.0,8,46.67175209659621,121.40670854938305,
E005,BSF6C53,518.0,519.0,9,90.88331388597523,224.77560612187042,
E005,BSF8BC4,518.0,519.0,8,54.56444128217176,121.64368037143095,
E005,BSF1120,518.0,519.0,8,78.80767149733012,151.53714378443428,
E005,BSF31CC,518.0,519.0,9,179.052213239668,418.6887405014419,
E005,BSFAA61,518.0,519.0,9,195.81019098155866,277.353426803053,
E005,BSFB165,518.0,519.0,9,55.49550834126595,251.0207174430304,
E005,BSFEC35,518.0,519.0,8,43.58850092556862,86.39348187942714,
E008,BSF3C79,599.0,600.0,8,39.311256457080205,59.34368243713003,
E008,BSFC2CC,599.0,600.0,8,85.0183365511862,93.56622314711528,
E008,BSF44AD,599.0,600.0,8,57.25810168174506,140.89413902358154,
E008,BSF6C53,599.0,600.0,8,155.2119057696694,260.56571924816706,
E008,BSF8BC4,599.0,600.0,8,41.695820883995836,74.22130094199228,
E008,BSF1120,599.0,600.0,8,44.15355257849999,76.77456936180862,
E008,BSF31CC,599.0,600.0,9,275.8918687947479,418.43746748113136,
E008,BSFAA61,599.0,600.0,9,83.98896539494464,118.85872704277007,
E008,BSFB165,599.0,600.0,9,44.45932490270939,89.63961324457941,
E008,BSFEC35,599.0,600.0,8,48.41187579400839,110.6097840844229,
E009,BSF3C79,614.0,616.0,16,125.75147538956548,175.9147729864835,
E009,BSFC2CC,614.0,616.0,16,84.67840643799019,132.60374499971837,
E009,BSF44AD,614.0,616.0,17,77.37557824392744,190.87391654369495,
E009,BSF6C53,614.0,616.0,17,128.41972917950335,258.2516444476709,
E009,BSF8BC4,614.0,616.0,16,53.25669581373051,102.32277647948598,
E009,BSF1120,614.0,616.0,17,74.00468799633977,120.68976741052526,
E009,BSF31CC,614.0,616.0,17,79.11076384344175,219.82433745363002,
E009,BSFAA61,614.0,616.0,17,101.14482676305367,324.3768185352588,
E009,BSFB165,614.0,616.0,17,54.21429043885846,230.75838607901673,
E009,BSFEC35,614.0,616.0,17,55.54140534161634,79.1485106275621,
E010,BSF3C79,671.0,673.0,16,65.1216389334052,175.06374099883183,
E010,BSFC2CC,671.0,673.0,16,128.1138611978464,255.5014138831266,
E010,BSF44AD,671.0,673.0,17,63.27352972236669,119.49096827544165,
E010,BSF6C53,671.0,673.0,16,171.80395422821914,318.71419037964085,
E010,BSF8BC4,671.0,673.0,16,42.46092240921915,94.6177620427523,
E010,BSF1120,671.0,673.0,16,79.58891461845882,118.08889205361055,
