node,platform,start_s,end_s,records,solutions,valid_solution_rate,median_x_mm,median_y_mm,median_z_mm,rms_scatter_mm,p95_scatter_mm,vertical_scatter_std_mm
BSF3C79,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,2825.3753954124436,1356.6361075029345,1109.0693134235514,71.27252903023722,123.7230626613708,56.47836164567135
BSFC2CC,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,3311.752530048735,992.2263130929946,1223.7736073076376,56.53762740458252,98.46114841588367,43.08826615101241
BSF44AD,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,2875.0634415302793,1109.3646770242062,1166.627209280322,69.10699360535092,125.23960219275041,57.887698857935526
BSF6C53,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,925.9328545758653,134.91032699520986,685.6486053948292,169.2024897995115,302.8836263369127,145.2394229988337
BSF8BC4,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,2943.9729503531503,762.8872743865285,939.9854567846503,47.69878430470943,81.7819906001513,37.432723282703336
BSF1120,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,3426.8064198686898,293.8039274794132,804.9992625439551,52.72406493281397,86.5041529784507,37.56433930598689
BSF31CC,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,3229.7458472122767,1178.3741079168817,1043.1513995527375,60.269108066500245,102.80063996063394,41.89978191560613
BSFAA61,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,3375.836271541256,503.75753823709425,1314.2106481033904,162.3501403736415,313.9404972976304,152.9552968465092
BSFB165,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,3052.8800279492775,1489.6095282642827,1084.4626249428768,63.06969744809083,104.08978262352585,39.59537283313953
BSFEC35,T0_PLUS_1_TO_484,1.0,484.0,4025,4025,1.0,2966.9004300040606,398.97911718341254,948.5808993996678,49.225410040517254,81.69417562639084,34.06171462557805
