node,platform,start_s,end_s,records,solutions,valid_solution_rate,median_x_mm,median_y_mm,median_z_mm,rms_scatter_mm,p95_scatter_mm,vertical_scatter_std_mm,delta_from_pre_x_mm,delta_from_pre_y_mm,delta_from_pre_z_mm,delta_norm_mm
BSFC2CC,PRE_MOVE_COMMON_STATIC,1.0,484.0,4025,4025,1.0,3311.752530048735,992.2263130929946,1223.7736073076376,56.53762740458252,98.46114841588367,43.08826615101241,,,,
BSFC2CC,POST_MOVE_COMMON_STATIC,506.0,535.0,241,241,1.0,3613.3982947269906,305.5148246529579,846.1596847992838,129.70064144399376,218.29801985500873,99.73607512787413,301.64576467825555,-686.7114884400366,-377.61392250835377,839.7351428730401
BSFAA61,PRE_MOVE_COMMON_STATIC,1.0,484.0,4025,4025,1.0,3375.836271541256,503.75753823709425,1314.2106481033904,162.3501403736415,313.9404972976304,152.9552968465092,,,,
BSFAA61,POST_MOVE_COMMON_STATIC,506.0,535.0,242,242,1.0,3369.8466458953526,237.84954020720693,811.4798752224171,155.34310769431133,325.44166892481553,84.79975095703921,-5.989625645903288,-265.9079980298873,-502.7307728809733,568.7540496850473
