task,status,elapsed_s,key_finding,mean_cpu_percent
R1,ok,16.0416756300001,median improvement 0.7 mm,28.433333333333334
R2,ok,0.27474667100068473,best D_Sim3_existing_beta 74.3 mm,18.2
R3,ok,51.52994597599991,independent 101.1 mm,28.81860465116279
R4,ok,0.15709054099988862,gap 45.5 mm,20.0
R5,ok,92.48082643199996,soft_nlos 104.2 mm,28.436956521739127
R6,ok,15.483341714000744,worst sector 300 deg,29.148387096774186
