capture_id,tag,delta_t_opt_ms,improvement_mm,method
R01,BS2DCE,21.0,0.6826098038552288,median_3d_grid
R01,BSDC91,-4.0,0.28715221060224394,median_3d_grid
R02,BS2DCE,37.0,2.1158479827395524,median_3d_grid
R02,BSDC91,-9.0,0.5590002283632174,median_3d_grid
R03,BS2DCE,20.0,1.3711717267569554,median_3d_grid
R03,BSDC91,-32.0,4.849966903201818,median_3d_grid
R04,BS2DCE,-15.0,0.75862959761767,median_3d_grid
R04,BSDC91,-5.0,0.6819848957910608,median_3d_grid
R05,BS2DCE,21.0,2.5115479353443106,median_3d_grid
R05,BSDC91,-9.0,0.12112281945439918,median_3d_grid
R06,BS2DCE,14.0,0.7501935489165703,median_3d_grid
R06,BSDC91,-18.0,0.3605158971682698,median_3d_grid
R07,BS2DCE,44.0,4.309213381454612,median_3d_grid
R07,BSDC91,15.0,1.27981034541736,median_3d_grid
R08,BS2DCE,21.0,0.3326680740053263,median_3d_grid
R08,BSDC91,-8.0,0.38017398959893,median_3d_grid
R09,BS2DCE,5.0,0.05984951416911599,median_3d_grid
R09,BSDC91,7.0,0.4136259706289138,median_3d_grid
R10,BS2DCE,-7.0,0.35306804581065876,median_3d_grid
R10,BSDC91,-5.0,0.19469673638772633,median_3d_grid
R11,BS2DCE,0.0,0.0,median_3d_grid
R11,BSDC91,1.0,0.22889388656768972,median_3d_grid
R12,BS2DCE,-2.0,0.25025439982546516,median_3d_grid
R12,BSDC91,-20.0,1.0302101655706508,median_3d_grid
R13,BS2DCE,-16.0,2.0110709562243017,median_3d_grid
R13,BSDC91,4.0,0.8215063237703362,median_3d_grid
R14,BS2DCE,0.0,0.0,median_3d_grid
R14,BSDC91,-14.0,0.6045399018650954,median_3d_grid
R15,BS2DCE,14.0,0.8868469835203001,median_3d_grid
R15,BSDC91,42.0,3.866709131130804,median_3d_grid
R16,BS2DCE,21.0,1.5320156680068493,median_3d_grid
R16,BSDC91,-17.0,0.8188038143179313,median_3d_grid
R17,BS2DCE,-25.0,1.1004220784335246,median_3d_grid
R17,BSDC91,4.0,0.9539407000050062,median_3d_grid
