method,overall_median,overall_p95,overall_rmse,median_scale_factor
A_none_beta0,557.9244526041106,841.1542357277308,606.0747903890942,1.0
B_translation_existing_beta,83.7474173468712,189.9675397401035,108.49964433138561,1.0
C_SE3_existing_beta,81.65097251689113,183.60475756588318,103.75599791161021,1.0
D_Sim3_existing_beta,74.26356175882631,160.79304407937283,94.81105197947247,0.9059073378951812
E_current_anchor_bridge_existing_beta,101.48477739653228,214.36931339438956,126.22614768446928,1.0
F_time_corrected_SE3,82.51641444727665,185.20662628073393,103.74573775790896,1.0
