sector_deg,mean_median_3d,worst_anchor
0,106.47905505377932,H
30,106.28899578369256,F
60,108.24208181477479,A
90,105.05134880018491,A
120,106.1578309494668,H
150,98.83410675428419,D
180,86.77561865538156,D
210,102.90584058902058,C
240,82.81432592031994,H
270,87.40705460740831,D
300,117.70644100451005,D
330,108.75852413274374,D
