capture_id,tag,frame,anchor_id,rolling_std,p_nlos
R01,BS2DCE,1277,0,88.40277143845927,0.3414972459001458
R01,BS2DCE,1278,0,88.40277143845927,0.3414972459001458
R01,BS2DCE,1279,0,88.40277143845927,0.3414972459001458
R01,BS2DCE,1280,0,88.40277143845927,0.3414972459001458
R01,BS2DCE,1281,0,135.56290052960657,0.38379967239353374
R01,BS2DCE,1282,0,125.61528569405876,0.3747038116144873
R01,BS2DCE,1283,0,121.59319373182352,0.371050679149053
R01,BS2DCE,1284,0,116.22146347137682,0.36619468569447233
R01,BS2DCE,1285,0,109.86216111311687,0.360480952006638
R01,BS2DCE,1286,0,110.89038631810145,0.3614021715749604
R01,BS2DCE,1287,0,112.02451030507079,0.3624194524592128
R01,BS2DCE,1288,0,112.11935604524318,0.36250458273018665
R01,BS2DCE,1289,0,110.35310458844238,0.36092067618477514
R01,BS2DCE,1290,0,106.18902904777828,0.35719849533372594
R01,BS2DCE,1291,0,103.47040064445395,0.354777602555267
R01,BS2DCE,1292,0,108.18310096005446,0.35897883710447687
R01,BS2DCE,1293,0,121.16824108263195,0.37066556052664323
R01,BS2DCE,1294,0,147.83518468235275,0.39513356530267185
R01,BS2DCE,1295,0,168.9162393212468,0.4148620607548635
R01,BS2DCE,1296,0,196.20260741869538,0.4407997892236565
R01,BS2DCE,1297,0,231.21942187591324,0.47454559465411417
R01,BS2DCE,1298,0,253.5523355090724,0.4962098207177238
R01,BS2DCE,1299,0,274.71384154578385,0.5167521684422889
R01,BS2DCE,1300,0,288.4923195183064,0.530101464114625
R01,BS2DCE,1301,0,293.12113536898,0.5345774009760487
R01,BS2DCE,1302,0,310.43525895104096,0.5512646296444252
R01,BS2DCE,1303,0,323.9341185455687,0.5641970599965459
R01,BS2DCE,1304,0,341.42963750737994,0.5808269186603726
R01,BS2DCE,1305,0,345.3893912368287,0.5845667998977053
R01,BS2DCE,1306,0,333.935291557164,0.5737235597649731
R01,BS2DCE,1307,0,313.5354046993731,0.5542414793629185
R01,BS2DCE,1308,0,284.89693427254423,0.5266214445248407
R01,BS2DCE,1309,0,249.110755329938,0.49189750040783675
R01,BS2DCE,1310,0,212.39666837509876,0.4563572462968816
R01,BS2DCE,1311,0,180.91355161483696,0.42621716461706066
