component,estimated_mm,method,notes
D_tag mismatch,22.85996656553211,median |ROTO Dtag_est - static 49.621|,"Upper-bound proxy, not orthogonal contribution."
Motion blur,6.39234421534392,median Vicon speed * 10 ms,Uses nominal poll window.
Time alignment recoverable,0.7164016763858854,R1 before-after median improvement,Recoverable portion from offset sweep.
Range aggregation / dynamic single-frame,0.0,dynamic median relative to 101.5 reference,Proxy only; static subsampling not rerun here.
Unexplained,15.505064939270362,dynamic-static gap minus listed proxies,gap=45.5 mm
TOTAL static-to-dynamic gap,45.47377739653228,median dynamic track error - static best,"dynamic=101.5, static=56.0"
