method,median_3d,p95,rmse,n_frames
uniform,104.91759753071223,277.48749984205494,156.7319882562501,40661
soft_nlos,104.23815933331707,268.14503697165617,149.94636082208115,40661
hard_reject,105.36586380208844,278.43030879185574,155.40047670587586,40661
