pair,v1_mean,v2_ivw,v3_mvue,v2_minus_v1,v3_minus_v1,sigma_ab_mad,sigma_ba_mad,n_ab,n_ba
A-B,4529.883,4529.74820056673,4529.840713813615,-0.1347994332700182,-0.04228618638444459,20.0151,20.7564,500,500
A-C,5352.539,5349.907725304331,5348.3179961884025,-2.6312746956691626,-4.221003811597257,35.5824,27.428099999999997,500,500
A-D,3025.134,3027.353039063791,3026.8647214854113,2.219039063791115,1.7307214854113226,16.3086,23.7216,500,500
A-E,1493.786,1493.7933170933106,1492.8943731490624,0.0073170933105757285,-0.891626850937655,16.3086,17.049899999999997,500,500
A-F,4911.741,4909.72797978216,4911.542465753424,-2.0130202178397667,-0.19853424657594587,31.1346,25.2042,500,500
A-G,5515.762,5516.8765175706185,5516.365853658537,1.1145175706187729,0.6038536585374459,17.7912,22.238999999999997,500,500
A-H,3258.123,3258.1285803684677,3258.580071174377,0.005580368467690278,0.4570711743767788,19.273799999999998,20.0151,500,500
B-C,3102.733,3103.1402520106685,3102.656050955414,0.40725201066834416,-0.0769490445863994,40.771499999999996,22.238999999999997,500,500
B-D,5340.473,5340.4636560922845,5338.962277580071,-0.00934390771544713,-1.5107224199291522,40.0302,38.547599999999996,500,500
B-E,4758.477,4758.464044772608,4760.0,-0.012955227392012603,1.5230000000001382,20.7564,26.686799999999998,500,500
B-F,1853.613,1854.5663889028237,1855.2522639068563,0.9533889028236899,1.6392639068562858,25.2042,32.6172,500,500
B-G,3295.944,3295.1938791377756,3296.0000000000005,-0.7501208622243212,0.056000000000494765,29.651999999999997,29.651999999999997,500,500
B-H,5591.724,5591.482610454524,5591.8287112561175,-0.24138954547652247,0.10471125611729803,26.686799999999998,25.2042,500,500
C-D,4454.075,4455.513724576163,4454.363422555717,1.4387245761636223,0.2884225557172613,44.477999999999994,54.1149,500,500
C-E,5571.411,5564.539036103166,5564.248698239524,-6.8719638968341314,-7.162301760476112,20.7564,42.2541,500,500
C-F,3356.32,3356.3489247169405,3357.7345767575325,0.028924716940309736,1.414576757532359,23.7216,31.1346,500,500
C-G,1519.237,1521.1433037282209,1522.0404207053002,1.9063037282207915,2.803420705300141,29.651999999999997,42.2541,500,500
C-H,4807.574,4806.937887588419,4806.580110497237,-0.6361124115810526,-0.9938895027626131,40.0302,44.477999999999994,500,500
D-E,3403.111,3403.130917999142,3404.5,0.019917999142307963,1.3890000000001237,28.1694,28.1694,500,500
D-F,5694.86,5695.398717301036,5694.878048780487,0.5387173010367405,0.018048780487333715,22.238999999999997,17.7912,500,500
D-G,4675.972,4676.0257693774865,4677.433628318584,0.05376937748678756,1.4616283185841894,20.7564,23.7216,500,500
D-H,1546.586,1545.7015207501533,1545.840262582057,-0.8844792498466632,-0.745737417943019,42.9954,56.3388,500,500
E-F,4471.677,4472.5721528998,4473.423857868021,0.8951528998004505,1.7468578680209248,19.273799999999998,22.238999999999997,500,500
E-G,5367.339,5367.851170219652,5368.057879656161,0.5121702196520346,0.7188796561613344,20.7564,22.9803,500,500
E-H,2969.604,2969.6851813121843,2968.566371681416,0.08118131218452618,-1.0376283185837565,31.1346,35.5824,500,500
F-G,3070.74,3071.407027392949,3071.9530685920577,0.6670273929494215,1.2130685920578799,13.343399999999999,20.7564,500,500
F-H,5417.932,5417.4247242503125,5418.1176470588225,-0.5072757496873237,0.18564705882272392,26.686799999999998,31.1346,500,500
G-H,4529.169,4528.22986193725,4528.44089456869,-0.9391380627503167,-0.7281054313098139,19.273799999999998,17.7912,500,500
