file,rows
tables/item01_per_tier_range_residual_dtag.csv,9
tables/item02_elevation_angle_regression.csv,6
tables/item02_elevation_angle_residual.csv,576
tables/item03_per_anchor_effective_dtag.csv,24
tables/item04_nlos_excluded_dtag.csv,72
tables/item05_loo_fold_dtag.csv,48
tables/item05_loo_fold_regression.csv,6
tables/item06_joint_morph_valley.csv,1491
tables/item06_morph_markers.csv,5
tables/item06_optimal_dtag_vs_alpha.csv,21
tables/item07_bias_allocation_scan.csv,841
tables/item08_facing_group_dtag.csv,36
tables/item09_board_frame_model.csv,1
tables/item10_antenna_model_comparison.csv,10
tables/item11_calibration_learning_curve.csv,9000
tables/item11_calibration_learning_curve_summary.csv,18
tables/item11_v5_position_sweep_cache.csv,1704
tables/item12_calibration_design_ablation.csv,24
tables/item13_criterion_ambiguity_per_fold.csv,72
tables/item13_criterion_ambiguity_summary.csv,12
tables/item13_position_sweep_cache.csv,4392
tables/item14_vicon_refit_per_anchor.csv,48
tables/item14_vicon_refit_variants.csv,6
tables/item15_anchor_layer_split.csv,3
tables/item16_variance_decomposition.csv,8
tables/item17_nlos_downweighting.csv,15
tables/item18_temporal_split.csv,3
tables/item19_roto_per_tag_dtag.csv,34
tables/item20_dynamic_residual_vs_motion.csv,40811
tables/item21_range_percentile_sweep.csv,24
tables/item22_jackknife_anchor_dtag.csv,24
tables/item23_differential_ranging.csv,2208
tables/item23_differential_ranging_summary.csv,8
tables/item24_rho_distribution_shape.csv,10
