phase_bin_deg,n_samples,err3d_mean_mm,err3d_rmse_mm,err3d_p50_mm,err3d_p90_mm,err3d_p95_mm,err3d_max_mm,err_horizontal_xz_mean_mm,err_horizontal_xz_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p90_mm,err_horizontal_xz_p95_mm,err_horizontal_xz_max_mm,err_vertical_y_mean_mm,err_vertical_y_rmse_mm,err_vertical_y_p50_mm,err_vertical_y_p90_mm,err_vertical_y_p95_mm,err_vertical_y_max_mm,abs_radius_mean_mm,abs_radius_rmse_mm,abs_radius_p50_mm,abs_radius_p90_mm,abs_radius_p95_mm,abs_radius_max_mm
0-90,9669,117.03184683895601,140.48878801294066,101.09078208359006,198.17835096499718,240.00946719018447,867.1395944680424,76.03641266170774,91.93571716402992,64.53170600184366,143.29601252906878,177.42617888972723,478.5597403150602,77.05265304241027,106.23052041141695,61.238550599337714,152.08356875954084,191.97188855609062,775.378276319469,70.37375770777312,88.50173319870946,59.617559027109905,145.32012934769833,177.5741812778731,337.00166262001983
180-270,10729,125.7292332471788,148.67522802838567,107.4586609037428,217.9758225845311,274.00424256753644,830.9389630327163,80.29932236962414,95.34691725490363,69.33099780684142,149.99469312694077,181.32333806889872,438.4354293427701,84.37516215678788,114.0758028649329,65.1224818676576,176.45372428683132,223.5594974150664,794.4897074855021,74.74297034045551,97.12884279530763,60.44400730505146,153.36062185571907,195.26668193328007,467.5201976701597
270-360,9644,115.84946025099367,135.08859689984726,100.62754592440737,201.9269554048912,246.127848458346,740.2629765550073,77.23202486984253,91.9995175613168,66.94043115754485,140.73337224475677,169.26117686965375,585.7330173171835,74.2275727942322,98.9192487883647,57.92874778937659,158.21687748737867,199.1842399696887,592.710660484302,67.28702893318739,86.09646657737736,55.0552552322884,138.8838046636022,171.20246179494504,472.5828477353623
90-180,10619,118.35334067489454,139.76900136976607,100.409139035843,213.37241304139027,263.9562762905784,804.8356964288723,76.85256623208734,94.06549296521942,63.61514238246604,149.52884189683581,184.6973408452479,438.4035574943472,78.00025352565922,103.37822196725925,62.087720496221095,162.2941538724786,204.2896664363213,730.9526689270708,73.39959946967886,94.96943985917241,58.325931693115876,156.17182429777358,187.7841196460814,490.2446074725005
