BLE_ADDR,RSSI,COMPANY_ID,DEVICE_UUID,ANCHOR_ID_CFG,ANCHOR_LABEL,ROLE_CODE,ROLE
FD:64:2E:93:37:86,-72,0xFFFF,CEE5A7EFCB35F8A56B430047629F5309,3,C,2,matrix
D9:C7:9C:16:71:C9,-67,0xFFFF,A892AF05DD59CF0D0D3408AD74F364A1,5,E,2,matrix
F2:B7:4E:8A:79:01,-66,0xFFFF,4DC6B8187E33803AE8601FB0D7992B96,1,A,2,matrix
E3:77:2C:61:AA:19,-81,0xFFFF,1EABFBEC28B8053FBB0D5C448112AE93,8,H,2,matrix
C0:1D:D1:D0:CE:B0,-60,0xFFFF,B9179575C776C98F1CB132DD6EDC6223,2,B,3,responder
E9:CB:F3:C4:51:43,-58,0xFFFF,840C68591E90019821AACFF1B73AAA34,6,F,2,matrix
EC:9F:55:9D:7E:A1,-74,0xFFFF,B3087BC3D87CCCD316AEDC6B71D6677F,7,G,2,matrix
F1:B3:DF:83:B1:C9,-60,0xFFFF,AB14CCA262A092E70EB26B0ACB0A394B,4,D,2,matrix
