host_elapsed_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
120.218,4735711,841,H,7,0xa107,0xb103,0xe1,18252,7,1972,119,2211,20
120.418,4735911,842,D,3,0xa103,0xb103,0xe1,17032,7,1966,123,4838,20
121.417,4736910,843,H,7,0xa107,0xb103,0xe1,18132,7,1959,119,2406,20
121.435,4736928,844,F,5,0xa105,0xb101,0xe1,18687,7,2157,123,8018,20
121.486,4736979,845,E,4,0xa104,0xb102,0xe1,18453,7,2130,123,6059,20
122.233,4737726,846,E,4,0xa104,0xb101,0xe1,19289,7,2084,119,6190,20
122.617,4738110,847,H,7,0xa107,0xb103,0xe1,18987,7,2086,120,1306,20
122.766,4738259,848,E,4,0xa104,0xb102,0xe1,19697,7,2164,120,6576,20
122.821,4738310,849,D,3,0xa103,0xb103,0xe1,17665,7,2006,122,6699,20
122.835,4738328,850,F,5,0xa105,0xb101,0xe1,18553,7,1971,118,7732,20
123.084,4738577,851,D,3,0xa103,0xb102,0xe1,18233,7,2139,124,6512,20
123.230,4738723,852,D,3,0xa103,0xb101,0xe1,18368,7,2018,120,5837,20
123.713,4739206,853,E,4,0xa104,0xb101,0xe1,18988,7,2121,121,5251,20
125.635,4741128,854,H,7,0xa107,0xb101,0xe1,19770,7,2282,123,2420,20
125.817,4741310,855,H,7,0xa107,0xb103,0xe1,19947,7,2340,124,1159,20
125.835,4741328,856,H,7,0xa107,0xb101,0xe1,18937,7,2046,119,552,20
126.018,4741510,857,D,3,0xa103,0xb103,0xe1,17320,7,1840,118,6519,20
126.217,4741710,858,H,7,0xa107,0xb103,0xe1,17471,7,1856,118,4299,20
126.235,4741728,859,H,7,0xa107,0xb101,0xe1,18909,7,2043,119,2409,20
127.218,4742711,860,D,3,0xa103,0xb103,0xe1,15552,7,486,64,3224,20
127.236,4742729,861,H,7,0xa107,0xb101,0xe1,16261,7,1877,123,4906,20
127.417,4742910,862,H,7,0xa107,0xb103,0xe1,20255,7,2338,123,3062,20
127.435,4742928,863,H,7,0xa107,0xb101,0xe1,18853,7,2106,121,4666,20
127.617,4743110,864,D,3,0xa103,0xb103,0xe1,17318,7,1999,123,6615,20
128.617,4744110,865,H,7,0xa107,0xb103,0xe1,18796,7,2205,124,5882,20
128.635,4744128,866,F,5,0xa105,0xb101,0xe1,15429,7,1810,124,7573,20
129.017,4744510,867,H,7,0xa107,0xb103,0xe1,19791,7,2067,117,397,20
129.035,4744528,868,H,7,0xa107,0xb101,0xe1,18585,7,1941,117,2729,20
129.218,4744710,869,D,3,0xa103,0xb103,0xe1,18157,7,2130,124,6020,20
129.235,4744728,870,H,7,0xa107,0xb101,0xe1,18074,7,2019,121,4902,20
129.488,4744981,871,E,4,0xa104,0xb102,0xe1,19444,7,2172,121,5736,20
129.688,4745181,872,G,6,0xa106,0xb102,0xe1,19247,7,2150,121,6027,20
129.887,4745380,873,G,6,0xa106,0xb102,0xe1,17790,7,2087,124,6884,20
130.635,4746128,874,H,7,0xa107,0xb101,0xe1,18704,7,2124,122,4922,20
131.017,4746510,875,H,7,0xa107,0xb103,0xe1,17885,7,2031,122,5500,20
131.417,4746910,876,H,7,0xa107,0xb103,0xe1,17521,7,1925,120,5668,20
131.435,4746928,877,H,7,0xa107,0xb101,0xe1,18290,7,1943,118,3638,20
131.635,4747128,878,F,5,0xa105,0xb101,0xe1,16275,7,1818,121,7028,20
131.817,4747310,879,H,7,0xa107,0xb103,0xe1,16313,7,1425,107,490,20
131.835,4747328,880,F,5,0xa105,0xb101,0xe1,16059,7,1706,118,6915,20
132.035,4747528,881,H,7,0xa107,0xb101,0xe1,20572,7,2298,121,2921,20
132.217,4747710,882,H,7,0xa107,0xb103,0xe1,17671,7,2073,124,5509,20
132.235,4747728,883,H,7,0xa107,0xb101,0xe1,17876,7,1867,117,5797,20
132.488,4747981,884,E,4,0xa104,0xb102,0xe1,19505,7,2215,122,6256,20
132.688,4748181,885,E,4,0xa104,0xb102,0xe1,19753,7,2063,117,5973,20
133.417,4748910,886,H,7,0xa107,0xb103,0xe1,17956,7,1940,119,2549,20
133.435,4748928,887,F,5,0xa105,0xb101,0xe1,18299,7,1944,118,7802,20
133.818,4749311,888,H,7,0xa107,0xb103,0xe1,17891,7,1933,119,4747,20
134.417,4749910,889,D,3,0xa103,0xb103,0xe1,17689,7,1976,121,2838,20
135.035,4750529,890,F,5,0xa105,0xb101,0xe1,17458,7,1918,120,7380,20
135.218,4750711,891,D,3,0xa103,0xb103,0xe1,17253,7,2024,124,6821,20
135.417,4750910,892,H,7,0xa107,0xb103,0xe1,20262,7,2377,124,1988,20
135.435,4750928,893,H,7,0xa107,0xb101,0xe1,18058,7,1886,117,5560,20
135.635,4751128,894,H,7,0xa107,0xb101,0xe1,18898,7,2146,122,2238,20
136.488,4751982,895,G,6,0xa106,0xb102,0xe1,18370,7,2052,121,7392,20
136.617,4752110,896,H,7,0xa107,0xb103,0xe1,17884,7,2098,124,5006,20
136.635,4752128,897,F,5,0xa105,0xb101,0xe1,16253,7,1756,119,7377,20
136.834,4752328,898,H,7,0xa107,0xb101,0xe1,20280,7,2303,122,528,20
137.034,4752528,899,H,7,0xa107,0xb101,0xe1,17490,7,1858,118,3280,20
137.217,4752710,900,D,3,0xa103,0xb103,0xe1,17840,7,1960,120,6027,20
137.234,4752728,901,F,5,0xa105,0xb101,0xe1,15270,7,638,74,4362,20
138.428,4753922,902,C,2,0xa102,0xb101,0xe1,18261,7,1973,119,4906,20
139.634,4755127,903,F,5,0xa105,0xb101,0xe1,16696,7,1865,121,7133,20
139.816,4755310,904,H,7,0xa107,0xb103,0xe1,18618,7,2149,123,6041,20
139.834,4755328,905,F,5,0xa105,0xb101,0xe1,17940,7,1971,120,7361,20
140.018,4755510,906,C,2,0xa102,0xb103,0xe1,17296,7,1166,94,5460,20
140.034,4755528,907,H,7,0xa107,0xb101,0xe1,18355,7,1917,117,148,20
140.234,4755728,908,H,7,0xa107,0xb101,0xe1,18477,7,2064,121,4212,20
140.416,4755909,909,D,3,0xa103,0xb103,0xe1,17497,7,1987,122,6697,20
141.616,4757110,910,D,3,0xa103,0xb103,0xe1,17726,7,2013,122,6380,20
141.634,4757128,911,H,7,0xa107,0xb101,0xe1,18146,7,2027,121,2356,20
141.817,4757311,912,H,7,0xa107,0xb103,0xe1,16902,7,1888,121,4730,20
142.216,4757709,913,H,7,0xa107,0xb103,0xe1,19052,7,2235,124,3834,20
142.234,4757728,914,H,7,0xa107,0xb101,0xe1,18995,7,2157,122,1188,20
143.035,4758529,915,H,7,0xa107,0xb101,0xe1,17567,7,1930,120,4515,20
143.234,4758728,916,H,7,0xa107,0xb101,0xe1,19091,7,2168,122,1404,20
143.416,4758910,917,H,7,0xa107,0xb103,0xe1,19345,7,2233,123,5603,20
143.815,4759309,918,H,7,0xa107,0xb103,0xe1,19122,7,2066,119,882,20
144.086,4759580,919,G,6,0xa106,0xb102,0xe1,17292,7,1806,117,6587,20
144.286,4759781,920,G,6,0xa106,0xb102,0xe1,17331,7,1936,121,6866,20
145.416,4760910,921,H,7,0xa107,0xb103,0xe1,19708,7,2238,122,1395,20
145.434,4760928,922,H,7,0xa107,0xb101,0xe1,17555,7,1865,118,1173,20
