host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
75.260,1777921993.752653,11451815,24114,H,7,0xa107,0xb101,0xe1,14835,7,1576,118,4393,20
80.059,1777921998.552284,11456615,24115,H,7,0xa107,0xb101,0xe1,15212,7,1616,118,6175,20
84.173,1777922002.666074,11460729,24116,H,7,0xa107,0xb101,0xe1,15109,7,1744,123,5125,20
108.992,1777922027.485168,11485550,24117,H,7,0xa107,0xb101,0xe1,14838,7,1685,122,5667,20
111.192,1777922029.685028,11487750,24118,H,7,0xa107,0xb101,0xe1,14883,7,1746,124,5844,20
111.493,1777922029.985471,11488050,24119,H,7,0xa107,0xb101,0xe1,16283,7,1789,120,6602,20
112.992,1777922031.484872,11489550,24120,H,7,0xa107,0xb101,0xe1,16239,7,1905,124,6667,20
115.092,1777922033.584662,11491650,24121,H,7,0xa107,0xb101,0xe1,14681,7,1613,120,4079,20
119.991,1777922038.484160,11496550,24122,H,7,0xa107,0xb101,0xe1,14170,7,1480,117,6488,20
124.991,1777922043.483979,11501550,24123,H,7,0xa107,0xb101,0xe1,15463,7,1814,124,6923,20
129.191,1777922047.683794,11505750,24124,H,7,0xa107,0xb101,0xe1,15207,7,1643,119,5376,20
133.990,1777922052.483257,11510550,24125,H,7,0xa107,0xb101,0xe1,15880,7,1687,118,5662,20
