a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,4304,100,4304,1,0
A,C,A,5102,100,5102,1,0
A,D,A,2828,100,2828,1,0
A,E,A,1729,100,1729,1,0
A,F,A,4695,100,4695,1,0
A,G,A,5418,100,5418,1,0
A,H,A,3198,100,3198,1,0
A,B,A,4294,100,4294,1,0
A,C,A,5107,100,5107,1,0
A,D,A,2742,100,2742,1,0
A,E,A,1690,100,1690,1,0
A,F,A,4549,100,4549,1,0
A,G,A,5416,100,5416,1,0
A,H,A,3180,100,3180,1,0
A,B,A,4321,100,4321,1,0
A,C,A,5091,100,5091,1,0
A,D,A,2830,100,2830,1,0
A,E,A,1738,100,1738,1,0
A,F,A,4635,100,4635,1,0
A,G,A,5444,100,5444,1,0
A,H,A,3173,100,3173,1,0
A,B,A,4317,100,4317,1,0
A,C,A,5093,100,5093,1,0
A,D,A,2804,100,2804,1,0
A,E,A,1737,100,1737,1,0
A,F,A,4616,100,4616,1,0
A,G,A,5458,100,5458,1,0
A,H,A,3175,100,3175,1,0
A,B,A,4302,100,4302,1,0
A,C,A,5122,100,5122,1,0
A,D,A,2835,100,2835,1,0
A,E,A,1656,100,1656,1,0
A,F,A,4645,100,4645,1,0
A,G,A,5434,100,5434,1,0
A,H,A,3173,100,3173,1,0
A,B,A,4303,100,4303,1,0
A,C,A,5068,100,5068,1,0
A,D,A,2798,100,2798,1,0
A,E,A,1671,100,1671,1,0
A,F,A,4619,100,4619,1,0
A,G,A,5425,100,5425,1,0
A,H,A,3175,100,3175,1,0
A,B,A,4275,100,4275,1,0
A,C,A,5114,100,5114,1,0
A,D,A,2832,100,2832,1,0
A,E,A,1687,100,1687,1,0
A,F,A,4661,100,4661,1,0
A,G,A,5408,100,5408,1,0
A,H,A,3186,100,3186,1,0
A,B,A,4277,100,4277,1,0
A,C,A,5065,100,5065,1,0
A,D,A,2857,100,2857,1,0
A,E,A,1668,100,1668,1,0
A,F,A,4596,100,4596,1,0
A,G,A,5436,100,5436,1,0
A,H,A,3161,100,3161,1,0
A,B,A,4331,100,4331,1,0
A,C,A,5125,100,5125,1,0
A,D,A,2716,100,2716,1,0
A,E,A,1733,100,1733,1,0
A,F,A,4620,100,4620,1,0
A,G,A,5447,100,5447,1,0
A,H,A,3162,100,3162,1,0
A,B,A,4329,100,4329,1,0
A,C,A,5078,100,5078,1,0
A,D,A,2783,100,2783,1,0
