node,t4_rms_jitter_m,fused_rms_jitter_m
BSFC2CC,0.17153522365029664,0.018376793886441596
BSF31CC,0.10125207975288879,0.016782173252795105
BSFAA61,0.05394217256533406,0.016617220241212455
BSFB165,0.06934447473489652,0.017129400231585473
BSF1120,0.06887647020945815,0.017846398795964134
BSFEC35,0.1951486546118944,0.01998341769970256
BSF44AD,0.16383986390269487,0.0200276129803547
BSF6C53,0.07416764537221256,0.020561497799065326
BSF3C79,0.13979800844667195,0.021020616933853677
BSF8BC4,0.11114348727378946,0.025679983293131207
