sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
996,,BSF66F,,6,ok,2461,2461,88,228,23
997,,BSF66F,,0,ok,3265,3265,100,251,1
997,,BSF66F,,1,ok,2638,2638,82,218,34
998,,BSF66F,,4,ok,3283,3283,100,252,1
998,,BSF66F,,5,ok,2417,2417,86,225,28
998,,BSF66F,,6,ok,2444,2444,89,229,23
998,,BSF66F,,7,ok,3187,3187,100,234,15
999,,BSF66F,,0,ok,3153,3153,100,252,1
999,,BSF66F,,1,timeout,0,2638,79,218,35
999,,BSF66F,,2,ok,2422,2422,93,235,18
1000,,BSF66F,,4,ok,3265,3265,100,253,1
1000,,BSF66F,,5,ok,2432,2432,86,226,28
1001,,BSF66F,,0,ok,3192,3192,100,253,1
1001,,BSF66F,,1,ok,2688,2688,80,219,35
1001,,BSF66F,,2,ok,2419,2419,93,236,18
1001,,BSF66F,,3,ok,3156,3156,94,230,13
1002,,BSF66F,,4,ok,3198,3198,100,254,1
1002,,BSF66F,,5,timeout,0,2432,83,226,29
1002,,BSF66F,,6,ok,2482,2482,90,231,23
1003,,BSF66F,,0,ok,3196,3196,100,254,1
1003,,BSF66F,,1,ok,2658,2658,80,220,35
1004,,BSF66F,,4,ok,3194,3194,100,255,1
1004,,BSF66F,,5,ok,2401,2401,84,227,29
1004,,BSF66F,,6,ok,2451,2451,90,232,23
1004,,BSF66F,,7,ok,3160,3160,100,237,15
1005,,BSF66F,,0,ok,3253,3253,100,255,1
1005,,BSF66F,,1,ok,2678,2678,81,221,35
1005,,BSF66F,,2,ok,2459,2459,90,237,19
1006,,BSF66F,,4,ok,3219,3219,100,256,1
1006,,BSF66F,,5,ok,2403,2403,88,228,29
1007,,BSF66F,,0,ok,3274,3274,100,256,1
1007,,BSF66F,,1,ok,2661,2661,82,222,35
1007,,BSF66F,,2,ok,2464,2464,94,238,19
1007,,BSF66F,,3,ok,3176,3176,90,232,14
1008,,BSF66F,,4,ok,3293,3293,100,257,1
1008,,BSF66F,,5,ok,2374,2374,88,229,29
1008,,BSF66F,,6,ok,2449,2449,94,234,23
1009,,BSF66F,,0,ok,3182,3182,100,257,1
1009,,BSF66F,,1,ok,2590,2590,83,223,35
1010,,BSF66F,,4,ok,3285,3285,100,258,1
1010,,BSF66F,,5,ok,2406,2406,89,230,29
1010,,BSF66F,,6,ok,2468,2468,94,235,23
1010,,BSF66F,,7,ok,3238,3238,100,240,15
1011,,BSF66F,,0,ok,3194,3194,100,258,1
1011,,BSF66F,,1,ok,2671,2671,84,224,35
1011,,BSF66F,,2,ok,2395,2395,94,240,19
1012,,BSF66F,,4,ok,3313,3313,100,259,1
1012,,BSF66F,,5,ok,2390,2390,90,231,29
1013,,BSF66F,,0,ok,3187,3187,100,259,1
1013,,BSF66F,,1,ok,2643,2643,85,225,35
1013,,BSF66F,,2,ok,2419,2419,95,241,19
