label,source,n,horizontal_median_mm,horizontal_p95_mm,horizontal_rmse_mm,vertical_median_mm,vertical_p95_mm,vertical_rmse_mm,err_3d_median_mm,err_3d_p95_mm,err_3d_rmse_mm,signed_vertical_slope_mm_per_m,signed_vertical_intercept_mm,signed_vertical_r2,layout_name,fixed_tag_delay_mm,point_estimator,tag_method
production_v4io_dtag0_current_headline,FULL/audit_phase1d/tables/item1_item2_static_per_session.csv,24,37.4203480766745,73.55923720151176,47.94068701727591,61.870068315403614,169.9758029065568,98.83135358490108,72.6891193204547,171.49736845476423,109.84509967728258,129.33245518782277,-153.16130865799082,0.6260179974314946,production_v4io,0.0,mean,T4_fixed_dtag
common_mode_dtag0,FULL/audit_phase1d/tables/item1_item2_static_per_session.csv,24,45.21830372733815,75.96229646685205,49.70972597673352,89.42072844017994,222.158724199241,131.43929713276304,109.51538194751672,223.8592378045819,140.52524928793653,196.4351780959969,-208.47017285849623,0.7693476326585723,phase1c_common_mode,0.0,mean,T4_fixed_dtag
common_mode_dtag80,FULL/audit_phase1d/tables/item1_item2_static_per_session.csv,24,32.15291475384795,71.977315326434,44.416039359149856,45.79998998743099,102.44719298160152,60.2733233010369,60.06561083588939,131.97725808819283,74.87094265537776,15.865466406515212,-33.40559271166417,0.0257743898587096,phase1c_common_mode,80.0,mean,T4_fixed_dtag
stale_macro_source_tag_abs_errors_per_session,FULL/tables/tag_abs_errors_per_session.csv,24,42.29173475748748,72.50964086309857,49.33714208426951,65.3185860074235,273.99948913310544,130.53817547349016,73.96289045329976,282.12949495641834,139.55059600371152,170.83816774839474,-187.00581352474555,0.5946620314770505,v4-io,,mean_x from official production table,production-output/static_tag_absolute_accuracy.py
vicon_truth_reestimated_anchor_delays_dtag0,computed from surveyed_anchor_baseline.py functions into tagged dir,24,47.60724543285112,85.70901043969806,53.354665656452646,86.59702004960124,211.27452004331275,125.53125708504535,102.3365687544482,213.9075616001496,136.39947526535283,188.17300454872048,-206.06810534574677,0.7860593158970707,vicon_truth_anchors_inter_anchor_delaycal,0.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag40,computed from surveyed_anchor_baseline.py functions into tagged dir,24,35.00766610268555,76.54523354348014,42.7270211075176,55.00586019836169,150.37388281734076,78.1777058901098,66.0445295717833,166.21273997967737,89.09181797989513,92.7202719425522,-114.05845510254646,0.523564373969863,vicon_truth_anchors_inter_anchor_delaycal,40.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag60,computed from surveyed_anchor_baseline.py functions into tagged dir,24,32.181411050604794,73.56951416064503,42.0568358323241,48.49539722631563,128.13068521422437,64.28874497997468,60.61899305714098,150.99689994765976,76.82330487116054,51.10800026232365,-73.04751823405836,0.2458800823934319,vicon_truth_anchors_inter_anchor_delaycal,60.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag80,computed from surveyed_anchor_baseline.py functions into tagged dir,24,31.51376310085052,69.02794254543149,44.304413975655365,39.0368162972303,105.94908191875862,59.43186990303501,57.73139428190681,125.47120163368324,74.12845781410486,13.180190099358793,-35.58981786836885,0.0195323068775647,vicon_truth_anchors_inter_anchor_delaycal,80.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag91.1532,computed from surveyed_anchor_baseline.py functions into tagged dir,24,34.40915161959118,75.46654980327928,46.63915564773502,44.577263424058174,107.19407163636691,60.78616518064953,61.73717657000754,124.62297224109255,76.61702628595594,-6.754847773862849,-16.451305393091427,0.0048949066806583,vicon_truth_anchors_inter_anchor_delaycal,91.153191,mean,T4
vicon_truth_reestimated_anchor_delays_dtag95,computed from surveyed_anchor_baseline.py functions into tagged dir,24,34.01792637876968,77.99036431982992,47.65550683054588,46.44208061097288,112.05079937682584,61.879935380491865,63.114569880113415,127.1322996670154,78.1036089689206,-13.45763234943444,-10.148518600545662,0.0187074100355527,vicon_truth_anchors_inter_anchor_delaycal,95.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag112,computed from surveyed_anchor_baseline.py functions into tagged dir,24,36.715376152074256,89.88889130642079,53.6310624315128,50.89065312032972,120.48756621079764,69.72132651169424,76.50001954299896,137.3189574358669,87.96223182754689,-42.036243473692885,15.956996637053658,0.1419020484529083,vicon_truth_anchors_inter_anchor_delaycal,112.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag130,computed from surveyed_anchor_baseline.py functions into tagged dir,24,46.25405353206087,104.20355259914888,62.668794147389846,57.27430275961251,143.38488975997595,81.36606136818585,93.13967297145936,151.52806771080046,102.70254963952604,-70.73143847502124,40.90648408511496,0.2918980175314721,vicon_truth_anchors_inter_anchor_delaycal,130.0,mean,T4
vicon_truth_reestimated_anchor_delays_dtag150,computed from surveyed_anchor_baseline.py functions into tagged dir,24,61.920153660175885,121.97735723404254,75.20778024586916,78.4579948875399,163.64065064643114,95.94893140293728,110.9964693978544,169.1027552155429,121.91147463170358,-100.98082007394234,66.64116698697266,0.4237445781860315,vicon_truth_anchors_inter_anchor_delaycal,150.0,mean,T4
common_mode_dtag91p153,computed with audit_phase1d_tag_delay_cancellation.py:evaluate_static_case into tagged dir,24,35.63038229512706,79.05628506714507,47.458399560137686,43.81727630721275,118.93654001979023,61.76048124591026,58.59137691329345,143.21302418852775,77.88874586572896,-4.688084413640894,-13.331070392693654,0.0021348567853278766,,91.15319085924492,,
