# K1 config evidence — canonical v41 build
# source: B306_Part/builds/b306-imu-relay-v41-a/firmware/zephyr/.config
# sha256(.config) = 886158bc63245e313cc533f0874cdf4283e880a5d5d8141d03cd2660731d9f76

BT_MAX_CONN                            CONFIG_BT_MAX_CONN=1
BT_BUF_ACL_RX_COUNT                    CONFIG_BT_BUF_ACL_RX_COUNT=6
BT_BUF_EVT_RX_COUNT                    CONFIG_BT_BUF_EVT_RX_COUNT=10
BT_BUF_ACL_TX_COUNT                    CONFIG_BT_BUF_ACL_TX_COUNT=8
BT_HCI_ACL_FLOW_CONTROL                # CONFIG_BT_HCI_ACL_FLOW_CONTROL is not set
BT_CONN_TX_NOTIFY_WQ                   # CONFIG_BT_CONN_TX_NOTIFY_WQ is not set
BT_ATT_TX_COUNT                        CONFIG_BT_ATT_TX_COUNT=8
BT_CONN_TX_MAX                         CONFIG_BT_CONN_TX_MAX=8
BT_L2CAP_TX_BUF_COUNT                  CONFIG_BT_L2CAP_TX_BUF_COUNT=8
BT_RX_STACK_SIZE                       CONFIG_BT_RX_STACK_SIZE=1024
BT_RX_PRIO                             CONFIG_BT_RX_PRIO=8
BT_ATT_SENT_CB_AFTER_TX                # CONFIG_BT_ATT_SENT_CB_AFTER_TX is not set
BT_CONN_FRAG_COUNT                     CONFIG_BT_CONN_FRAG_COUNT=1
BT_RECV_WORKQ_BT                       CONFIG_BT_RECV_WORKQ_BT=y
BT_RECV_WORKQ_SYS                      # CONFIG_BT_RECV_WORKQ_SYS is not set
BT_SMP                                 # CONFIG_BT_SMP is not set
BT_SETTINGS                            (absent)
BT_EATT                                (absent)
ASSERT                                 # CONFIG_ASSERT is not set
HW_STACK_PROTECTION                    CONFIG_HW_STACK_PROTECTION=y
MPU_STACK_GUARD                        CONFIG_MPU_STACK_GUARD=y
RESET_ON_FATAL_ERROR                   # CONFIG_RESET_ON_FATAL_ERROR is not set
THREAD_ANALYZER                        CONFIG_THREAD_ANALYZER=y
THREAD_ANALYZER_AUTO                   CONFIG_THREAD_ANALYZER_AUTO=y
THREAD_MONITOR                         CONFIG_THREAD_MONITOR=y
THREAD_NAME                            CONFIG_THREAD_NAME=y
SOC_FLASH_NRF_RADIO_SYNC_MPSL          CONFIG_SOC_FLASH_NRF_RADIO_SYNC_MPSL=y
