pair,d_v1_avg,d_v1_dir_avg,d_v3_mvue,diff_mm,sigma_ab,sigma_ba,asym_mm,n_ab,n_ba
A-B,4529.883,4529.883,4529.840713813615,0.04228618638444459,20.0151,20.7564,32.5,500,500
A-C,5352.539,5352.539,5348.3179961884025,4.221003811597257,35.5824,27.428099999999997,25.0,500,500
A-D,3025.134,3025.134,3026.8647214854113,-1.7307214854113226,16.3086,23.7216,16.0,500,500
A-E,1493.786,1493.786,1492.8943731490624,0.891626850937655,16.3086,17.049899999999997,6.5,500,500
A-F,4911.741,4911.741,4911.542465753424,0.19853424657594587,31.1346,25.2042,14.0,500,500
A-G,5515.762,5515.762000000001,5516.365853658537,-0.6038536585374459,17.7912,22.238999999999997,17.0,500,500
A-H,3258.123,3258.123,3258.580071174377,-0.4570711743767788,19.273799999999998,20.0151,17.5,500,500
B-C,3102.733,3102.733,3102.656050955414,0.0769490445863994,40.771499999999996,22.238999999999997,1.5,500,500
B-D,5340.473,5340.473,5338.962277580071,1.5107224199291522,40.0302,38.547599999999996,2.0,500,500
B-E,4758.477,4758.477,4760.0,-1.5230000000001382,20.7564,26.686799999999998,0.0,500,500
B-F,1853.613,1853.6129999999998,1855.2522639068563,-1.6392639068562858,25.2042,32.6172,2.0,500,500
B-G,3295.944,3295.944,3296.0000000000005,-0.056000000000494765,29.651999999999997,29.651999999999997,6.0,500,500
B-H,5591.724,5591.724,5591.8287112561175,-0.10471125611729803,26.686799999999998,25.2042,6.0,500,500
C-D,4454.075,4454.075,4454.363422555717,-0.2884225557172613,44.477999999999994,54.1149,11.5,500,500
C-E,5571.411,5571.411,5564.248698239524,7.162301760476112,20.7564,42.2541,27.0,500,500
C-F,3356.32,3356.32,3357.7345767575325,-1.414576757532359,23.7216,31.1346,2.0,500,500
C-G,1519.237,1519.237,1522.0404207053002,-2.803420705300141,29.651999999999997,42.2541,12.0,500,500
C-H,4807.574,4807.5740000000005,4806.580110497237,0.9938895027626131,40.0302,44.477999999999994,8.0,500,500
D-E,3403.111,3403.111,3404.5,-1.3890000000001237,28.1694,28.1694,1.0,500,500
D-F,5694.86,5694.86,5694.878048780487,-0.018048780487333715,22.238999999999997,17.7912,8.0,500,500
D-G,4675.972,4675.972,4677.433628318584,-1.4616283185841894,20.7564,23.7216,1.0,500,500
D-H,1546.586,1546.5859999999998,1545.840262582057,0.745737417943019,42.9954,56.3388,5.0,500,500
E-F,4471.677,4471.677,4473.423857868021,-1.7468578680209248,19.273799999999998,22.238999999999997,13.0,500,500
E-G,5367.339,5367.339,5368.057879656161,-0.7188796561613344,20.7564,22.9803,11.0,500,500
E-H,2969.604,2969.6040000000003,2968.566371681416,1.0376283185837565,31.1346,35.5824,1.0,500,500
F-G,3070.74,3070.74,3071.9530685920577,-1.2130685920578799,13.343399999999999,20.7564,7.0,500,500
F-H,5417.932,5417.932,5418.1176470588225,-0.18564705882272392,26.686799999999998,31.1346,5.0,500,500
G-H,4529.169,4529.169,4528.44089456869,0.7281054313098139,19.273799999999998,17.7912,14.0,500,500
