row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L7:I1+I2+I3+I8:T6,S03,simulate_imu_prior,1.005102449998958,,,,
R4:L7:I1+I2+I3+I8:T6,S03,cpu_golden,24.04425615997752,,,,
R4:L7:I1+I2+I3+I8:T6,S03,torch_gpu,3.351503682002658,0,1,3.351503682002658,3.351503682002658
R4:L7:I1+I2+I3+I8:T8,S03,simulate_imu_prior,0.8520365899894387,,,,
R4:L7:I1+I2+I3+I8:T8,S03,cpu_golden,29.601616622996517,,,,
R4:L7:I1+I2+I3+I8:T8,S03,torch_gpu,2.1061829309910536,0,1,2.1061829309910536,2.1061829309910536
