node,platform,anchor_slot,anchor_id_mode,record_count,valid_count,valid_rate,range_mean_mm,range_median_mm,std_mm,mad_mm,robust_sigma_mm,p01_mm,p05_mm,p95_mm,p99_mm,dropout_count,rank_median,quality_median,t_round_us_median,cfo_ppm_q8_median,corr_range_quality,corr_range_cfo_q8,corr_range_t_round,invalid_range_zero_rate
BSF8BC4,trusted_static_union,4,4,13826,13825,0.999927673,3438.755660,3465.000000,120.669691,75.000000,111.195000,3136.24,3201.0,3599.0,3640.0,1,4.0,100.0,5334.0,-995.0,-0.0153325,0.0611648,nan,0
BSF8BC4,trusted_static_union,5,5,13826,13826,1.000000000,1762.511138,1766.000000,53.650592,37.000000,54.856200,1635.0,1668.0,1845.0,1876.0,0,5.0,100.0,6359.0,107.0,nan,0.677095,nan,nan
BSF8BC4,trusted_static_union,6,6,13826,13826,1.000000000,2772.967670,2773.000000,36.421070,23.000000,34.099800,2694.0,2716.0,2830.0,2854.0,0,6.0,100.0,7385.0,-1450.0,nan,0.691022,nan,nan
BSF8BC4,trusted_static_union,7,7,13826,13825,0.999927673,3295.265533,3294.000000,56.099768,38.000000,56.338800,3174.0,3205.0,3389.0,3432.0,1,7.0,100.0,8411.0,-545.0,-0.00590864,0.862918,nan,0
BSF1120,trusted_static_union,0,0,14677,14676,0.999931866,3594.485623,3589.000000,54.644822,28.000000,41.512800,3513.0,3532.0,3657.0,3855.0,1,0.0,100.0,1231.0,14.0,-0.000440089,0.0164787,nan,0
BSF1120,trusted_static_union,1,1,14677,14663,0.999046127,1229.583169,1230.000000,38.320355,25.000000,37.065000,1134.0,1166.0,1291.0,1315.0,14,1.0,100.0,2257.0,42.0,0.00451487,0.113017,nan,0
BSF1120,trusted_static_union,2,2,14677,14676,0.999931866,3189.359567,3149.000000,211.437476,172.000000,255.007200,2909.75,2943.0,3558.0,3634.25,1,2.0,100.0,3282.0,-65.0,0.00560144,0.536095,nan,0
BSF1120,trusted_static_union,3,3,14677,14673,0.999727465,4204.784298,4173.000000,130.514847,53.000000,78.577800,3997.0,4058.0,4504.0,4650.280000000001,4,3.0,100.0,4308.0,-21.0,-0.0438282,0.256711,nan,0
BSF1120,trusted_static_union,4,4,14677,14675,0.999863732,3549.414787,3549.000000,31.514884,20.000000,29.652000,3480.0,3500.0,3600.0,3623.0,2,4.0,100.0,5334.0,-223.0,-0.00692308,0.269324,nan,0
BSF1120,trusted_static_union,5,5,14677,14657,0.998637324,1287.988606,1289.000000,35.828386,24.000000,35.582400,1200.0,1227.0,1345.0,1368.0,20,5.0,100.0,6359.0,882.0,-0.00794998,0.224733,nan,0
BSF1120,trusted_static_union,6,6,14677,14677,1.000000000,3117.653199,3104.000000,80.773090,34.000000,50.408400,3004.0,3030.0,3265.199999999999,3426.0,0,6.0,100.0,7385.0,-676.0,nan,0.405914,nan,nan
BSF1120,trusted_static_union,7,7,14677,14677,1.000000000,3850.543027,3849.000000,53.271386,36.000000,53.373600,3730.0,3765.0,3938.0,3972.0,0,7.0,100.0,8411.0,225.0,nan,0.570265,nan,nan
BSF31CC,trusted_static_union,0,0,14553,14552,0.999931286,3744.760170,3740.000000,51.740101,24.000000,35.582400,3668.0,3688.0,3806.0,3846.49,1,0.0,100.0,1231.0,272.0,-0.0187502,0.169151,nan,0
BSF31CC,trusted_static_union,1,1,14553,14553,1.000000000,1986.360613,1937.000000,153.216816,58.000000,85.990800,1742.0,1821.0,2275.0,2510.0,0,1.0,100.0,2257.0,308.0,nan,0.223579,nan,nan
BSF31CC,trusted_static_union,2,2,14553,14553,1.000000000,2351.930736,2352.000000,36.466561,24.000000,35.582400,2267.0,2293.0,2411.0,2439.0,0,2.0,100.0,3282.0,202.0,nan,0.33728,nan,nan
BSF31CC,trusted_static_union,3,3,14553,14553,1.000000000,3778.088642,3777.000000,56.240438,37.000000,54.856200,3651.0,3688.0,3872.0,3917.0,0,3.0,100.0,4308.0,246.0,nan,0.207473,nan,nan
BSF31CC,trusted_static_union,4,4,14553,14552,0.999931286,3475.442894,3473.000000,69.060880,46.000000,68.199600,3339.0,3372.0,3581.0,3634.0,1,4.0,100.0,5334.0,45.0,-0.0039992,0.48809,nan,0
BSF31CC,trusted_static_union,5,5,14553,14552,0.999931286,1838.134552,1831.000000,61.176039,28.000000,41.512800,1740.0,1768.0,1929.0,2025.0,1,5.0,100.0,6359.0,1153.0,0.0035415,0.337893,nan,0
BSF31CC,trusted_static_union,6,6,14553,14553,1.000000000,2522.628874,2521.000000,48.964203,31.000000,45.960600,2420.0,2447.0,2605.0,2649.4799999999996,0,6.0,100.0,7385.0,-408.0,nan,0.175535,nan,nan
BSF31CC,trusted_static_union,7,7,14553,14553,1.000000000,3301.464784,3302.000000,62.302263,42.000000,62.269200,3153.0,3199.0,3402.0,3440.0,0,7.0,100.0,8411.0,489.0,nan,0.47619,nan,nan
BSFAA61,trusted_static_union,0,0,14501,14498,0.999793118,3996.034419,3927.000000,276.692124,76.000000,112.677600,3397.0,3449.0,4373.0,4410.0,3,0.0,100.0,1231.0,-554.0,0.00387974,0.161287,nan,0
BSFAA61,trusted_static_union,1,1,14501,14501,1.000000000,1298.676022,1266.000000,87.875084,43.000000,63.751800,1176.0,1196.0,1452.0,1472.0,0,1.0,100.0,2257.0,-519.0,nan,-0.519021,nan,nan
BSFAA61,trusted_static_union,2,2,14501,14500,0.999931039,3211.713034,3242.000000,143.576684,77.000000,114.160200,2865.0,2953.0,3417.0,3574.0,1,2.0,100.0,3282.0,-626.0,0.0430622,-0.125522,nan,0
BSFAA61,trusted_static_union,3,3,14501,14501,1.000000000,4098.596097,4100.000000,50.245142,32.000000,47.443200,3986.0,4018.0,4170.0,4212.0,0,3.0,100.0,4308.0,-583.0,nan,-0.136442,nan,nan
BSFAA61,trusted_static_union,4,4,14501,14500,0.999931039,3470.452621,3482.000000,53.206668,32.000000,47.443200,3344.99,3372.0,3540.0,3560.0,1,4.0,100.0,5334.0,-783.0,0.0407282,0.621581,nan,0
BSFAA61,trusted_static_union,5,5,14501,14481,0.998620785,1326.359091,1318.000000,72.772538,50.000000,74.130000,1185.0,1219.0,1456.0,1502.0,20,5.0,100.0,6359.0,316.0,0.0107308,-0.339667,nan,0
BSFAA61,trusted_static_union,6,6,14501,14500,0.999931039,2936.563586,2876.500000,214.055735,98.500000,146.036100,2655.99,2722.0,3388.0,3599.0,1,6.0,100.0,7385.0,-1237.0,0.0109775,0.341957,nan,0
BSFAA61,trusted_static_union,7,7,14501,14501,1.000000000,3774.922971,3779.000000,70.397405,50.000000,74.130000,3620.0,3654.0,3884.0,3919.0,0,7.0,100.0,8411.0,-333.0,nan,0.814974,nan,nan
BSFB165,trusted_static_union,0,0,13865,13864,0.999927876,3580.203693,3575.000000,43.269023,23.000000,34.099800,3508.0,3525.0,3650.0,3729.0,1,0.0,100.0,1231.0,-278.0,0.000862604,0.327002,nan,0
BSFB165,trusted_static_union,1,1,13865,13864,0.999927876,1999.764426,1932.000000,207.081575,43.000000,63.751800,1805.63,1843.0,2545.0,2820.369999999999,1,1.0,100.0,2257.0,-236.0,0.0130681,0.272803,nan,0
