node,sensor_axis,n,mean,median,std,mad,p01,p99,temperature_c_mean,temperature_correlation
BSF3C79,acc_x_g,345199,-0.0253393129,-0.025390625,0.00306545849,0.0009765625,-0.0341796875,-0.0166015625,33.530061,0.0109711
BSF3C79,acc_y_g,345199,0.0274877128,0.02734375,0.00437347122,0.0009765625,0.0141601562,0.0400390625,33.530061,0.0307445
BSF3C79,acc_z_g,345199,-1.00781441,-1.0078125,0.00533869965,0.0009765625,-1.01904297,-0.996582031,33.530061,-0.00449888
BSF3C79,gyro_x_dps,345199,-0.214594538,-0.244140625,0.104124769,0.0610351562,-0.305175781,-0.122070312,33.530061,-0.0111359
BSF3C79,gyro_y_dps,345199,-0.316398892,-0.305175781,0.09316216,0,-0.48828125,-0.183105469,33.530061,-0.0202912
BSF3C79,gyro_z_dps,345199,0.0206625466,0,0.122856893,0,-0.122070312,0.366210938,33.530061,0.0701328
BSFC2CC,acc_x_g,350419,-0.0255664664,-0.0141601562,0.019979288,0.00244140625,-0.0581054688,-0.00537109375,33.567356,-0.0382647
BSFC2CC,acc_y_g,350419,0.0474851694,0.0385742188,0.0166070889,0.00341796875,0.0268554688,0.07421875,33.567356,0.0451762
BSFC2CC,acc_z_g,350419,-1.01220062,-1.01269531,0.00323320586,0.00146484375,-1.01855469,-1.00732422,33.567356,0.0211347
BSFC2CC,gyro_x_dps,350419,0.075310756,0.0610351562,0.176221734,0,-0.0610351562,0.244140625,33.567356,-0.00234536
BSFC2CC,gyro_y_dps,350419,-0.362110273,-0.366210938,0.229422358,0.0610351562,-0.793457031,0,33.567356,-0.000854512
BSFC2CC,gyro_z_dps,350419,0.0116758243,0,0.137847961,0,-0.183105469,0.366210938,33.567356,0.00306817
BSF44AD,acc_x_g,328996,-0.0109645704,-0.0107421875,0.00295450136,0.0009765625,-0.0200195312,-0.001953125,34.643956,-0.016458
BSF44AD,acc_y_g,328996,-0.00618808875,-0.005859375,0.00315302447,0.0009765625,-0.015625,0.001953125,34.643956,-0.051809
