node,samples,mean_hz,dt_mean_us,dt_std_us,dt_p01_us,dt_p99_us,sequence_gaps,batch_n_distribution,clock_fit_ppm,master_receipt_residual_abs_p95_ms
BSF3C79,359981,199.992538086,5000.186555,79.170728,5000.0,5000.0,0,"{""10"": 359970, ""2"": 2, ""9"": 9}",-32.261598,31.777763
BSFC2CC,360031,199.995994303,5000.100144,60.089080,5000.0,5000.0,0,"{""1"": 1, ""10"": 360030}",-72.533836,96.066546
BSF44AD,359985,199.991719641,5000.207018,87.828512,5000.0,5000.0,0,"{""10"": 359980, ""2"": 2, ""3"": 3}",-32.008211,33.986900
BSF6C53,359969,199.980339963,5000.491549,132.005167,5000.0,5000.0,0,"{""10"": 359940, ""2"": 2, ""5"": 5, ""6"": 6, ""8"": 16}",-35.298261,26.575836
BSF8BC4,359980,199.987937579,5000.301579,104.482947,5000.0,5000.0,0,"{""10"": 359960, ""4"": 4, ""8"": 16}",-32.191530,46.688213
BSF1120,359969,199.988617192,5000.284586,98.629140,5000.0,5000.0,0,"{""1"": 1, ""10"": 359960, ""2"": 2, ""6"": 6}",-33.737593,44.686736
BSF31CC,359999,199.996268493,5000.093289,55.973411,5000.0,5000.0,0,"{""10"": 359990, ""9"": 9}",-33.856533,39.886997
BSFAA61,359960,199.977206002,5000.569915,139.660775,5000.0,5000.0,0,"{""10"": 359920, ""3"": 3, ""4"": 4, ""8"": 24, ""9"": 9}",-27.171487,50.938255
BSFB165,359990,199.992507718,5000.187314,79.494233,5000.0,5000.0,0,"{""1"": 1, ""10"": 359980, ""9"": 9}",-32.675437,36.308632
BSFEC35,359962,199.980618556,5000.484583,130.048654,5000.0,5000.0,0,"{""10"": 359940, ""3"": 3, ""4"": 4, ""6"": 6, ""9"": 9}",-24.112856,34.288592
