node,sensor_axis,segment_start_s,segment_end_s,tau_s,allan_deviation
BSF3C79,acc_x_g,1,484,0.005,0.000616356038
BSF3C79,acc_x_g,1,484,0.015,0.000347280697
BSF3C79,acc_x_g,1,484,0.025,0.000259107497
BSF3C79,acc_x_g,1,484,0.05,0.000181058068
BSF3C79,acc_x_g,1,484,0.095,0.000129359923
BSF3C79,acc_x_g,1,484,0.175,9.33010904e-05
BSF3C79,acc_x_g,1,484,0.315,6.92663037e-05
BSF3C79,acc_x_g,1,484,0.575,5.28298452e-05
BSF3C79,acc_x_g,1,484,1.045,4.07105189e-05
BSF3C79,acc_x_g,1,484,1.89,2.97034845e-05
BSF3C79,acc_x_g,1,484,3.425,2.21866971e-05
BSF3C79,acc_x_g,1,484,6.205,1.75190432e-05
BSF3C79,acc_x_g,1,484,11.235,1.3700631e-05
BSF3C79,acc_x_g,1,484,20.34,1.08717576e-05
BSF3C79,acc_x_g,1,484,36.83,8.45683594e-06
BSF3C79,acc_x_g,1,484,66.685,7.49430009e-06
BSF3C79,acc_x_g,1,484,120.745,6.45462345e-06
BSF3C79,acc_y_g,1,484,0.005,0.00055793463
BSF3C79,acc_y_g,1,484,0.015,0.000333260629
BSF3C79,acc_y_g,1,484,0.025,0.000260118486
BSF3C79,acc_y_g,1,484,0.05,0.000182758369
BSF3C79,acc_y_g,1,484,0.095,0.000131864874
BSF3C79,acc_y_g,1,484,0.175,9.62167495e-05
BSF3C79,acc_y_g,1,484,0.315,7.08491831e-05
BSF3C79,acc_y_g,1,484,0.575,5.12927262e-05
BSF3C79,acc_y_g,1,484,1.045,3.86398448e-05
BSF3C79,acc_y_g,1,484,1.89,2.78765873e-05
BSF3C79,acc_y_g,1,484,3.425,2.11476671e-05
BSF3C79,acc_y_g,1,484,6.205,1.64576483e-05
BSF3C79,acc_y_g,1,484,11.235,1.30697819e-05
BSF3C79,acc_y_g,1,484,20.34,8.92172489e-06
BSF3C79,acc_y_g,1,484,36.83,6.55256384e-06
BSF3C79,acc_y_g,1,484,66.685,6.59473954e-06
BSF3C79,acc_y_g,1,484,120.745,4.01306484e-06
BSF3C79,acc_z_g,1,484,0.005,0.000986446584
BSF3C79,acc_z_g,1,484,0.015,0.000993733715
BSF3C79,acc_z_g,1,484,0.025,0.000488597407
BSF3C79,acc_z_g,1,484,0.05,0.000291440221
BSF3C79,acc_z_g,1,484,0.095,0.000197742082
BSF3C79,acc_z_g,1,484,0.175,0.000125724352
BSF3C79,acc_z_g,1,484,0.315,8.72935823e-05
BSF3C79,acc_z_g,1,484,0.575,6.31327589e-05
BSF3C79,acc_z_g,1,484,1.045,4.76701984e-05
BSF3C79,acc_z_g,1,484,1.89,3.66376536e-05
BSF3C79,acc_z_g,1,484,3.425,2.87939954e-05
BSF3C79,acc_z_g,1,484,6.205,2.40145532e-05
