node,start_s,end_s,duration_s,common_all_nodes,accel_stability,gyro_stability,uwb_stability,confidence,exclusion_reason
BSF3C79,1,484,483,1,PASS,PASS,PASS,HIGH,
BSF3C79,487,597,110,0,PASS,PASS,PASS,HIGH,
BSF3C79,600,610,10,0,PASS,PASS,PASS,MEDIUM,
BSF3C79,617,693,76,0,PASS,PASS,PASS,HIGH,
BSF3C79,696,871,175,0,PASS,PASS,PASS,HIGH,
BSF3C79,876,950,74,0,PASS,PASS,PASS,HIGH,
BSF3C79,953,963,10,0,PASS,PASS,PASS,MEDIUM,
BSF3C79,968,1002,34,0,PASS,PASS,PASS,HIGH,
BSF3C79,1006,1025,19,1,PASS,PASS,PASS,MEDIUM,
BSF3C79,1028,1077,49,0,PASS,PASS,PASS,HIGH,
BSF3C79,1081,1165,84,0,PASS,PASS,PASS,HIGH,
BSF3C79,1168,1183,15,0,PASS,PASS,PASS,MEDIUM,
BSF3C79,1189,1214,25,0,PASS,PASS,PASS,MEDIUM,
BSF3C79,1217,1232,15,0,PASS,PASS,PASS,MEDIUM,
BSF3C79,1241,1440,199,0,PASS,PASS,PASS,HIGH,
BSF3C79,1445,1459,14,0,PASS,PASS,PASS,MEDIUM,
BSF3C79,1462,1742,280,0,PASS,PASS,PASS,HIGH,
BSF3C79,1745,1799,54,0,PASS,PASS,PASS,HIGH,
BSFC2CC,1,485,484,0,PASS,PASS,PASS,HIGH,
BSFC2CC,488,496,8,0,PASS,PASS,PASS,MEDIUM,
BSFC2CC,499,848,349,0,PASS,PASS,PASS,HIGH,
BSFC2CC,851,896,45,0,PASS,PASS,PASS,HIGH,
BSFC2CC,899,950,51,0,PASS,PASS,PASS,HIGH,
BSFC2CC,953,1183,230,0,PASS,PASS,PASS,HIGH,
BSFC2CC,1186,1213,27,0,PASS,PASS,PASS,MEDIUM,
BSFC2CC,1216,1282,66,0,PASS,PASS,PASS,HIGH,
BSFC2CC,1289,1315,26,0,PASS,PASS,PASS,MEDIUM,
BSFC2CC,1322,1430,108,0,PASS,PASS,PASS,HIGH,
BSFC2CC,1433,1440,7,1,PASS,PASS,PASS,MEDIUM,
BSFC2CC,1444,1458,14,0,PASS,PASS,PASS,MEDIUM,
BSFC2CC,1462,1799,337,0,PASS,PASS,PASS,HIGH,
BSF44AD,1,485,484,0,PASS,PASS,PASS,HIGH,
BSF44AD,488,496,8,0,PASS,PASS,PASS,MEDIUM,
BSF44AD,499,950,451,0,PASS,PASS,PASS,HIGH,
BSF44AD,953,1132,179,0,PASS,PASS,PASS,HIGH,
BSF44AD,1136,1146,10,0,PASS,PASS,PASS,MEDIUM,
BSF44AD,1166,1179,13,0,PASS,PASS,PASS,MEDIUM,
BSF44AD,1199,1209,10,0,PASS,PASS,PASS,MEDIUM,
BSF44AD,1291,1315,24,0,PASS,PASS,PASS,MEDIUM,
BSF44AD,1333,1799,466,0,PASS,PASS,PASS,HIGH,
BSF6C53,1,1122,1121,0,PASS,PASS,PASS,HIGH,
BSF6C53,1373,1739,366,0,PASS,PASS,PASS,HIGH,
BSF6C53,1743,1761,18,0,PASS,PASS,PASS,MEDIUM,
BSF6C53,1780,1791,11,0,PASS,PASS,PASS,MEDIUM,
BSF6C53,1796,1799,3,1,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1,485,484,0,PASS,PASS,PASS,HIGH,
BSF8BC4,493,496,3,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,499,725,226,0,PASS,PASS,PASS,HIGH,
BSF8BC4,728,950,222,0,PASS,PASS,PASS,HIGH,
BSF8BC4,953,963,10,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,969,1133,164,0,PASS,PASS,PASS,HIGH,
BSF8BC4,1136,1146,10,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1149,1162,13,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1166,1180,14,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1197,1213,16,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1220,1224,4,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1290,1316,26,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1319,1324,5,0,PASS,PASS,PASS,MEDIUM,
BSF8BC4,1333,1724,391,0,PASS,PASS,PASS,HIGH,
BSF8BC4,1728,1799,71,0,PASS,PASS,PASS,HIGH,
BSF1120,1,485,484,0,PASS,PASS,PASS,HIGH,
BSF1120,488,496,8,0,PASS,PASS,PASS,MEDIUM,
BSF1120,499,810,311,0,PASS,PASS,PASS,HIGH,
BSF1120,813,950,137,0,PASS,PASS,PASS,HIGH,
BSF1120,953,963,10,0,PASS,PASS,PASS,MEDIUM,
BSF1120,966,1182,216,0,PASS,PASS,PASS,HIGH,
BSF1120,1186,1235,49,0,PASS,PASS,PASS,HIGH,
BSF1120,1239,1261,22,0,PASS,PASS,PASS,MEDIUM,
BSF1120,1271,1440,169,0,PASS,PASS,PASS,HIGH,
BSF1120,1444,1799,355,0,PASS,PASS,PASS,HIGH,
BSF31CC,1,485,484,0,PASS,PASS,PASS,HIGH,
BSF31CC,488,502,14,0,PASS,PASS,PASS,MEDIUM,
BSF31CC,506,559,53,0,PASS,PASS,PASS,HIGH,
BSF31CC,562,567,5,1,PASS,PASS,PASS,MEDIUM,
BSF31CC,570,599,29,0,PASS,PASS,PASS,MEDIUM,
BSF31CC,602,648,46,0,PASS,PASS,PASS,HIGH,
BSF31CC,651,949,298,0,PASS,PASS,PASS,HIGH,
BSF31CC,958,963,5,1,PASS,PASS,PASS,MEDIUM,
BSF31CC,968,1142,174,0,PASS,PASS,PASS,HIGH,
BSF31CC,1145,1182,37,0,PASS,PASS,PASS,HIGH,
BSF31CC,1187,1202,15,0,PASS,PASS,PASS,MEDIUM,
BSF31CC,1205,1231,26,0,PASS,PASS,PASS,MEDIUM,
BSF31CC,1239,1799,560,0,PASS,PASS,PASS,HIGH,
BSFAA61,1,485,484,0,PASS,PASS,PASS,HIGH,
BSFAA61,489,496,7,0,PASS,PASS,PASS,MEDIUM,
BSFAA61,501,621,120,0,PASS,PASS,PASS,HIGH,
BSFAA61,624,725,101,0,PASS,PASS,PASS,HIGH,
BSFAA61,728,949,221,0,PASS,PASS,PASS,HIGH,
BSFAA61,953,963,10,0,PASS,PASS,PASS,MEDIUM,
BSFAA61,968,1028,60,0,PASS,PASS,PASS,HIGH,
BSFAA61,1031,1183,152,0,PASS,PASS,PASS,HIGH,
BSFAA61,1186,1189,3,0,PASS,PASS,PASS,MEDIUM,
BSFAA61,1196,1213,17,0,PASS,PASS,PASS,MEDIUM,
BSFAA61,1216,1235,19,0,PASS,PASS,PASS,MEDIUM,
BSFAA61,1239,1261,22,0,PASS,PASS,PASS,MEDIUM,
BSFAA61,1271,1724,453,0,PASS,PASS,PASS,HIGH,
BSFAA61,1728,1799,71,0,PASS,PASS,PASS,HIGH,
BSFB165,1,484,483,1,PASS,PASS,PASS,HIGH,
BSFB165,488,495,7,0,PASS,PASS,PASS,MEDIUM,
BSFB165,498,535,37,0,PASS,PASS,PASS,HIGH,
BSFB165,538,631,93,0,PASS,PASS,PASS,HIGH,
BSFB165,634,679,45,0,PASS,PASS,PASS,HIGH,
BSFB165,682,744,62,0,PASS,PASS,PASS,HIGH,
BSFB165,747,891,144,0,PASS,PASS,PASS,HIGH,
BSFB165,898,942,44,0,PASS,PASS,PASS,HIGH,
BSFB165,945,950,5,0,PASS,PASS,PASS,MEDIUM,
BSFB165,958,963,5,1,PASS,PASS,PASS,MEDIUM,
BSFB165,968,1164,196,0,PASS,PASS,PASS,HIGH,
BSFB165,1167,1183,16,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1186,1214,28,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1217,1232,15,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1241,1256,15,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1260,1264,4,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1267,1280,13,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1284,1319,35,0,PASS,PASS,PASS,HIGH,
BSFB165,1330,1394,64,0,PASS,PASS,PASS,HIGH,
BSFB165,1398,1440,42,0,PASS,PASS,PASS,HIGH,
BSFB165,1445,1461,16,0,PASS,PASS,PASS,MEDIUM,
BSFB165,1464,1527,63,0,PASS,PASS,PASS,HIGH,
