node,records,mean_hz,dt_mean_us,dt_std_us,dt_p01_us,dt_p99_us,sweep_gaps,listener_dedup_mean_hz,listener_receiver_count_median
BSF3C79,15000,8.333203637,120001.867658,1055.828909,117726.0,122281.0,0,8.333333,5.0
BSFC2CC,15002,8.333208200,120001.801947,954.252535,118194.0,122396.0,0,0.046667,0.0
BSF44AD,15000,8.333214697,120001.708381,955.911794,118199.96,122349.14,0,0.225000,0.0
BSF6C53,15000,8.333191048,120002.048937,963.446532,118134.0,122398.14,0,8.268889,4.0
BSF8BC4,14999,8.333205735,120001.837445,995.730627,117722.0,122408.03,0,8.333333,5.0
BSF1120,14999,8.333198030,120001.948393,957.270668,118180.97,122352.33,0,8.243889,3.0
BSF31CC,14999,8.333202424,120001.885118,971.193728,117906.91,122408.0,0,1.590000,1.0
BSFAA61,15000,8.333219610,120001.637643,954.084036,118174.98,122369.06,0,0.569444,0.0
BSFB165,15000,8.333213859,120001.720448,963.835111,118124.82,122357.06,0,4.229444,3.0
BSFEC35,15000,8.333266473,120000.962798,1011.861534,117706.0,122364.04000000001,0,1.930556,2.0
