step,token,disposition,wall,monotonic,from_t0_s
MOUNT_A_READY,MOUNT_A_READY,ACCEPT,2026-08-13T16:25:31.378+02:00,94808.366025269,49.365760876
A_VERTICAL_START,A_VERTICAL_START,ACCEPT,2026-08-13T16:26:12.103+02:00,94849.091366548,90.091102155
A_VERTICAL_DONE,A_VERTICAL_DONE,ACCEPT,2026-08-13T16:26:36.994+02:00,94873.981993200,114.981728807
A_VERTICAL_RETRY_START,A_VERTICAL_RETRY_START,ACCEPT,2026-08-13T16:27:32.254+02:00,94929.242014474,170.241750081
A_VERTICAL_RETRY_DONE,A_VERTICAL_RETRY_DONE,ACCEPT,2026-08-13T16:27:56.797+02:00,94953.785036988,194.784772595
A_HORIZONTAL_1_START,A_HORIZONTAL_1_START,ACCEPT,2026-08-13T16:28:36.985+02:00,94993.972946800,234.972682407
A_HORIZONTAL_1_DONE,A_HORIZONTAL_1_DONE,ACCEPT,2026-08-13T16:29:09.841+02:00,95026.829012517,267.828748124
A_HORIZONTAL_2_START,A_HORIZONTAL_2_START,ACCEPT,2026-08-13T16:29:31.316+02:00,95048.303607972,289.303343579
A_HORIZONTAL_2_DONE,A_HORIZONTAL_2_DONE,ACCEPT,2026-08-13T16:29:58.838+02:00,95075.825510558,316.825246165
A_VALIDATION_START,A_VALIDATION_START,ACCEPT,2026-08-13T16:30:24.511+02:00,95101.498853823,342.498589430
A_VALIDATION_DONE,A_VALIDATION_DONE,ACCEPT,2026-08-13T16:30:51.155+02:00,95128.142677857,369.142413464
A_ROTATION_START,A_ROTATION_START,ACCEPT,2026-08-13T16:31:21.495+02:00,95158.483039820,399.482775427
A_ROTATION_DONE,A_ROTATION_DONE,ACCEPT,2026-08-13T16:31:46.053+02:00,95183.040839026,424.040574633
REMOUNT_B_START,REMOUNT_B_START,ACCEPT,2026-08-13T16:32:36.664+02:00,95233.651873169,474.651608776
MOUNT_B_READY,MOUNT_B_READY,ACCEPT,2026-08-13T16:32:50.922+02:00,95247.909947541,488.909683148
B_VERTICAL_START,B_VERTICAL_START,ACCEPT,2026-08-13T16:33:19.259+02:00,95276.246627860,517.246363467
B_VERTICAL_DONE,B_VERTICAL_DONE,ACCEPT,2026-08-13T16:33:43.068+02:00,95300.055937915,541.055673522
B_VERTICAL_RETRY_START,B_VERTICAL_RETRY_START,ACCEPT,2026-08-13T16:35:08.663+02:00,95385.651299909,626.651035516
B_VERTICAL_RETRY_DONE,B_VERTICAL_RETRY_DONE,ACCEPT,2026-08-13T16:35:27.465+02:00,95404.452880457,645.452616064
B_HORIZONTAL_1_START,B_HORIZONTAL_1_START,ACCEPT,2026-08-13T16:35:49.822+02:00,95426.810016023,667.809751630
B_HORIZONTAL_1_DONE,B_HORIZONTAL_1_DONE,ACCEPT,2026-08-13T16:36:13.727+02:00,95450.715157436,691.714893043
B_HORIZONTAL_2_START,B_HORIZONTAL_2_START,ACCEPT,2026-08-13T16:36:43.976+02:00,95480.963722258,721.963457865
B_HORIZONTAL_2_DONE,B_HORIZONTAL_2_DONE,ACCEPT,2026-08-13T16:36:57.956+02:00,95494.943467718,735.943203325
B_VALIDATION_START,B_VALIDATION_START,ACCEPT,2026-08-13T16:37:27.439+02:00,95524.426850937,765.426586544
B_VALIDATION_DONE,B_VALIDATION_DONE,ACCEPT,2026-08-13T16:37:54.493+02:00,95551.481113029,792.480848636
B_ROTATION_START,B_ROTATION_START,ACCEPT,2026-08-13T16:38:22.728+02:00,95579.716301436,820.716037043
B_ROTATION_DONE,B_ROTATION_DONE,ACCEPT,2026-08-13T16:38:53.487+02:00,95610.474680850,851.474416457
STOP_CAPTURE,STOP_CAPTURE,ACCEPT,2026-08-13T16:39:56.421+02:00,95673.408680405,914.408416012
