mount,fit_excluded,binding_status,records,span_m,direction_explained,direction_error_median_deg,direction_error_p95_deg,q1_spatial_status,result
A,true,BLOCKED_INSUFFICIENT_EXCITATION,222,1.2469941871444465,0.46864772412904326,,,BLOCKED_BINDING,NOT_EVALUABLE
B,true,BLOCKED_INSUFFICIENT_EXCITATION,226,1.6599383439815876,0.7072599942888196,,,BLOCKED_BINDING,NOT_EVALUABLE
