layout,best_pair,best_median_3d_mm,best_p95_3d_mm,best_scale_factor
V5,B-D,58.36376613568662,128.31112840478562,1.0091531863328638
V4,F-H,55.18943521394794,140.99174175904787,0.9782913868782942
