pair,scale_factor,baseline_v5_dist_mm,baseline_vicon_dist_mm,median_3d,rmse_3d,p95_3d,delta_vs_uncorrected
B-D,1.0091531863328638,3409.2733543852805,3440.4790686576366,58.36376613568662,76.01852609880484,128.31112840478562,-9.484964754637303
D-G,1.0107573455084602,2933.1923208538738,2964.7456840920613,59.446954218932596,75.61803070417356,124.38197706816446,-8.401776671391325
B-C,1.0131859048805758,2150.7731922336343,2179.133082966119,59.665455368111566,75.45547878405655,126.83746029319396,-8.183275522212355
B-H,1.0161642794916963,3685.9314321875577,3745.511858044666,60.37044394085665,75.95973333838717,132.8360297002377,-7.478286949467268
B-E,1.0227034186863726,2890.342443485679,2955.9630981271275,60.459368152016424,79.44049509161785,145.37139920571818,-7.389362738307497
C-G,1.0186513465831277,1380.7365265845742,1406.489122081887,60.611536891550614,76.91810347226384,137.47635137063995,-7.237193998773307
C-E,1.0168620336031788,3657.0427790940694,3718.707957323416,60.851659561013406,76.18001014011591,134.0916423977553,-6.997071329310515
E-F,1.0194177421527184,2631.7424342907548,2682.8449302921804,61.2594083787714,77.30752777361107,139.10677717844902,-6.589322511552524
G-H,1.0068685072270038,2721.0351050683494,2739.7245543524423,62.78407140615701,76.99675173302833,134.1857339591806,-5.06465948416691
B-F,1.0053290117609794,1385.0022303330618,1392.3829235074895,63.67481155846531,77.92716783802264,138.30586851829239,-4.173919331858613
E-G,1.0049122810930164,3477.918867935556,3495.0033830335615,63.940598134974465,78.21630967138884,139.44462805287657,-3.908132755349456
A-H,1.004321034403678,2506.370215096167,2517.200327023951,64.8583668457313,78.65328193176241,141.0778437518962,-2.9903640445926243
C-H,0.9975958758289887,3098.6957960802906,3091.2461466183227,71.98915270800109,85.808041287944,158.9173757924691,4.140421817677165
D-F,1.0309338657574914,3625.1607987903144,3737.3010362894142,72.06655403345846,87.65038561323402,151.30598952605789,4.217823143134538
D-E,1.0310727854960033,2580.626378477313,2660.813628381067,72.3013809793992,87.82002623600691,151.62703646401297,4.452650089075277
C-D,0.997336092608167,2643.989820574747,2636.9464765477865,72.47066827623658,86.16236822827175,159.12905513893602,4.621937385912659
B-G,0.9973239544837,2666.0941601505256,2658.9595708272213,72.49325910701407,86.17907057276251,159.1389781404791,4.644528216690148
A-F,0.9931540130925435,3095.2142167306856,3074.024420727174,72.54772223325031,92.61947237737117,162.68787019322755,4.698991342926391
D-H,0.9893750058295843,1410.6134074869485,1395.6256482556894,73.79464230195487,99.5674996878577,166.87378236084083,5.945911411630945
A-D,0.9872232873593094,2193.8905563868348,2165.8598471827554,77.81485005349717,103.9342601737927,171.30840956070313,9.966119163173246
F-G,1.0354397938319775,2159.599475125646,2236.1352352837457,80.61810770182082,93.57034882971388,157.76870205870463,12.769376811496898
A-B,0.9830448829380645,2711.030191840447,2665.0643575793506,86.8765871777159,113.16686753458602,182.7293806646719,19.027856287391984
F-H,1.0443672705868368,3360.804014018617,3509.9137150979086,92.71463923031786,107.21031769547264,162.010942765497,24.865908339993936
A-G,0.9809668796793038,3806.840203543696,3734.3841559079856,93.54942763299576,118.08898026638036,188.57760848370984,25.700696742671838
E-H,1.0453073987168,2103.6520400305703,2198.9630417696453,94.38100559379689,108.74540120388973,163.32785395014227,26.532274703472964
A-C,0.9795855694930079,3485.2580604050895,3414.1085019320158,96.39095176610262,121.46800331262125,192.43517222566467,28.542220875778696
C-F,1.0477417100009978,2449.354164733979,2566.2905209564447,99.14608206727908,112.77688481831139,166.9388473743063,31.29735117695516
A-E,1.0512497301570554,1335.2075263118716,1403.6365517390243,104.32733399522057,118.68448867571743,171.51167276520778,36.47860310489665
