pair,scale_factor,median_3d,rmse_3d,p95_3d,source
F-H,0.9782913868782942,55.18943521394794,77.76194676036366,140.99174175904787,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-F,0.9765635561861687,56.25444379508194,77.48422861540494,138.42261305973832,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-C,0.9718083724384106,56.39920031672207,77.09185028792935,132.16908308638804,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
D-F,0.9719302674602311,56.54736986702972,77.09696681041095,132.34959992947435,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-F,0.975605377415552,56.680193609256605,77.32704707769776,137.0324143265626,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
C-G,0.9704183034495916,56.91239743300714,77.12818308511474,130.7059459127877,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
E-H,0.96939526613397,57.28405442212484,77.24395448739763,129.70235688771945,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
F-G,0.9732980473662216,57.35337738396646,77.1107680537452,133.7838328956963,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-G,0.9688576004001094,57.40793723319798,77.2791305467967,129.1038749853815,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
B-E,0.9678795262316584,57.53880793780152,77.35448020330082,129.32862465011294,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_AutoPos_one_baseline_scale_correction/tables/static_accuracy_summary.csv
