phase,material,wall_count,walls,distance_cm,seed,metal_box_count,device,tag_points,trials,samples,range_bias_mean_m,range_sigma_mean_m,hor_err_p50_m,hor_err_p90_m,hor_err_p95_m,z_err_p50_m,z_err_p90_m,z_err_p95_m,pos_err_p50_m,pos_err_p90_m,pos_err_p95_m,failure_gt_0p5m_ratio,failure_gt_1p0m_ratio
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,0,,0,cuda:0,847,128,108416,0.21002571284770966,0.1116766631603241,0.1974523663520813,0.3522205352783203,0.39860284328460693,0.37497207522392273,0.6579159498214722,0.7324068546295166,0.4494062066078186,0.6926382780075073,0.7634071707725525,0.39680489897727966,0.003043831093236804
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,5,,0,cuda:0,847,128,108416,0.1820666790008545,0.10080370306968689,0.17936554551124573,0.3242384195327759,0.37034323811531067,0.3416510820388794,0.6032718420028687,0.6731430292129517,0.40969109535217285,0.6365547180175781,0.703162431716919,0.303774356842041,0.0014481256948783994
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,10,,0,cuda:0,847,128,108416,0.15782959759235382,0.09137816727161407,0.1577957570552826,0.29398584365844727,0.33553776144981384,0.30167174339294434,0.5382791757583618,0.6040221452713013,0.3638247549533844,0.5700116157531738,0.633406400680542,0.19469450414180756,0.0005073052016086876
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,15,,0,cuda:0,847,128,108416,0.13681893050670624,0.08320736140012741,0.1377505362033844,0.2573830485343933,0.29442399740219116,0.26337194442749023,0.4749593436717987,0.5335984826087952,0.3181193470954895,0.5019131898880005,0.5583460330963135,0.10226350277662277,6.456611299654469e-05
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,20,,0,cuda:0,847,128,108416,0.11860532313585281,0.07612428814172745,0.12003171443939209,0.22386133670806885,0.25686439871788025,0.22806236147880554,0.41358011960983276,0.4652409553527832,0.27653446793556213,0.4377894997596741,0.4864494800567627,0.040353819727897644,9.223730558005627e-06
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,25,,0,cuda:0,847,128,108416,0.10281635075807571,0.06998413056135178,0.10520224273204803,0.1961507797241211,0.22453610599040985,0.198082834482193,0.3600528836250305,0.4059394896030426,0.2410069704055786,0.38124263286590576,0.4245801866054535,0.013558884151279926,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,30,,0,cuda:0,847,128,108416,0.08912921696901321,0.06466136127710342,0.09257618337869644,0.1718929409980774,0.19714759290218353,0.17125236988067627,0.3160875141620636,0.35589924454689026,0.2097064107656479,0.3346461355686188,0.37267380952835083,0.0037079397588968277,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,35,,0,cuda:0,847,128,108416,0.07726415246725082,0.060047172009944916,0.08128246665000916,0.15177589654922485,0.1740627884864807,0.1485549509525299,0.2763662338256836,0.3130095303058624,0.1825302392244339,0.29278287291526794,0.3265758752822876,0.000811688310932368,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,40,,0,cuda:0,847,128,108416,0.0669785663485527,0.056047216057777405,0.0715104341506958,0.13354238867759705,0.15331993997097015,0.12852028012275696,0.2421649545431137,0.27427124977111816,0.1595434844493866,0.2567311227321625,0.28711703419685364,0.00011068476305808872,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,45,,0,cuda:0,847,128,108416,0.05806224048137665,0.05257976055145264,0.06335259228944778,0.11843457818031311,0.13597986102104187,0.11145410686731339,0.21359321475028992,0.2418503761291504,0.13958995044231415,0.22658957540988922,0.25326356291770935,1.8447461116011254e-05,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,50,,0,cuda:0,847,128,108416,0.05033288151025772,0.04957389459013939,0.05636810511350632,0.1052391529083252,0.12046822160482407,0.09686210751533508,0.18794266879558563,0.2135784775018692,0.12240149080753326,0.20001080632209778,0.22363942861557007,0.0,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,55,,0,cuda:0,847,128,108416,0.04363246262073517,0.04696818068623543,0.05027575418353081,0.09374284744262695,0.10753490775823593,0.08443716168403625,0.16625620424747467,0.18909704685211182,0.1077590361237526,0.1772480010986328,0.19870245456695557,0.0,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,60,,0,cuda:0,847,128,108416,0.03782401606440544,0.04470933601260185,0.045133866369724274,0.08424361050128937,0.09656296670436859,0.07328860461711884,0.14788168668746948,0.16914424300193787,0.09501990675926208,0.15802329778671265,0.1778402477502823,0.0,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,65,,0,cuda:0,847,128,108416,0.032788798213005066,0.04275119677186012,0.04074283689260483,0.07605261355638504,0.08735920488834381,0.0638936460018158,0.13153663277626038,0.15114600956439972,0.08413922786712646,0.14077185094356537,0.15920066833496094,0.0,0.0
phase1,phase1_default_wall,4,x_min+x_max+y_min+y_max,70,,0,cuda:0,847,128,108416,0.028423884883522987,0.041053734719753265,0.037320856004953384,0.06901256740093231,0.07946217060089111,0.05660213530063629,0.1184634268283844,0.13547003269195557,0.07545341551303864,0.12689276039600372,0.14286527037620544,0.0,0.0
