node,configuration,static_rms_m,static_p95_m,false_suspected,temporary_unlock,persistent_false_transition,movement_unlock_latency_s,movement_relock_latency_s,silent_creep_m,published_locked_max_step_m
BSF8BC4,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,threshold_0.8,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
BSF8BC4,threshold_1.0,0.0,0.0,0,0,0,,,0,0.0
BSF1120,no_stationary_lock_B0,0.0533894196963,0.0875910359644,,,,,,,
BSF1120,lock_no_platform_conflict,0.0,0.0,0,0,0,,,0,0.0
BSF1120,instantaneous_detector,0.0,0.0,0,0,0,,,0,0.0
BSF1120,global_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF1120,node_specific_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF1120,raw_range_updates,0.0,0.0,0,0,0,,,0,0.0
BSF1120,fleet_context_detector,0.0,0.0,0,0,0,,,0,0.0
BSF1120,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSF1120,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSF1120,threshold_0.8,0.0,0.0,1,0,0,,,0,0.0
BSF1120,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSF1120,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSF1120,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSF1120,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSF1120,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSF1120,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
BSF1120,threshold_1.0,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,no_stationary_lock_B0,0.0602903339486,0.103151956042,,,,,,,
BSF31CC,lock_no_platform_conflict,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,instantaneous_detector,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,global_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,node_specific_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,raw_range_updates,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,fleet_context_detector,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,threshold_0.8,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
BSF31CC,threshold_1.0,0.0,0.0,0,0,0,,,0,0.0
BSFAA61,no_stationary_lock_B0,0.165895583641,0.324545623461,,,,0,0,,
BSFAA61,lock_no_platform_conflict,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,instantaneous_detector,0.0,0.0,0,0,0,4.61952689038,1.91943722448,0.0,0.0
BSFAA61,global_position_covariance,0.0,0.0,0,0,0,4.86952009751,8.46925925124,0.0,0.0
BSFAA61,node_specific_position_covariance,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,raw_range_updates,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,fleet_context_detector,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,no_zupt,0.0,0.0,0,0,0,4.86952009751,9.16924023119,0.0,0.0
BSFAA61,fixed_settling_scatter,0.0,0.0,0,0,0,4.86952009751,7.76927827127,0.0,0.0
BSFAA61,threshold_0.8,0.0,0.0,1,0,0,4.86952009751,2.56941956301,0.0,0.0
BSFAA61,threshold_1.2,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,multi_timescale_detector,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,standalone_detector,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,zupt_enabled,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,t4_position_updates,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,covariance_normalized_settling,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFAA61,threshold_1.0,0.0,0.0,0,0,0,4.86952009751,1.91943722448,0.0,0.0
BSFB165,no_stationary_lock_B0,0.0614270916767,0.103232361613,,,,,,,
BSFB165,lock_no_platform_conflict,0.0,0.0,0,0,0,,,0,0.0
BSFB165,instantaneous_detector,0.0,0.0,0,0,0,,,0,0.0
BSFB165,global_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSFB165,node_specific_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSFB165,raw_range_updates,0.0,0.0,0,0,0,,,0,0.0
BSFB165,fleet_context_detector,0.0,0.0,0,0,0,,,0,0.0
BSFB165,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSFB165,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSFB165,threshold_0.8,0.0,0.0,0,0,0,,,0,0.0
BSFB165,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSFB165,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSFB165,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSFB165,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSFB165,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSFB165,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
BSFB165,threshold_1.0,0.0,0.0,0,0,0,,,0,0.0
BSFEC35,no_stationary_lock_B0,0.0480274024012,0.0811471178985,,,,,,,
BSFEC35,lock_no_platform_conflict,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,instantaneous_detector,0.0,0.0,0,1,0,,,0,0.0
BSFEC35,global_position_covariance,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,node_specific_position_covariance,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,raw_range_updates,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,fleet_context_detector,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,no_zupt,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,fixed_settling_scatter,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,threshold_0.8,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSFEC35,multi_timescale_detector,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,standalone_detector,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,zupt_enabled,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,t4_position_updates,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,covariance_normalized_settling,0.0,0.0,1,0,0,,,0,0.0
BSFEC35,threshold_1.0,0.0,0.0,1,0,0,,,0,0.0
