node,mode,time_s,from_state,to_state,reason,evidence,classification,independent_physical_truth,note
BSFC2CC,S2P,496.436475413,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2P,496.68645728,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{'fast': True, 'angle': True, 'gravity': True, 'pos_shift_norm': 1.622544471771842, 'range_shift_norm': 0.604082020616629}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2P,503.135989436,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2P,505.735800848,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2P,506.585739195,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2P,508.535597754,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,509.53552522,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,510.385463566,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,513.735220578,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,515.485093644,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,516.33503199,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,519.784781748,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,520.734712841,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,521.584651187,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,522.434589533,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,523.28452788,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,525.284382812,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': False}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,526.184317531,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,527.034255878,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,586.579936488,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,797.264653608,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,804.064160378,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,805.164080591,MOTION_SUSPECTED,PLATFORM_CONFLICT,SUSPECTED_BECAME_PLATFORM_CONFLICT,"{'pos_shift_norm': 5.5939489851485025, 'range_shift_norm': 2.550000000000008}",RF_PLATFORM_CHANGE,0,not physical-motion truth
BSFC2CC,S2P,1394.27134728,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,1396.57118045,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,1524.64794488,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,1525.24790136,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{'fast': True, 'angle': True, 'gravity': False, 'pos_shift_norm': 5.218100107286723, 'range_shift_norm': 2.6666666666666745}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,1526.34782157,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2P,1527.19775992,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': False}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,496.436475413,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2R,496.68645728,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{'fast': True, 'angle': True, 'gravity': True, 'pos_shift_norm': 1.622544471771842, 'range_shift_norm': 0.604082020616629}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2R,503.135989436,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2R,505.735800848,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2R,506.585739195,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",SUPPORTED_NODE_MOTION,1,development annotation
BSFC2CC,S2R,508.535597754,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,509.53552522,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,510.385463566,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,513.735220578,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,515.485093644,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,516.33503199,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,519.784781748,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,520.734712841,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,521.584651187,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,522.434589533,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,523.28452788,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,525.284382812,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': False}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,526.184317531,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,527.034255878,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,586.579936488,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,797.264653608,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,804.064160378,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,805.164080591,MOTION_SUSPECTED,PLATFORM_CONFLICT,SUSPECTED_BECAME_PLATFORM_CONFLICT,"{'pos_shift_norm': 5.5939489851485025, 'range_shift_norm': 2.550000000000008}",RF_PLATFORM_CHANGE,0,not physical-motion truth
BSFC2CC,S2R,1394.27134728,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,1396.57118045,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,1524.64794488,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': False, 'spatial': True}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,1525.24790136,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{'fast': True, 'angle': True, 'gravity': False, 'pos_shift_norm': 5.218100107286723, 'range_shift_norm': 2.6666666666666745}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,1526.34782157,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}",AMBIGUOUS,0,not physical-motion truth
BSFC2CC,S2R,1527.19775992,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': False}",AMBIGUOUS,0,not physical-motion truth
BSF1120,S2P,1276.10287205,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}",AMBIGUOUS,0,not physical-motion truth
BSF1120,S2R,1276.10287205,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}",AMBIGUOUS,0,not physical-motion truth
BSF31CC,S2P,1233.63473891,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}",AMBIGUOUS,0,not physical-motion truth
BSF31CC,S2R,1233.63473891,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}",AMBIGUOUS,0,not physical-motion truth
