node,anchor_id,anchor_label,anchor_delay_mm,valid_count,valid_rate,range_median_mm,residual_median_m,robust_sigma_m,autocorrelation_lag1,max_outlier_burst_records,s2r_accepted,s2r_rejected,nis_acceptance_rate,calibration_residual_median_m,held_out_residual_median_m,static_regime_change_count,movement_residual_median_delta_m,table_vibration_robust_sigma_ratio,position_information_trace_mean,metal_facing_special_case,delay_at_positive_60mm_boundary
BSF3C79,0,A,0.0,15000,1.0,3379.0,0.0492214038445,0.0395539289856,0.134611247931,2,0,0,0.0,0.00453437220641,0.00379400248472,0,0.0215347778402,0.99977953812,668.613882689,0,0
BSF3C79,1,B,9.6224504331,14995,0.999666666667,2101.0,-0.20109121542,0.0742775552299,0.75767637761,151,0,0,0.0,0.00639351282737,0.00329076512338,3,0.0782910281573,2.22930950932,541.750649195,0,0
BSF3C79,2,C,31.8446267553,14999,0.999933333333,2470.0,0.0257442280785,0.00909534163451,0.165863618793,7,0,0,0.0,0.00235466480751,0.00204139417572,0,0.0310070726485,0.865586565057,1111.11111111,0,0
BSF3C79,3,D,60.0,14998,0.999866666667,3025.0,-0.255998445886,0.0468717104457,0.152152542818,7,0,0,0.0,-0.00644871258534,-0.00615814558433,0,0.0412519954363,1.1808354462,479.944352173,0,1
BSF3C79,4,E,17.6123137434,14993,0.999533333333,3466.0,-0.599138805663,0.0734099594822,0.177774178226,4,0,0,0.0,0.00506159090883,0.00522410870647,0,0.03488592428,1.06859356065,210.642370806,0,0
BSF3C79,5,F,16.1754810092,14989,0.999266666667,2122.0,-1.31013738315,0.070722663072,0.392272722459,10,0,0,0.0,0.00503268354957,0.00706124192803,0,0.0473435823154,1.03850844361,247.260438497,0,0
BSF3C79,6,G,15.3876758965,15000,1.0,2305.0,-1.30843688432,0.0661252934034,0.182482913053,5,0,0,0.0,0.00517969397193,0.00407655743908,0,0.0265654497626,1.12004618361,260.883359258,0,0
BSF3C79,7,H,16.9561342307,15000,1.0,2996.0,-1.19975183988,0.0626856529789,0.0919966877928,4,0,0,0.0,0.00365261482435,0.00253097077767,0,0.0502838023193,0.919858999299,246.075372568,0,0
BSFC2CC,0,A,0.0,15001,0.999933342221,3663.0,-0.0370380152099,0.0617436967191,0.954255634437,770,398,7,0.982716049383,0.374478805365,0.371069975848,1,-0.166520121158,0.808633799319,670.358281816,0,0
BSFC2CC,1,B,9.6224504331,15000,0.999866684442,1007.0,-0.0490951452235,0.0711449374565,0.678315356488,45,389,15,0.962871287129,0.0428360071622,0.0432446060875,2,-0.00822776452738,29.101062982,1111.11111111,0,0
BSFC2CC,2,C,31.8446267553,15000,0.999866684442,2985.0,0.021573785128,0.0569944597862,0.72130757196,182,305,100,0.753086419753,-0.0129427579652,-0.0141742760329,3,0.00567265430612,13.1813877158,1111.11111111,0,0
BSFC2CC,3,D,60.0,15002,1.0,4386.5,-0.0313010294905,0.0883416105935,0.749892819906,75,368,37,0.908641975309,-0.0659466355026,-0.0679415669642,2,0.00971831004326,3.52815105098,1111.11111111,0,1
BSFC2CC,4,E,17.6123137434,15001,0.999933342221,3642.0,-0.592258949877,0.106251727358,0.928349358751,3231,250,155,0.617283950617,-0.365888825205,-0.37381869354,1,0.0357115872779,1.08632762306,313.335295789,0,0
BSFC2CC,5,F,16.1754810092,14997,0.999666711105,1113.0,-1.51645178432,0.174153200841,0.692121432121,22,245,159,0.606435643564,-0.150699132623,-0.160739359383,0,0.00451341438526,2.2984339016,334.341908578,0,0
BSFC2CC,6,G,15.3876758965,15001,0.999933342221,2938.0,-0.941888327578,0.246006131726,0.840143217056,1242,161,244,0.397530864198,-0.268185772848,-0.268179690715,6,0.000100861618877,3.2661346578,485.68441961,0,0
BSFC2CC,7,H,16.9561342307,15002,1.0,3995.0,-0.993211843779,0.201565328146,0.831275473967,4139,23,382,0.0567901234568,-0.411392716501,-0.413048190227,3,0.0547862859959,1.78040773934,271.92888096,0,0
BSF44AD,0,A,0.0,15000,1.0,3326.0,0.0102390724614,0.0189578696138,0.305998190074,5,0,0,0.0,0.0143287017434,0.0136440935293,0,0.0142329899913,0.806879844284,1111.11111111,0,0
BSF44AD,1,B,9.6224504331,15000,1.0,2251.5,0.0656469541606,0.0644681780793,0.482490981311,22,0,0,0.0,-0.0278704761984,-0.0233278740037,0,-0.000714964477273,1.60570227774,464.084775816,0,0
BSF44AD,2,C,31.8446267553,14999,0.999933333333,2622.0,0.00766385265825,0.00969752910667,0.230345735197,0,0,0,0.0,0.00510544094765,0.00470127017116,0,0.00066768277766,1.55591173993,1111.11111111,0,0
BSF44AD,3,D,60.0,15000,1.0,3378.0,-0.0869158394103,0.0172117352541,0.0748060481011,2,0,0,0.0,0.00442680431198,0.00193920986876,0,-0.000476148048451,1.15784177774,1111.11111111,0,1
BSF44AD,4,E,17.6123137434,14999,0.999933333333,3165.0,-0.909363138492,0.0691927625491,0.239420335636,16,0,0,0.0,0.0111071397867,0.00813379551685,0,0.0289248031429,1.31722170861,308.438128102,0,0
BSF44AD,5,F,16.1754810092,14995,0.999666666667,1989.0,-1.40270882528,0.0918896225839,0.206962419158,2,0,0,0.0,0.0501032353499,0.0453698619923,0,0.0419620756496,1.35714502789,195.159291002,0,0
BSF44AD,6,G,15.3876758965,15000,1.0,2606.0,-1.17872941186,0.0549311909158,0.15103666514,2,0,0,0.0,0.024187832638,0.0207210721839,0,4.20227669315e-05,1.1430083904,399.291490151,0,0
BSF44AD,7,H,16.9561342307,14999,0.999933333333,3220.0,-1.14767910353,0.0717986689346,0.0714964585485,2,0,0,0.0,0.0216351188191,0.023914593512,0,0.0218821710136,0.996836730789,206.472046426,0,0
BSF6C53,0,A,0.0,14999,0.999933333333,1633.0,0.453491515054,0.0707747380713,0.0284366209734,5,0,0,0.0,0.00209821229851,-0.00278391165083,0,-0.00289859001083,1.08191826042,204.840542735,1,0
BSF6C53,1,B,9.6224504331,15000,1.0,3797.0,0.348842847982,0.320495288865,0.121952151436,0,0,0,0.0,-0.0336176357824,-0.031802394451,0,0.0589057289984,0.827724905167,8.59882452723,1,0
BSF6C53,2,C,31.8446267553,15000,1.0,4694.0,0.263044604952,0.168416034599,0.0519440820034,1,0,0,0.0,-0.00615466917794,-0.0115020331704,0,0.0256313757924,1.09123958144,39.3743777951,1,0
BSF6C53,3,D,60.0,15000,1.0,2799.0,-0.0567431658099,0.0243484568558,0.0610896595719,3,0,0,0.0,0.00548466250244,0.00377194190889,0,0.00239493355273,1.02672216005,1111.11111111,1,1
BSF6C53,4,E,17.6123137434,14991,0.9994,1568.0,-0.901627333935,0.127490645553,0.0313856741038,2,0,0,0.0,0.0275522057545,0.0147071390543,0,0.0107971518528,0.969749731549,58.996675294,1,0
BSF6C53,5,F,16.1754810092,15000,1.0,3990.0,-0.1234202864,0.142464586403,0.0891732943544,7,0,0,0.0,0.0212902302435,0.014525270209,0,0.0097395643461,0.959282920696,44.0242986903,1,0
BSF6C53,6,G,15.3876758965,15000,1.0,4487.0,-0.558129581885,0.112438892543,0.0997497749353,5,0,0,0.0,0.0239370428208,0.0164132486004,0,0.0143367398111,0.936626185958,71.7594577135,1,0
BSF6C53,7,H,16.9561342307,15000,1.0,2897.0,-0.798914890465,0.144765403873,0.035379900974,2,0,0,0.0,0.0268352306725,0.0202869277618,0,0.0438905099509,1.02891232809,48.6509109975,1,0
BSF8BC4,0,A,0.0,14998,0.999933328889,3188.0,0.00821028011586,0.0197489674815,0.776535079749,94,0,0,0.0,-0.00100046479267,-0.000167116912703,0,-0.000482793508559,1.05994244551,1111.11111111,0,0
BSF8BC4,1,B,9.6224504331,14999,1.0,1817.0,-0.0137677074241,0.009603483964,0.204293227835,2,0,0,0.0,0.000630508114841,0.000501139948814,0,0.00746619742546,1.44820783592,1111.11111111,0,0
BSF8BC4,2,C,31.8446267553,14998,0.999933328889,2789.0,0.0299464810646,0.0252824985117,0.231255952665,4,0,0,0.0,-0.00240105256549,-0.00227803335516,0,-0.0137631797342,1.48730350509,1111.11111111,0,0
BSF8BC4,3,D,60.0,14999,1.0,3540.0,-0.0639797925686,0.0213862007082,0.0586211867567,2,0,0,0.0,-0.00243970582191,-0.00182094079563,0,0.000941223500507,0.838987549822,1111.11111111,0,1
BSF8BC4,4,E,17.6123137434,14998,0.999933328889,3463.0,-0.396482197683,0.120737561782,0.537874278988,10,0,0,0.0,0.0135403438359,0.0159203740221,1,-0.0178134905179,1.67762824786,142.89609714,0,0
BSF8BC4,5,F,16.1754810092,14999,1.0,1766.0,-1.25553824809,0.077413660766,0.0790187562615,1,0,0,0.0,-0.00399039606173,-0.00249879938575,0,-0.0307833772168,0.798067877499,108.154763118,0,0
BSF8BC4,6,G,15.3876758965,14999,1.0,2772.0,-0.998639885608,0.0462063684181,0.151820155663,3,0,0,0.0,-0.00100624051235,-6.06175344822e-05,0,-0.013158759174,1.12598290136,511.06299229,0,0
BSF8BC4,7,H,16.9561342307,14998,0.999933328889,3294.0,-1.08158478494,0.067834229129,0.0587347661473,2,0,0,0.0,-0.00810617238214,0.000312836176715,0,0.00979986300426,1.10672029728,235.0190556,0,0
BSF1120,0,A,0.0,14998,0.999933328889,3589.0,0.074737092155,0.0546945449409,0.463391538424,33,0,0,0.0,-0.0191923735343,-0.0168475057257,0,0.0564249748893,1.18598071049,459.157427881,0,0
BSF1120,1,B,9.6224504331,14985,0.99906660444,1230.0,-0.00100950334446,0.0173509399294,0.362393573282,5,0,0,0.0,0.00789050968426,0.00826258579787,0,-0.00425273197567,1.51812717213,1111.11111111,0,0
BSF1120,2,C,31.8446267553,14998,0.999933328889,3151.0,0.153306566258,0.205990933725,0.835397248301,258,0,0,0.0,-0.129679329567,-0.128470846993,14,0.302330372251,10.3421768497,1111.11111111,0,0
BSF1120,3,D,60.0,14995,0.999733315554,4174.0,-0.0476504393809,0.046526218257,0.618685535723,45,0,0,0.0,0.00167422534176,0.00279299967176,2,0.0017880712252,1.66594297555,1111.11111111,0,1
BSF1120,4,E,17.6123137434,14997,0.999866657777,3549.0,-0.502870206776,0.0525253597827,0.281318478312,5,0,0,0.0,-0.017568244033,-0.0171425839511,0,0.0275827805229,1.09014324342,530.878079615,0,0
BSF1120,5,F,16.1754810092,14979,0.998666577772,1289.0,-1.31125750758,0.0700559228404,0.0939542205031,2,0,0,0.0,-0.0145792641003,-0.00818448740765,0,0.0260789188361,1.05861017552,287.037800839,0,0
BSF1120,6,G,15.3876758965,14999,1.0,3104.0,-0.792271092251,0.0498702499396,0.554422993265,175,0,0,0.0,-0.0089294407558,-0.00592769364664,0,0.0247111277005,1.28405133835,626.446314465,0,0
BSF1120,7,H,16.9561342307,14999,1.0,3850.0,-0.98850561759,0.0710184495679,0.216782957106,3,0,0,0.0,-0.000771127026634,0.00230312112386,0,0.0283317850611,1.31081045845,285.666993613,0,0
BSF31CC,0,A,0.0,14998,0.999933328889,3740.0,0.126396011256,0.0957264740495,0.629340537205,89,0,0,0.0,0.0126549778791,0.0122815152897,0,0.073602970999,2.22943254092,378.527993208,0,0
BSF31CC,1,B,9.6224504331,14999,1.0,1937.0,-0.00588428008632,0.00677665873723,0.34233374753,8,0,0,0.0,-0.000605796011078,-0.000339180917976,0,0.00682935814748,3.8483081811,1111.11111111,0,0
BSF31CC,2,C,31.8446267553,14999,1.0,2352.0,0.0199416895875,0.00485046160283,0.474691936123,11,0,0,0.0,0.00118060782902,0.00124910085918,0,0.00208087463037,3.31185993537,1111.11111111,0,0
BSF31CC,3,D,60.0,14999,1.0,3776.0,0.095203880764,0.0697976250577,0.48505940813,25,0,0,0.0,-0.0117579414257,-0.00696551607121,0,0.079371119506,1.6082843445,388.449753678,0,1
BSF31CC,4,E,17.6123137434,14998,0.999933328889,3473.0,-0.800091024699,0.133049922519,0.634147506081,89,0,0,0.0,0.0147198646566,0.0145926868186,0,0.0688638761646,2.23731889746,190.325614771,0,0
BSF31CC,5,F,16.1754810092,14998,0.999933328889,1831.0,-1.34929485274,0.139407298829,0.693051628382,83,0,0,0.0,0.0270003016061,0.032118830445,3,0.141659845619,3.3557591887,339.189319907,0,0
BSF31CC,6,G,15.3876758965,14999,1.0,2521.0,-1.02489129578,0.0941439485705,0.586440046852,89,0,0,0.0,0.0163861420428,0.0205394983899,0,0.07473080205,2.21912347945,451.486415821,0,0
BSF31CC,7,H,16.9561342307,14999,1.0,3303.0,-1.19185668832,0.112266236861,0.511414624916,43,0,0,0.0,0.0228978736454,0.0246318736853,0,0.0878916042522,1.62885881852,166.055983746,0,0
BSFAA61,0,A,0.0,14997,0.9998,3928.0,0.325428444671,0.220495383072,0.387343099136,92,13,12,0.52,-0.0646423211841,-0.0662556236959,10,0.00922950560996,9.10260433572,584.73827176,0,0
BSFAA61,1,B,9.6224504331,15000,1.0,1265.0,-0.0920139545642,0.106636157438,0.564449711185,3,25,0,1.0,-0.171358042986,-0.173800557283,0,0.152324268309,0.605283695562,58.9461522728,0,0
BSFAA61,2,C,31.8446267553,14999,0.999933333333,3239.0,0.288671516211,0.144619064263,0.670657630638,74,22,3,0.88,0.0296762999355,0.0330697950256,1,-0.17615845655,2.84493641737,188.030133869,0,0
BSFAA61,3,D,60.0,15000,1.0,4100.0,-0.0787269593838,0.0240198104701,0.501476375455,27,0,25,0.0,-0.00421891486442,-0.00420112205077,0,0.0208705050138,2.30419139581,1111.11111111,0,1
BSFAA61,4,E,17.6123137434,14999,0.999933333333,3483.0,-0.648576892855,0.175062092509,0.856600905041,20,0,25,0.0,-0.330738782229,-0.332829036891,1,0.00891110198243,1.02450786512,118.223999139,0,0
BSFAA61,5,F,16.1754810092,14980,0.998666666667,1317.0,-1.44047681169,0.187515120565,0.599869883606,4,0,25,0.0,-0.27875431263,-0.283593851069,0,0.191397081697,0.710673579117,31.6495522218,0,0
BSFAA61,6,G,15.3876758965,14999,0.999933333333,2878.0,-0.93925268727,0.231487599104,0.819559415425,15,0,25,0.0,-0.393977802324,-0.39499160963,1,0.109242430036,1.04279923322,59.3688736856,0,0
BSFAA61,7,H,16.9561342307,15000,1.0,3779.0,-1.04876930947,0.135174925592,0.735510131847,7,0,25,0.0,-0.259714965186,-0.253739803404,0,-0.00615487546183,0.872539109988,103.823108978,0,0
BSFB165,0,A,0.0,14999,0.999933333333,3575.0,-0.000830344054871,0.014226870093,0.255956177303,4,0,0,0.0,-0.00703494060491,-0.00628899372035,0,0.000427873829678,1.52268393593,1111.11111111,0,0
BSFB165,1,B,9.6224504331,14999,0.999933333333,1932.0,-0.293478659148,0.0925453204577,0.617863321076,64,0,0,0.0,-0.0298237961583,-0.027487427634,2,-0.0283136238829,2.02499363847,360.942669015,0,0
BSFB165,2,C,31.8446267553,14998,0.999866666667,2223.0,0.0141220104004,0.00313132503666,0.292932540318,1,0,0,0.0,0.0001686016133,0.000116425350113,0,0.00113885704405,1.34655865988,1111.11111111,0,0
BSFB165,3,D,60.0,15000,1.0,3085.0,-0.344080545464,0.0508674000167,0.319399089621,18,0,0,0.0,0.00964419699947,0.00860882921843,0,0.0282754780718,1.35024150408,544.257235397,0,1
BSFB165,4,E,17.6123137434,14996,0.999733333333,3400.0,-0.857798034833,0.046013625754,0.214478225707,7,0,0,0.0,0.0128750561588,0.0135771860046,0,0.0155472572364,1.01511795118,547.732926971,0,0
BSFB165,5,F,16.1754810092,14998,0.999866666667,1923.0,-1.46820922115,0.0826859205456,0.478209872748,30,0,0,0.0,-0.0356544716171,-0.0351372813835,0,0.105317569483,1.69703288124,318.203061264,0,0
BSFB165,6,G,15.3876758965,15000,1.0,2044.0,-1.41741128882,0.0573311025382,0.106815527892,2,0,0,0.0,0.011638071831,0.014272807558,0,-0.00873159009908,1.08046117637,364.206572793,0,0
BSFB165,7,H,16.9561342307,15000,1.0,3085.0,-1.21046562855,0.0663901312513,0.0910105964533,2,0,0,0.0,0.00822559466537,0.00479194834708,0,0.0292545442562,1.10801931063,264.548183755,0,0
BSFEC35,0,A,0.0,14999,0.999933333333,3364.0,0.22276232367,0.0407703887829,0.555192167274,38,0,0,0.0,-0.0160187561278,-0.0141527833331,0,0.000992330621558,1.08455091227,658.456726868,0,0
BSFEC35,1,B,9.6224504331,15000,1.0,1693.0,-0.0122693843036,0.00165433303544,0.0256068346982,0,0,0,0.0,-0.000277490191766,-0.000298387840623,0,4.7097017821e-05,1.22429103486,1111.11111111,0,0
BSFEC35,2,C,31.8446267553,15000,1.0,3281.0,0.237034959047,0.14373086368,0.646017216844,15,0,0,0.0,0.0797547797221,0.0785025407725,1,0.0228240665104,1.99116538956,283.580375278,0,0
