node,t0_s,imu_index,imu_seq,state_before,state_after,acc_x_g,acc_y_g,acc_z_g,acc_norm_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,gyro_norm_dps,gyro_bias_corrected_norm_dps,gyro_angle_025_deg,gyro_angle_1_deg,gyro_angle_3_deg,gravity_direction_change_deg,gyro_rms_short_dps,acc_dev_rms_short_g,gyro_std_short_dps,acc_std_short_g,gyro_std_long_dps,acc_std_long_g,active_votes,imu_quiet,platform_center_available,platform_scatter_m,platform_stable,candidate_shift_m,motion_predicate,speed_mps,speed_ok,motion_dwell_before_s,motion_dwell_after_s,quiet_dwell_before_s,quiet_dwell_after_s,settling_dwell_before_s,settling_dwell_after_s,published_x_m,published_y_m,published_z_m,locked_x_m,locked_y_m,locked_z_m,candidate_x_m,candidate_y_m,candidate_z_m,last_uwb_t0_s,t4_x_m,t4_y_m,t4_z_m,t4_velocity_like_mps,last_uwb_nis,range_change_l2_mm,range_0_mm,range_1_mm,range_2_mm,range_3_mm,range_4_mm,range_5_mm,range_6_mm,range_7_mm
BSFC2CC,480.037664968,96049,65438,STATIONARY,STATIONARY,-0.0576171875,0.07275390625,-1.00927734375,1.01353521289,0.06103515625,-0.3662109375,0.0,0.371262361468,0.0,0.0072189753187,0.0324330328516,0.109195803079,0.01108988331,0.0452648833441,0.000838664371153,0.0335811733804,0.000474456059729,0.0370427756344,0.00363234773378,0,1,1,0.0664237001331,1,0.0367438815166,0,1.02015083002e-05,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31447921741,1.01454239493,1.26508582851,3.31447921741,1.01454239493,1.26508582851,3.3145869898,1.0064993997,1.24815412969,479.942764852,3.32845189693,1.04559586024,1.25176873643,0.472217705846,1.46950545118,92.2117129219,4003.0,1903.0,2507.0,3786.0,3471.0,1544.0,2524.0,3333.0
BSFC2CC,480.137657715,96069,65458,STATIONARY,STATIONARY,-0.05712890625,0.07373046875,-1.00830078125,1.01260572753,0.1220703125,-0.3662109375,0.0,0.386020222189,0.06103515625,0.0082608350363,0.0346955071503,0.111207485508,0.0083838408549,0.0484451534008,0.000866899987629,0.033990496417,0.000492392502659,0.0370342416179,0.00355647706428,0,1,1,0.0716147249077,1,0.0225568189179,0,0.00312459663036,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3144811388,1.01442059159,1.26498576109,3.31447921741,1.01454239493,1.26508582851,3.31388673716,1.00525216487,1.24453952295,480.062743149,3.27197265737,0.925427196699,1.1811417781,1.25351625514,18.9163529448,105.834776893,3996.0,1821.0,2598.0,3795.0,3410.0,1542.0,2545.0,3240.0
BSFC2CC,480.237650461,96089,65478,STATIONARY,STATIONARY,-0.05712890625,0.0732421875,-1.0087890625,1.013056515,0.1220703125,-0.30517578125,0.0,0.328684375435,0.0863167457503,0.00960784839584,0.0354322132179,0.11102873064,0.00902454818762,0.048828125,0.000848068752704,0.0335387604071,0.000490054191076,0.0368287806555,0.00310494902693,0,1,1,0.0711352658163,1,0.0237441749356,0,0.00160784597368,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448179974,1.01437850004,1.26495017836,3.31447921741,1.01454239493,1.26508582851,3.31388673716,1.00267372704,1.24452933238,480.183063421,3.30763826227,0.956662432828,1.21337240797,0.47646091056,6.58668144072,62.9761859753,4014.0,1845.0,2560.0,3768.0,3412.0,1484.0,2561.0,3296.0
BSFC2CC,480.337643208,96109,65498,STATIONARY,STATIONARY,-0.0576171875,0.07275390625,-1.00927734375,1.01353521289,0.0,-0.42724609375,0.0,0.42724609375,0.0863167457503,0.0100394008206,0.034948304706,0.11110277333,0.00749640051287,0.0495851953408,0.000927121143708,0.0344792880799,0.000533254818929,0.0345513405693,0.00161343123546,0,1,1,0.0694877025093,1,0.042833034206,0,0.000825364387604,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448205096,1.01436240877,1.26493612993,3.31447921741,1.01454239493,1.26508582851,3.31388673716,0.997924967663,1.2256120537,480.302941725,3.33500965581,0.996670582713,1.22200881922,0.410737625937,2.35505575602,51.0685813392,3992.0,1854.0,2526.0,3810.0,3377.0,1514.0,2521.0,3284.0
BSFC2CC,480.437635954,96129,65518,STATIONARY,STATIONARY,-0.05712890625,0.0732421875,-1.009765625,1.01402896773,0.0,-0.3662109375,0.0,0.3662109375,0.06103515625,0.0101657995999,0.0353798571286,0.111155129419,0.00478999651252,0.0499594285393,0.000886473765239,0.0340022884141,0.000544908825292,0.0340463957889,0.00138837624282,0,1,1,0.0675603224751,1,0.042833034206,0,0.000423418774306,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3144821565,1.01435561371,1.26493003537,3.31447921741,1.01454239493,1.26508582851,3.31388673716,0.997924967663,1.2256120537,480.422753034,3.3321203814,1.01109907272,1.26524151133,0.381168641911,0.539782383257,59.8080262172,4006.0,1890.0,2540.0,3815.0,3401.0,1520.0,2566.0,3269.0
BSFC2CC,480.537628701,96149,2,STATIONARY,STATIONARY,-0.056640625,0.07421875,-1.01025390625,1.01455878999,0.1220703125,-0.42724609375,0.0,0.444342644609,0.0863167457503,0.0110289044475,0.0361165631993,0.11115512942,0.00406352174555,0.0539047904439,0.000964667099521,0.0339296055055,0.000565883913233,0.0342245153168,0.00099323062569,0,1,1,0.0686217933537,1,0.0447330583988,0,0.000217180881761,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448220448,1.01435251327,1.26492720227,3.31447921741,1.01454239493,1.26508582851,3.3145869898,0.997297775188,1.22381043646,480.422753034,3.3321203814,1.01109907272,1.26524151133,0.381168641911,0.539782383257,59.8080262172,4006.0,1890.0,2540.0,3815.0,3401.0,1520.0,2566.0,3269.0
BSFC2CC,480.637621448,96169,22,STATIONARY,STATIONARY,-0.056640625,0.07275390625,-1.009765625,1.01396642386,0.1220703125,-0.3662109375,0.0,0.386020222189,0.06103515625,0.0111336166235,0.0376423314265,0.11176543671,0.00954547486674,0.0528579958365,0.000951631118642,0.0336408094315,0.000580466884542,0.0341683738803,0.000893587072756,0,1,1,0.0707286291005,1,0.0488325920405,0,0.000111391971738,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448222747,1.01435102441,1.26492582626,3.31447921741,1.01454239493,1.26508582851,3.3145869898,0.995529536659,1.2201067039,480.542712332,3.32155184924,0.978968639228,1.17647628558,0.791861736008,6.92981708726,97.662684788,4016.0,1821.0,2530.0,3796.0,3446.0,1530.0,2489.0,3360.0
BSFC2CC,480.737614194,96189,42,STATIONARY,STATIONARY,-0.05712890625,0.07373046875,-1.0087890625,1.01309193392,0.0,-0.42724609375,0.0,0.42724609375,0.0863167457503,0.0102921983799,0.0383790374976,0.113722757364,0.0101743710859,0.0535581322473,0.000951948342053,0.0341280545578,0.000592687396498,0.0342392474509,0.000891517749352,0,1,1,0.0703431458806,1,0.0510331416832,0,5.71322258718e-05,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448223884,1.01435028746,1.2649251408,3.31447921741,1.01454239493,1.26508582851,3.31388673716,0.994388490606,1.21820458858,480.662688629,3.31230203479,0.973548965605,1.16175472733,0.151791904838,9.25953551063,78.6129760281,4023.0,1816.0,2525.0,3774.0,3390.0,1520.0,2501.0,3343.0
BSFC2CC,480.837606941,96209,62,STATIONARY,STATIONARY,-0.056640625,0.07373046875,-1.00830078125,1.01257829717,0.06103515625,-0.3662109375,0.0,0.371262361468,0.0,0.00925033866415,0.0380215277628,0.11489101586,0.0109520656549,0.0528579958365,0.000906411502061,0.0340694923113,0.000562255423518,0.0343818778904,0.000887308782095,0,1,1,0.0726515017105,1,0.0531685992209,0,2.93026616286e-05,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448224456,1.01434991649,1.26492479457,3.31447921741,1.01454239493,1.26508582851,3.31378836003,0.989471056682,1.21820458858,480.782699924,3.31041850144,0.989471056682,1.18772577379,0.254321073811,4.76488483912,103.691851175,3986.0,1844.0,2521.0,3752.0,3466.0,1513.0,2533.0,3369.0
BSFC2CC,480.937599688,96229,82,STATIONARY,STATIONARY,-0.05712890625,0.072265625,-1.00830078125,1.01250012245,0.06103515625,-0.3662109375,0.0,0.371262361468,0.0,0.00851363259344,0.0369796680471,0.113849156144,0.0123591285671,0.0510656754476,0.00102004353927,0.0348111472099,0.00060215305085,0.0340868658094,0.000907834111327,0,1,1,0.0744596709879,1,0.0475887530774,0,1.50290886623e-05,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448224746,1.01434972808,1.2649246184,3.31447921741,1.01454239493,1.26508582851,3.31278191647,0.994388490606,1.22200881922,480.902710218,3.2989223065,1.04422111158,1.29037312879,0.974104503387,2.07686191022,103.585713301,3982.0,1944.0,2527.0,3782.0,3341.0,1551.0,2543.0,3314.0
BSFC2CC,481.037592434,96249,102,STATIONARY,STATIONARY,-0.05712890625,0.07373046875,-1.0078125,1.01211952313,0.1220703125,-0.30517578125,0.0,0.328684375435,0.0863167457503,0.00930269474947,0.0404104008387,0.112484467552,0.0156799631612,0.0517900474502,0.000999253285725,0.0341452773651,0.000605013545233,0.034199344413,0.000914363262257,0,1,1,0.0715362988862,1,0.0443535746861,0,7.70829152318e-06,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31448224894,1.01434963193,1.26492452841,3.31447921741,1.01454239493,1.26508582851,3.31278191647,0.994388490606,1.2256120537,481.022687515,3.31792905352,0.994036503485,1.22880689742,0.680720449806,1.46564716123,85.0588031893,4008.0,1871.0,2531.0,3763.0,3422.0,1485.0,2475.0,3332.0
BSFC2CC,481.137585181,96269,122,STATIONARY,STATIONARY,-0.05712890625,0.072265625,-1.0087890625,1.01298637953,0.06103515625,-0.3662109375,0.0,0.371262361468,0.0,0.00930269474765,0.0383266814066,0.11174776148,0.0118948009345,0.0499594285393,0.00101279461879,0.0347561790722,0.000586684149935,0.0341043712843,0.000918756159211,0,1,1,0.0731496800545,1,0.0272617988162,0,0.00568500799055,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31357285445,1.00415177845,1.24907935008,3.313581529,1.00424003248,1.24916016609,3.31379463862,0.994212497045,1.22381043646,481.022687515,3.31792905352,0.994036503485,1.22880689742,0.680720449806,1.46564716123,85.0588031893,4008.0,1871.0,2531.0,3763.0,3422.0,1485.0,2475.0,3332.0
BSFC2CC,481.237577927,96289,142,STATIONARY,STATIONARY,-0.056640625,0.07421875,-1.00830078125,1.01261396826,0.06103515625,-0.3662109375,0.0,0.371262361468,0.0,0.00777692652184,0.0368009131808,0.10936089409,0.0077063502101,0.0472776287379,0.000995469991457,0.0344949595141,0.000600195725322,0.0342497213116,0.000910768476667,0,1,1,0.0726899114448,1,0.0273513118318,0,0.00293584156219,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31356484378,1.00406998877,1.2490028679,3.313581529,1.00424003248,1.24916016609,3.31136026812,0.994212497045,1.22381043646,481.142661813,3.29268758568,1.01331141887,1.2926911563,0.594654059562,2.06632398133,108.485022008,3990.0,1935.0,2561.0,3766.0,3465.0,1518.0,2495.0,3319.0
BSFC2CC,481.337570674,96309,162,STATIONARY,STATIONARY,-0.05712890625,0.07373046875,-1.01025390625,1.01455056505,0.06103515625,-0.3662109375,0.0,0.371262361468,0.0,0.00630351438081,0.0365481156214,0.10387509141,0.00533438416614,0.0472776287379,0.00095220891897,0.0341563415461,0.000590522605994,0.0342274301283,0.000909043005664,0,1,1,0.0714155127491,1,0.0255578477099,0,0.00150849989235,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31356190883,1.00403981235,1.24897359046,3.313581529,1.00424003248,1.24916016609,3.31230203479,0.994388490606,1.2256120537,481.26318007,3.31283354563,1.04121264458,1.23690269701,0.543893890587,2.05305966008,106.240293674,3988.0,1894.0,2516.0,3786.0,3477.0,1575.0,2557.0,3284.0
BSFC2CC,481.437563421,96329,182,STATIONARY,STATIONARY,-0.05712890625,0.07373046875,-1.0107421875,1.0150367794,0.06103515625,-0.42724609375,0.0,0.431583728752,0.06103515625,0.00881878623852,0.0357590534641,0.102761194691,0.00480458773677,0.0484451534008,0.000876637985254,0.0343498143439,0.000545889760172,0.0344595635487,0.000907295358571,0,1,1,0.0714155127491,1,0.0255578477099,0,0.000774066230897,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31356071791,1.00402748344,1.2489612173,3.313581529,1.00424003248,1.24916016609,3.31230203479,0.994388490606,1.2256120537,481.382965381,3.30755218166,1.00394309708,1.22643643028,0.326165782604,0.392339015097,43.0464865001,4012.0,1871.0,2541.0,3794.0,3414.0,1552.0,2533.0,3284.0
BSFC2CC,481.537556167,96349,202,STATIONARY,STATIONARY,-0.0576171875,0.07421875,-1.01025390625,1.01461377787,0.06103515625,-0.30517578125,0.0,0.311219452734,0.06103515625,0.00899754110533,0.0356326546859,0.10362429954,0.0026323832564,0.0480591300904,0.000838154398256,0.0355585156868,0.000505745664941,0.034636219892,0.00091156091496,0,1,1,0.0701455112155,1,0.0256785700848,0,0.000397061838174,1,0.0,0.0,0.0,0.0,0.0,0.0,3.31356019033,1.00402199303,1.24895556896,3.313581529,1.00424003248,1.24916016609,3.31270782377,0.994036503485,1.2256120537,481.502874683,3.31270782377,0.96791979424,1.20949936961,0.334742978838,2.89738181694,87.3899307701,3997.0,1838.0,2556.0,3824.0,3343.0,1537.0,2495.0,3309.0
