node,mode,time_s,from_state,to_state,reason,evidence
BSF3C79,S2P,1.0252877543,INIT,STATIONARY,INITIAL_ROBUST_PLATFORM,{'anchor_support': 8}
BSF3C79,S2R,1.0252877543,INIT,STATIONARY,INITIAL_ROBUST_PLATFORM,{'anchor_support': 8}
BSFC2CC,S2P,1.02241230227,INIT,STATIONARY,INITIAL_ROBUST_PLATFORM,{'anchor_support': 8}
BSFC2CC,S2P,496.436475413,STATIONARY,MOTION_SUSPECTED,CAUSAL_IMU_SUSPICION,"{'fast': True, 'angle': True, 'gravity': True, 'spatial': False}"
BSFC2CC,S2P,496.68645728,MOTION_SUSPECTED,MOVING,MULTISCALE_IMU_SPATIAL_AGREEMENT,"{'fast': True, 'angle': True, 'gravity': True, 'pos_shift_norm': 1.622544471771842, 'range_shift_norm': 0.604082020616629}"
BSFC2CC,S2P,503.085993063,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.15750398590758088, 'scatter_norm': 1.6486028615080663}"
BSFC2CC,S2P,503.135989436,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,505.685804475,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.43239175635731486, 'scatter_norm': 1.7710692190774768}"
BSFC2CC,S2P,505.735800848,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,506.535742821,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.11646092846763073, 'scatter_norm': 1.7867753538282836}"
BSFC2CC,S2P,506.585739195,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,508.48560138,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.42492389782315765, 'scatter_norm': 1.574192352655934}"
BSFC2CC,S2P,508.535597754,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,509.335539727,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.4876556193394687, 'scatter_norm': 1.7798151903000015}"
BSFC2CC,S2P,509.53552522,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,510.335467193,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.4697276921192104, 'scatter_norm': 2.312557515554097}"
BSFC2CC,S2P,510.385463566,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,513.685224204,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.6904037490862195, 'scatter_norm': 1.550284623491126}"
BSFC2CC,S2P,513.735220578,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,515.43509727,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.44169352271914375, 'scatter_norm': 2.400693569552665}"
BSFC2CC,S2P,515.485093644,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,516.285035616,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 1.5909626789333449, 'scatter_norm': 1.7153730507343643}"
BSFC2CC,S2P,516.33503199,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,519.734785375,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.2745186204107632, 'scatter_norm': 1.6013705822255222}"
BSFC2CC,S2P,519.784781748,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,520.584723721,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.2986773420393581, 'scatter_norm': 1.3310805637175798}"
BSFC2CC,S2P,520.734712841,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
BSFC2CC,S2P,521.534654814,MOVING,SETTLING,IMU_QUIET_STABLE_CANDIDATE,"{'speed_mps': 0.3795658932967805, 'scatter_norm': 1.3311929589708522}"
BSFC2CC,S2P,521.584651187,SETTLING,MOVING,SETTLING_INTERRUPTED_BY_MOTION_EVIDENCE,"{'quiet': True, 'stable': np.True_}"
