capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,192.07936994080893,403.4009151543103
R02,BS2DCE,336.26272848775994,133.57889430517193,202.68383418258801
R04,BS2DCE,326.61429251530615,145.97608993092302,180.63820258438312
R09,BS2DCE,349.5924137462236,175.54480122964,174.0476125165836
R01,BSDC91,304.25507185810864,136.53843224348094,167.7166396146277
R05,BS2DCE,334.88371378802753,181.8380092556839,153.04570453234365
R08,BS2DCE,312.3937580582147,169.02474157243392,143.36901648578078
R10,BS2DCE,270.43865722104186,153.4316037644434,117.00705345659847
R04,BSDC91,216.15981068919183,105.28642614448829,110.87338454470354
R03,BS2DCE,310.8326703379214,200.73936612730537,110.09330421061603
R15,BS2DCE,228.95666309125616,118.93829295450536,110.0183701367508
R06,BS2DCE,272.08960363594827,162.1036938175113,109.98590981843697
R13,BS2DCE,249.72353514227854,142.4437153934168,107.27981974886174
R16,BS2DCE,244.32922347298398,137.43874690479132,106.89047656819267
R07,BS2DCE,276.90277662663766,175.74990926021113,101.15286736642653
R17,BS2DCE,275.8541822436681,174.91371014046194,100.94047210320616
R12,BS2DCE,244.63101745445218,143.77887570630082,100.85214174815135
R12,BSDC91,181.2620329226443,81.30806780291461,99.95396511972969
R11,BS2DCE,261.4130936183177,162.4046629406049,99.0084306777128
R02,BSDC91,225.64721168527757,140.03226382641495,85.61494785886262
R13,BSDC91,180.92280009161016,97.94705238943388,82.97574770217628
R17,BSDC91,180.87812504706253,100.89877817693856,79.97934687012396
R06,BSDC91,196.01392407723662,117.7851182015095,78.22880587572712
R15,BSDC91,165.79139617562797,89.76969900349414,76.02169717213383
R10,BSDC91,192.1404130077654,118.31320608720027,73.82720692056513
R08,BSDC91,182.18448993708114,108.60420378227688,73.58028615480426
R03,BSDC91,225.32846866485008,152.2346009086582,73.09386775619188
R05,BSDC91,189.85922999319786,118.15128359915683,71.70794639404103
R14,BS2DCE,234.64761289969928,164.34202742432652,70.30558547537277
R09,BSDC91,212.32958297609255,145.04039694501094,67.28918603108161
R14,BSDC91,152.15983362913704,89.8386606007333,62.321173028403734
R11,BSDC91,165.30583743708036,104.41905733315924,60.88678010392111
R16,BSDC91,167.07141402631177,107.51347751173533,59.55793651457644
R07,BSDC91,177.82776317433792,121.44478574368854,56.382977430649376
