capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,209.68109999159847,385.7991851035208
R02,BS2DCE,336.26272848775994,124.90543273530649,211.35729575245347
R04,BS2DCE,326.61429251530615,153.36086155378067,173.25343096152548
R05,BS2DCE,334.88371378802753,167.9863369010363,166.89737688699122
R09,BS2DCE,349.5924137462236,202.76187219643234,146.83054154979126
R01,BSDC91,304.25507185810864,159.55307168992343,144.7020001681852
R08,BS2DCE,312.3937580582147,173.1949120081668,139.1988460500479
R03,BS2DCE,310.8326703379214,191.01117302493702,119.82149731298438
R13,BS2DCE,249.72353514227854,134.03159061098305,115.69194453129549
R17,BS2DCE,275.8541822436681,164.41633806145504,111.43784418221307
R15,BS2DCE,228.95666309125616,123.7545521877106,105.20211090354556
R06,BS2DCE,272.08960363594827,167.11283484066874,104.97676879527953
R03,BSDC91,225.32846866485008,123.03585747370242,102.29261119114766
R10,BS2DCE,270.43865722104186,171.07636630889263,99.36229091214923
R02,BSDC91,225.64721168527757,127.1457777708459,98.50143391443167
R12,BS2DCE,244.63101745445218,146.7257116943394,97.90530576011278
R11,BS2DCE,261.4130936183177,163.53762727980077,97.87546633851693
R08,BSDC91,182.18448993708114,87.19873697751144,94.9857529595697
R04,BSDC91,216.15981068919183,123.55870018857316,92.60111050061867
R07,BS2DCE,276.90277662663766,187.45949310978403,89.44328351685363
R16,BS2DCE,244.32922347298398,157.36645419503316,86.96276927795083
R09,BSDC91,212.32958297609255,126.7274168916315,85.60216608446105
R05,BSDC91,189.85922999319786,106.1253787372129,83.73385125598496
R15,BSDC91,165.79139617562797,90.00129080291818,75.79010537270979
R07,BSDC91,177.82776317433792,104.44890984636984,73.37885332796807
R12,BSDC91,181.2620329226443,109.23695389338859,72.0250790292557
R13,BSDC91,180.92280009161016,109.20679090322864,71.71600918838152
R10,BSDC91,192.1404130077654,120.48724485848538,71.65316814928002
R16,BSDC91,167.07141402631177,102.75745518505457,64.3139588412572
R14,BS2DCE,234.64761289969928,175.7497984280252,58.89781447167408
R11,BSDC91,165.30583743708036,107.20706900780601,58.098768429274344
R17,BSDC91,180.87812504706253,122.81683471877197,58.06129032829055
R06,BSDC91,196.01392407723662,138.84033758786137,57.17358648937525
R14,BSDC91,152.15983362913704,115.74306157397618,36.41677205516086
