capture_id,tag,b0_p95_mm,fusion_p95_mm,improvement_p95_mm
R01,BS2DCE,595.4802850951193,164.67580871829543,430.8044763768238
R02,BS2DCE,336.26272848775994,90.3086750094521,245.95405347830786
R05,BS2DCE,334.88371378802753,119.70756316948619,215.17615061854133
R04,BS2DCE,326.61429251530615,124.02881081210441,202.58548170320174
R09,BS2DCE,349.5924137462236,171.5927294385899,177.9996843076337
R08,BS2DCE,312.3937580582147,139.65099774373104,172.74276031448366
R01,BSDC91,304.25507185810864,141.26271306636346,162.99235879174518
R03,BS2DCE,310.8326703379214,158.3302919245989,152.5023784133225
R13,BS2DCE,249.72353514227854,109.90798214976557,139.81555299251295
R03,BSDC91,225.32846866485008,88.87523324324171,136.45323542160838
R06,BS2DCE,272.08960363594827,143.41368388259298,128.6759197533553
R10,BS2DCE,270.43865722104186,143.99697754861734,126.44167967242453
R11,BS2DCE,261.4130936183177,136.16391232319586,125.24918129512184
R04,BSDC91,216.15981068919183,91.3219521430027,124.83785854618912
R17,BS2DCE,275.8541822436681,152.2657086794514,123.58847356421671
R05,BSDC91,189.85922999319786,67.69576824238241,122.16346175081544
R15,BS2DCE,228.95666309125616,106.85932300538805,122.09734008586811
R08,BSDC91,182.18448993708114,60.68752662832526,121.49696330875588
R09,BSDC91,212.32958297609255,93.88973932932056,118.43984364677199
R07,BS2DCE,276.90277662663766,159.3215930791069,117.58118354753077
R12,BS2DCE,244.63101745445218,129.7507161448868,114.88030130956537
R10,BSDC91,192.1404130077654,81.98268667724639,110.15772633051901
R16,BS2DCE,244.32922347298398,136.77888155985895,107.55034191312504
R02,BSDC91,225.64721168527757,126.26355900242628,99.38365268285129
R07,BSDC91,177.82776317433792,90.27038009401197,87.55738308032595
R06,BSDC91,196.01392407723662,112.68058524247051,83.33333883476611
R13,BSDC91,180.92280009161016,100.40127778769006,80.5215223039201
R12,BSDC91,181.2620329226443,101.24112537868508,80.02090754395921
R15,BSDC91,165.79139617562797,85.9606528296561,79.83074334597187
R14,BS2DCE,234.64761289969928,163.83586669592924,70.81174620377004
R11,BSDC91,165.30583743708036,96.14652175304246,69.15931568403789
R17,BSDC91,180.87812504706253,112.12748911133832,68.7506359357242
R16,BSDC91,167.07141402631177,98.80704240138888,68.26437162492289
R14,BSDC91,152.15983362913704,92.93238207645554,59.2274515526815
