experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,kind,seed_id,experiment_uid,U,P,R
X_A0_L2_I0_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,9275.680298042626,38791.37078329268,52548.1305691649,23349.9190523451,40661,6823.30303073049,31534.29157101824,39451.05046118894,18473.67073145716,40661,2518.1368976034464,23151.40848295796,34464.084905743075,14280.833640119603,9711.244926605294,36669.23073123841,18138.458058398934,32676.077390694936,16660.493160150094,60692.71216208634,58694.74077585712,5147.263804465203,57814.436548945625,451.56606121613476,805.469892323826,40698.791258396996,36216.73818152536,339.33525536323054,nan,nan,nan,nan,nan,17,77853.72446875986,55619.928693021444,131670.47554104045,A0,L2,I0,T11,imu_only,S04,X_A0_L2_I0_T11__S04,,,
X_A0_L2_I0_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,9275.235150348037,38790.869774321014,52551.25343784779,23349.90348332326,40661,6825.501473588079,31537.512267222726,39452.147200609,18473.658622825682,40661,2518.2145216408835,23153.126114337923,34465.71423458217,14280.823847657042,9711.195433608966,36669.81532816591,18138.44612938675,32676.545503068864,16660.262890097234,60731.59691080637,58734.874955046245,5146.878528297351,57855.33004187977,449.95273382417736,803.0610552818277,40698.791258396996,36216.73818152536,339.33525536323054,nan,nan,nan,nan,nan,17,78006.81087742661,55704.44638682019,131928.10480244437,A0,L2,I0,T12,imu_only,S04,X_A0_L2_I0_T12__S04,,,
X_A0_L2_I1_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,5037.9353537811985,23632.987997364133,30023.893139169817,13349.17618974524,40661,3672.955287525699,18312.595589621254,23555.203614419806,10589.262624617972,40661,1838.8048101132952,13136.186413162015,19394.089861595796,8128.223791932044,6630.710658581525,24427.753186173126,12383.345303723949,19507.18493276758,8624.633962218079,22421.436011840684,21782.633840654944,3166.1958559389655,20983.755186537615,465.6439368325404,936.5303931927486,26948.833935669263,21861.292142556806,224.69220787157644,nan,nan,nan,nan,nan,17,76421.4138398767,37575.86628231541,140018.62504545314,A0,L2,I1,T11,imu_only,S04,X_A0_L2_I1_T11__S04,,,
X_A0_L2_I1_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,5036.926903618299,23632.086921929007,30023.537567063147,13349.167129060734,40661,3672.1249205228783,18311.314146059412,23555.789503604756,10589.254984469098,40661,1839.3576693335103,13137.422445258831,19394.93031511409,8128.218864763173,6631.40416564077,24428.438477210522,12383.338251147681,19507.704656936454,8623.827053552184,22454.9076606055,21850.69262853005,3165.906761025759,21054.106930742084,464.0115059434123,934.2422845276463,26948.833935669263,21861.292142556806,224.69220787157644,nan,nan,nan,nan,nan,17,76481.49057975202,37584.845203268414,140071.8763008964,A0,L2,I1,T12,imu_only,S04,X_A0_L2_I1_T12__S04,,,
X_A0_L2_I2_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,5893.286808765092,23571.56619376871,29536.046731498765,13363.443694839558,40661,4085.058753226878,19427.70670476905,25704.42326665505,11096.582947598194,40661,2729.698675596355,12983.250294815945,16096.35721929923,7446.306082361918,5980.9411946472155,25936.853003199314,12429.55557217748,19052.04535975489,13446.83153502028,23322.03626477603,23036.881386216664,3342.659522939517,20183.140153904795,492.2242649825122,917.8385376951751,28882.452160040244,20822.461160861963,240.9086992657863,nan,nan,nan,nan,nan,17,43622.80218072263,29939.8529758767,69292.77209316228,A0,L2,I2,T11,imu_only,S04,X_A0_L2_I2_T11__S04,,,
X_A0_L2_I2_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,5893.507359015895,23568.64915858536,29539.42173989829,13363.43429518005,40661,4085.118217153159,19428.811076870094,25705.930874732057,11096.574761269787,40661,2729.9764402760857,12981.479507419028,16096.41592681611,7446.301412724622,5980.862957282408,25937.30290223704,12429.544879847705,19051.41839802201,13447.858400901856,23353.06635522109,23068.476286847614,3341.0255324722657,20227.743948050826,490.6931578985934,914.861798924828,28882.452160040244,20822.461160861963,240.9086992657863,nan,nan,nan,nan,nan,17,43737.96157935173,30043.719426014723,69415.27515065439,A0,L2,I2,T12,imu_only,S04,X_A0_L2_I2_T12__S04,,,
X_A0_L2_I3_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,3111.0538233951747,14451.027968349897,18148.921489220433,8035.591446078551,40661,2349.9033857573513,12444.534963724722,16305.234315200736,7031.692778678833,40661,1008.8606620210886,6209.185172246103,8462.449735433373,3889.219273140398,3715.0140422271916,15469.18030350029,7605.188673644239,11901.130576190768,6159.354194629108,9126.51352768778,8961.401252130654,1342.6042854312325,6054.207422857502,513.4466850168733,925.8277858053284,17995.76746756108,13313.66027753857,150.2644508156232,nan,nan,nan,nan,nan,17,18585.305982690657,9104.21977737768,32503.162116765725,A0,L2,I3,T11,imu_only,S04,X_A0_L2_I3_T11__S04,,,
X_A0_L2_I3_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,3111.0736033366234,14451.473545777437,18148.408549401913,8035.58593606024,40661,2349.741789000855,12444.447479047898,16308.304911305993,7031.68804727444,40661,1008.2845359877033,6209.426419046694,8459.341960567734,3889.216443144673,3713.8710671559247,15469.84692350016,7605.181193804652,11900.332542849448,6159.167208680114,9128.523023807076,8963.442670095785,1342.7868787469174,6064.419104462997,511.88514171046086,923.7752589293209,17995.76746756108,13313.66027753857,150.2644508156232,nan,nan,nan,nan,nan,17,18640.33775922682,9100.584259317811,32693.70677413497,A0,L2,I3,T12,imu_only,S04,X_A0_L2_I3_T12__S04,,,
X_A0_L2_I4_T11,imu_only_diagnostic_screening,Phase4 L2 single-I T11.,34,17,40661,4112.220172060404,17819.276025368206,22722.450777741684,10190.637106551818,40661,2442.115289225868,13620.592331867036,19482.733722421148,8103.638650426659,40661,1747.3624285185783,10930.541932951179,13979.97263726371,6179.006818311662,4069.4983071173383,18837.06120367897,8683.850633576076,12033.588586133928,11426.722008840785,9025.423188420376,8927.713920812635,3000.8669581981967,5846.288474045016,508.09351047939015,945.0705883894378,21426.845110868402,13095.734641027679,178.7295896470659,nan,nan,nan,nan,nan,17,30784.76694798781,10353.442015670513,61462.62987435755,A0,L2,I4,T11,imu_only,S04,X_A0_L2_I4_T11__S04,,,
X_A0_L2_I4_T12,imu_only_diagnostic_screening,Phase4 L2 single-I T12.,34,17,40661,4112.6033817124,17814.155665842027,22721.909866734277,10190.63089328543,40661,2442.2919032986983,13617.694426534246,19482.78545535004,8103.633963633047,40661,1747.0597441374728,10933.218334132918,13980.86239961382,6179.002717804579,4069.7873561988454,18837.270588077914,8683.845267234952,12033.97824664303,11425.221303196407,9044.628985862424,8947.256011646741,3001.8772950997873,5873.0785842502955,505.96912415042857,941.9543758035169,21426.845110868402,13095.734641027679,178.7295896470659,nan,nan,nan,nan,nan,17,30874.843842489798,10392.386490644425,61555.2906413118,A0,L2,I4,T12,imu_only,S04,X_A0_L2_I4_T12__S04,,,
