experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,imu_packet_model,orientation_source,L,I,information_use,coupling_mode,solver_family,solver_detail,gpu_backend
REAL6_B0_A0_U4_P0_T1,real_6axis_vertical_slice,"Pure UWB baseline A0/U4/P0/T1, copied into real-6axis smoke run.",34,17,40661,102.63336074100664,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726388,40661,61.57092076688957,163.1159939953268,205.8963041825253,105.96740522354024,105.83784720842488,231.8021379954777,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085116,173.57057176081128,,,,,,,,,17,80.07935390701411,26.37186507012177,172.16272100899008,explicit_ax_ay_az_gx_gy_gz,world_aligned,,,causal-forward,uwb_only_control,T1,pure solved-UWB position baseline,
REAL6_X_A0_L0_I0_T11,real_6axis_vertical_slice,Perfect simulated 6-axis IMU-only strapdown diagnostic.,34,17,40643,0.844762383435126,1.3773615111639383,1.50519596001683,0.9849276840796696,40643,0.6631587317989975,1.2775426444092723,1.4220094200734084,0.8413397660215483,40643,0.3408965737347671,0.8011471045496367,0.9443569617956428,0.5120839198582082,0.7965853331863539,1.435188562940684,0.9586362045734548,1.2704542963333978,0.8635196456051233,0.3500293341829384,0.2553898956198124,0.1672195417305602,0.9066138333611776,14.790716812186208,22.719945276702823,8.09378329414056,6.9175444957728764,0.067510207494931,,,,,,17,247.794413313268,13.127369274851103,591.8925287985837,explicit_ax_ay_az_gx_gy_gz,world_aligned,L0,I0,causal-forward,imu_only_diagnostic,T11,perfect IMU-only strapdown diagnostic,
REAL6_X_A0_L15_I1+I3_T11,real_6axis_vertical_slice,Realistic simulated 6-axis L15/I1+I3 IMU-only strapdown diagnostic.,34,17,40643,2774.099858340023,7447.596161548882,8990.525488473064,4436.355956958891,40643,1891.990627710052,6160.130395316577,7548.879092744767,3583.7650081232973,40643,997.1651183035784,4504.164905956877,6403.176849015556,2614.93451990593,2970.012678174975,7462.213933811481,3991.447884639936,6065.605718453751,2814.9694634289376,4350.523712026669,3956.3699942654375,1110.6255074394126,2671.222663961792,450.32537231362414,810.4227632221837,8990.311369356905,7713.288847393924,74.95341343281434,,,,,,17,4888.348713788258,2302.666143661861,8485.255594896313,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,causal-forward,imu_only_diagnostic,T11,realistic IMU-only strapdown diagnostic,
REAL6_X_A0_U4_P0_L15_I1+I3_T2LITE_IMU2UWB,real_6axis_vertical_slice,Realistic simulated 6-axis L15/I1+I3 causal IMU-corrects-UWB T2-lite smoke.,34,17,40661,85.01535004669219,151.47599768782953,176.2661509160729,102.15084592762932,40661,54.50141908328819,113.8752401650576,134.37541030671932,72.68236660957352,40661,50.30585442239385,116.43821401839978,140.29688749578588,71.77791378802965,85.22651683237619,165.24348054723004,98.20352247728668,126.17875558522888,123.0124278906326,72.35466468250621,67.47834198763904,24.457096052182123,52.56778425322472,83.9845640615528,141.25493297745487,,,,,,,,,17,245.6836011854556,25.72948427058856,684.3363108416878,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,causal-forward,imu_corrects_uwb,T2LITE,causal solved-UWB trajectory corrected by IMU relative-motion prior,
REAL6_X_A0_U4_P0_L15_I1+I3_T3LITE_BIDIR,real_6axis_vertical_slice,Realistic simulated 6-axis L15/I1+I3 causal bidirectional T3-lite smoke.,34,17,40661,60.34934608435433,99.63156429310315,112.48094102597148,69.12104314227513,40661,38.52891585913304,72.0756100628026,83.99646580238058,47.75421971973593,40661,36.65136658121344,80.64832566995858,94.7789716924034,49.97252349076882,61.78913502669408,100.89858592138005,68.18089969586694,72.22994141040164,76.07134890639875,62.18119417429918,46.91828496794386,25.202702902557064,19.74680181785285,61.762489053019934,97.68685815894952,,,,1.0,0.8786063082374365,3.921632907821337,,,17,411.9116938789189,23.00370336248369,614.650214293243,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,causal-forward,bidirectional_joint,T3LITE,causal IMU prediction gates UWB while accepted UWB corrects position/velocity drift proxy,
REAL6_X_A0_U4_P0_L15_I1+I3_T5LITE,real_6axis_vertical_slice,Realistic simulated 6-axis L15/I1+I3 causal UWB+IMU T5-lite smoke.,34,17,40661,56.45088940835756,91.40071657348112,102.68144607188157,64.38120180563651,40661,36.6963801229678,65.46915813181415,75.8034221876334,44.29286526389113,40661,33.7982191067033,74.91894320378049,88.845974292228,46.72345484500135,60.07751119616242,86.00993907906144,63.04977256975498,60.5945908936444,60.88893525400938,58.48257024192744,39.40939002005906,27.6940691272207,5.141011372377591,55.69591611838939,87.62781181623404,,,,1.0,0.8786063082374365,3.921632907821337,,,17,455.8046172482743,21.592715248426657,1021.398898364143,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,causal-forward,uwb_corrects_imu,T5LITE,causal IMU prediction with solved-UWB Kalman position update,
REAL6_X_A0_U4_P0_L15_I1+I3_T10LITE_BIDIR,real_6axis_vertical_slice,"Realistic simulated 6-axis L15/I1+I3 full-session bidirectional joint smoother with UWB positions, IMU relative motion, and IMU drift-rate proxy.",34,17,40661,94.5626412329148,192.77890552810055,238.76533028600528,131.1531960569383,40661,59.74911657837671,134.66227313303912,164.1248952809551,85.71368789889206,40661,58.08198449782799,150.8588245872431,192.88337905101844,99.2689505470921,97.15745374672808,212.7333136448086,122.56217919435568,147.10889514945225,171.90732638733454,82.86498758045906,70.58130932684006,36.894273092472986,57.15689595949286,89.02503822069075,162.81810074933935,,,,,,,,,17,147.63610748223178,26.850846549033008,382.3506250737922,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,full-session,bidirectional_joint,T10LITE,torch full-session position-domain objective,cuda:0+cuda:1
REAL6_X_A0_U4_P0_L15_I1+I3_T9LITE_IMU2UWB,real_6axis_vertical_slice,Realistic simulated 6-axis L15/I1+I3 full-session IMU-corrects-UWB smoother using IMU relative motion to regularize solved UWB positions.,34,17,40661,94.59445697141332,192.79860923643665,238.837068948434,131.1723847437146,40661,59.81123769742285,134.71749235401847,164.21349782190782,85.72987403048195,40661,58.08886032224291,150.91160525727287,192.8709320825883,99.28032644019048,97.1041678356384,212.67744038895583,122.5741452942099,147.78228205335432,171.92681186096735,82.8069860488572,70.54986511305773,37.01991396161361,57.18143893827656,89.01297857293406,163.63421100019997,,,,,,,,,17,147.16853763360095,26.821905294642704,380.5187263270753,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,full-session,imu_corrects_uwb,T9LITE,torch full-session position-domain objective,cuda:0+cuda:1
REAL6_X_A0_U4_P0_L15_I1+I3_T9LITE_UWB2IMU,real_6axis_vertical_slice,Realistic simulated 6-axis L15/I1+I3 full-session UWB-corrects-IMU smoother using solved UWB positions plus IMU relative motion.,34,17,40661,95.82309104943724,194.69595135496408,240.81141346030003,132.48322446713345,40661,60.9053576143429,136.5115033363078,166.29960147939818,86.95169765265467,40661,58.52798952055423,152.37528044223336,193.85341263698035,99.9560255338826,98.74394650416986,215.04658724387664,123.94861171563277,150.1525105748625,174.15719836859574,82.55541390485939,70.22648181925922,37.352280904972986,57.45112601722806,89.27558742239768,164.52331924982582,,,,,,,,,17,127.06383909606916,26.359779141219747,316.93819775450646,explicit_ax_ay_az_gx_gy_gz,world_aligned,L15,I1+I3,full-session,uwb_corrects_imu,T9LITE,torch full-session position-domain objective,cuda:0+cuda:1
