solver,config,success,inter_rms,N,X,Y,Z,3D
MDS+NLS,Dual-layer 8anc,True,42.05385138296685,601,13.220795687194563,18.221282540180113,34.678321454568035,41.34477663403164
Ridolfi GD,Dual-layer 8anc,True,42.05385138298846,601,13.220795780374054,18.221282733809183,34.678321217054815,41.34477654994647
SDP+NLS,Dual-layer 8anc,False,nan,0,nan,nan,nan,nan
AutoPos V1,Dual-layer 8anc,True,42.05385138296685,601,13.220795687194563,18.221282540180113,34.678321454568035,41.34477663403164
AutoPos V2,Dual-layer 8anc,True,42.39484412558213,601,13.208628723801821,18.209608954162462,34.7099460784761,41.36227856148008
V3-lite,Dual-layer 8anc,True,42.416485047980565,601,13.20914016343141,18.216309410854254,34.64672995337147,41.31236145357709
V3-full,Dual-layer 8anc,False,74.88718246436189,601,13.00746172071392,18.65256843713738,33.75362535658744,40.69913505752665
V4-interonly,Dual-layer 8anc,True,48.03304564646219,601,13.008702539184503,18.53415540647979,33.978744631271134,40.832540272455084
MDS+NLS,Upper only EFGH,True,1.8564982859236944e-13,171,21.380281468762252,43.7162702995513,98.0552710740211,109.46718645323213
Ridolfi GD,Upper only EFGH,True,1.8564982859236944e-13,171,21.380281468762252,43.7162702995513,98.0552710740211,109.46718645323213
SDP+NLS,Upper only EFGH,False,nan,0,nan,nan,nan,nan
AutoPos V1,Upper only EFGH,True,1.8564982859236944e-13,171,21.380281468762252,43.7162702995513,98.0552710740211,109.46718645323213
AutoPos V2,Upper only EFGH,True,11.052038959209662,171,21.027708076152933,39.87797121128529,92.40958749329198,102.81998325006862
V3-lite,Upper only EFGH,True,3.712996571847389e-13,171,21.375866339758815,43.711073112045575,98.32286529114742,109.70401730767634
V3-full,Upper only EFGH,True,6.431098710768743e-13,171,21.37586623806924,43.71107304699481,98.32286413696498,109.70401622750016
V4-interonly,Upper only EFGH,True,3.712996571847389e-13,171,21.375866339758815,43.711073112045575,98.32286529114742,109.70401730767634
MDS+NLS,Lower only ABCD,True,4.547473508864641e-13,598,16.2255984241525,27.884928270847098,59.40701161935289,67.60201401167038
Ridolfi GD,Lower only ABCD,True,4.547473508864641e-13,598,16.2255984241525,27.884928270847098,59.40701161935289,67.60201401167038
SDP+NLS,Lower only ABCD,False,nan,0,nan,nan,nan,nan
AutoPos V1,Lower only ABCD,True,4.547473508864641e-13,598,16.2255984241525,27.884928270847098,59.40701161935289,67.60201401167038
AutoPos V2,Lower only ABCD,True,6.973650807321503,598,16.23345036482775,27.89353324807092,60.01558597819145,68.14282550727006
V3-lite,Lower only ABCD,True,5.870763055717387e-13,598,16.225824457095435,27.869833093780315,58.72627258930794,66.99835869796624
V3-full,Lower only ABCD,True,2.2585276422359038e-12,598,16.22582444183394,27.869833091829143,58.72627256566937,66.99835867273855
V4-interonly,Lower only ABCD,True,5.870763055717387e-13,598,16.225824457095435,27.869833093780315,58.72627258930794,66.99835869796624
MDS+NLS,Best6 no DH,True,49.86386607658893,601,13.561556994488933,18.71077868484383,37.41692031050917,43.97766470187988
Ridolfi GD,Best6 no DH,True,49.863866076596324,601,13.56155674291603,18.710778614564312,37.416918891896394,43.97766338742114
SDP+NLS,Best6 no DH,False,nan,0,nan,nan,nan,nan
AutoPos V1,Best6 no DH,True,49.86386607658893,601,13.561556994488933,18.71077868484383,37.41692031050917,43.97766470187988
AutoPos V2,Best6 no DH,True,50.21737313295253,601,13.555123900207581,18.71726502110049,37.40636544612701,43.96946178553128
V3-lite,Best6 no DH,True,50.11284867137369,601,13.554820967615896,18.72992397987088,37.327937669918335,43.908064799592
V3-full,Best6 no DH,False,121.16046206686686,601,13.226974906571016,17.84892406500395,38.409266931595134,44.37126031205181
V4-interonly,Best6 no DH,True,69.60598402509524,601,13.244876074073778,18.206496909650106,34.8840755679069,41.5186945864885
MDS+NLS,Upper+AB,True,15.435614546782723,601,13.78790184077958,42.02944456847005,20.235449685900758,48.6420997891301
Ridolfi GD,Upper+AB,True,15.435614546777487,601,13.787901987643533,42.029444955977695,20.235449614281393,48.64210013579332
SDP+NLS,Upper+AB,False,nan,0,nan,nan,nan,nan
AutoPos V1,Upper+AB,True,15.435614546782723,601,13.78790184077958,42.02944456847005,20.235449685900758,48.6420997891301
AutoPos V2,Upper+AB,True,15.031679557709316,601,13.779098590615893,41.95196844733605,20.30176730077856,48.60033919749073
V3-lite,Upper+AB,True,15.29101591514331,601,13.785850834549015,41.99438618603146,20.264932426739698,48.62350913533814
V3-full,Upper+AB,False,60.8387359857106,601,13.93915228753283,40.9447226078037,20.49359066534122,47.86185886782484
V4-interonly,Upper+AB,True,13.412908722944048,601,13.781292205493154,42.00919013978308,20.2849210121386,48.643335530392406
MDS+NLS,Lower+EF,True,28.440622515290436,601,13.639964482749267,18.32758217713948,37.45774703920014,43.87518333640521
Ridolfi GD,Lower+EF,True,28.44062251517737,601,13.639965030132174,18.327582496726645,37.457747206933526,43.87518378327418
SDP+NLS,Lower+EF,False,nan,0,nan,nan,nan,nan
AutoPos V1,Lower+EF,True,28.440622515290436,601,13.639964482749267,18.32758217713948,37.45774703920014,43.87518333640521
AutoPos V2,Lower+EF,True,28.506736936676297,601,13.644830682018716,18.346897899695623,37.49962949209772,43.9205222979807
V3-lite,Lower+EF,True,28.650561122988634,601,13.647633859211153,18.35262491536011,37.491937590853894,43.91721912365885
V3-full,Lower+EF,False,50.11504010872521,601,14.061090843289671,18.58498656162095,36.758572376001055,43.52365614606135
V4-interonly,Lower+EF,True,31.31323647871834,601,13.437904380797796,18.08312969605267,36.918987320343355,43.25030032856882
