row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L14:I3:T6,simulate_imu_prior,0.704113394007436,,,,
R2:L14:I3:T6,cpu_golden,21.36398871599522,,,,
R2:L14:I3:T6,torch_gpu,2.251954884995939,0,1,2.251954884995939,2.251954884995939
R2:L14:I3:T8,simulate_imu_prior,0.6156043899973156,,,,
R2:L14:I3:T8,cpu_golden,21.722675812998204,,,,
R2:L14:I3:T8,torch_gpu,2.2120902440074133,0,1,2.2120902440074133,2.2120902440074133
R2:L14:I4:T6,simulate_imu_prior,0.6375298069906421,,,,
R2:L14:I4:T6,cpu_golden,20.97299676699913,,,,
R2:L14:I4:T6,torch_gpu,2.4309433070011437,0,1,2.4309433070011437,2.4309433070011437
R2:L14:I4:T8,simulate_imu_prior,0.5654964749992359,,,,
R2:L14:I4:T8,cpu_golden,21.55410858000687,,,,
R2:L14:I4:T8,torch_gpu,2.4043437829968752,0,1,2.4043437829968752,2.4043437829968752
