host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T01:19:37.814+02:00,BSF66F,3235,5,F,2938,3628437673,-34,47773,21193,2246,76,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003235_F.bin
2026-06-02T01:19:38.745+02:00,BSF66F,3236,2,C,2634,2957823918,6677,48018,11215,618,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003236_C.bin
2026-06-02T01:19:39.719+02:00,BSF66F,3238,3,D,2655,426488570,6730,47830,11777,722,32,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003238_D.bin
2026-06-02T01:19:40.661+02:00,BSF66F,3239,7,H,2236,3962445552,7469,47812,21787,2086,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003239_H.bin
2026-06-02T01:19:41.566+02:00,BSF66F,3240,0,A,2725,3597128681,5582,48077,12752,1998,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003240_A.bin
2026-06-02T01:19:42.531+02:00,BSF66F,3242,1,B,3192,467631298,5948,47790,9457,522,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003242_B.bin
2026-06-02T01:19:43.498+02:00,BSF66F,3244,2,C,2628,1734395378,6606,48086,11853,707,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003244_C.bin
2026-06-02T01:19:44.433+02:00,BSF66F,3245,6,G,2394,551047130,11650,48046,17631,2214,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003245_G.bin
2026-06-02T01:19:45.364+02:00,BSF66F,3246,3,D,2636,363198532,6744,47656,11519,746,32,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003246_D.bin
2026-06-02T01:19:46.307+02:00,BSF66F,3247,7,H,2252,3905421557,7459,47817,21908,2082,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003247_H.bin
2026-06-02T01:19:47.211+02:00,BSF66F,3248,0,A,2738,3543039824,5530,47924,16701,1942,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003248_A.bin
2026-06-02T01:19:48.176+02:00,BSF66F,3250,1,B,3240,421336987,5765,48007,9703,451,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003250_B.bin
2026-06-02T01:19:49.144+02:00,BSF66F,3252,2,C,2637,1709585166,6582,47858,9611,633,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003252_C.bin
2026-06-02T01:19:50.118+02:00,BSF66F,3254,3,D,2643,3419263747,6812,47831,11936,716,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003254_D.bin
2026-06-02T01:19:51.060+02:00,BSF66F,3255,7,H,2229,2691819755,7486,47815,20494,1812,56,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003255_H.bin
2026-06-02T01:19:51.964+02:00,BSF66F,3256,0,A,2688,2321160485,5624,47881,13517,1913,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003256_A.bin
2026-06-02T01:19:52.923+02:00,BSF66F,3258,1,B,3195,3111837548,5874,47960,10273,550,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003258_B.bin
2026-06-02T01:19:53.895+02:00,BSF66F,3260,2,C,2560,379612668,6808,48096,10865,654,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003260_C.bin
2026-06-02T01:19:54.870+02:00,BSF66F,3262,3,D,2646,2124355513,6806,48021,12727,775,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003262_D.bin
2026-06-02T01:19:55.811+02:00,BSF66F,3263,7,H,2246,1371407869,7482,48081,21253,1914,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003263_H.bin
2026-06-02T01:19:56.715+02:00,BSF66F,3264,0,A,2710,967939753,5546,47757,13746,1934,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_011936/accumulator_bin/sweep_00003264_A.bin
