host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.002094,1777208478.625401,7724,,BSF66F,,cal_static,4,F,ok,ok,2499,2499,0,0,100,100
0.026473,1777208478.64978,7724,,BSF66F,,cal_static,4,G,ok,ok,2478,2478,0,0,100,100
0.026528,1777208478.649835,7724,,BSF66F,,cal_static,4,H,ok,ok,3231,3231,0,0,100,100
0.282814,1777208478.906121,7725,,BSF66F,,cal_static,4,A,ok,ok,3131,3131,0,0,100,100
0.285657,1777208478.908964,7725,,BSF66F,,cal_static,4,B,ok,ok,2627,2627,0,0,100,100
0.285723,1777208478.90903,7725,,BSF66F,,cal_static,4,C,ok,ok,2406,2406,0,0,100,100
0.303289,1777208478.926596,7725,,BSF66F,,cal_static,4,D,ok,ok,3061,3061,0,0,100,100
0.409695,1777208479.033002,7726,,BSF66F,,cal_static,4,E,ok,ok,3119,3119,0,0,100,100
0.41284,1777208479.036147,7726,,BSF66F,,cal_static,4,F,ok,ok,2511,2511,0,0,100,100
0.412997,1777208479.036304,7726,,BSF66F,,cal_static,4,G,ok,ok,2512,2512,0,0,100,100
0.438239,1777208479.061546,7726,,BSF66F,,cal_static,4,H,ok,ok,3215,3215,0,0,100,100
0.645095,1777208479.268402,7727,,BSF66F,,cal_static,4,A,ok,ok,3166,3166,0,0,100,100
0.647205,1777208479.270512,7727,,BSF66F,,cal_static,4,B,ok,ok,2602,2602,0,0,100,100
0.664157,1777208479.287464,7727,,BSF66F,,cal_static,4,C,ok,ok,2447,2447,0,0,100,100
0.664224,1777208479.287531,7727,,BSF66F,,cal_static,4,D,ok,ok,3059,3059,0,0,100,100
0.800156,1777208479.423463,7728,,BSF66F,,cal_static,4,E,ok,ok,3148,3148,0,0,100,100
0.802984,1777208479.426291,7728,,BSF66F,,cal_static,4,F,ok,ok,2511,2511,0,0,100,100
0.803015,1777208479.426322,7728,,BSF66F,,cal_static,4,G,ok,ok,2482,2482,0,0,100,100
0.820438,1777208479.443745,7728,,BSF66F,,cal_static,4,H,ok,ok,3171,3171,0,0,100,100
1.054942,1777208479.678249,7729,,BSF66F,,cal_static,4,A,ok,ok,3130,3130,0,0,100,100
1.057957,1777208479.681264,7729,,BSF66F,,cal_static,4,B,ok,ok,2735,2735,0,0,100,100
1.058043,1777208479.68135,7729,,BSF66F,,cal_static,4,C,ok,ok,2414,2414,0,0,100,100
1.075717,1777208479.699024,7729,,BSF66F,,cal_static,4,D,ok,ok,3089,3089,0,0,100,100
1.207233,1777208479.83054,7730,,BSF66F,,cal_static,4,E,ok,ok,3100,3100,0,0,100,100
1.209592,1777208479.832899,7730,,BSF66F,,cal_static,4,F,ok,ok,2499,2499,0,0,100,100
