case_id,case_label,condition,sample_keep_fraction,drop_percent,samples_kept,ate_p50_mm,ate_p95_mm,ate_rmse_mm,rpe_rmse_mm,rpe_p95_mm,median_effective_update_rate_hz,stress_input_note
original_selfcal,FULL original self-cal v4-io/T4,solved_sample_keep_100,1.0,0.0,40661,102.63336074100664,256.9324074144989,141.2659848479643,134.45088282493288,241.02446201224896,10.008998464966568,ROTO solved-sample thinning; not a raw range re-solve
original_selfcal,FULL original self-cal v4-io/T4,solved_sample_keep_75,0.75,25.0,30589,102.393123658096,255.77335528567798,140.8831070139505,138.56559358619373,251.5325226368438,7.546273705283193,ROTO solved-sample thinning; not a raw range re-solve
original_selfcal,FULL original self-cal v4-io/T4,solved_sample_keep_50,0.5,50.0,20322,102.91065585130008,257.1155363494184,141.20350080159335,144.04090803138084,265.2906058549775,5.001779576274462,ROTO solved-sample thinning; not a raw range re-solve
original_selfcal,FULL original self-cal v4-io/T4,solved_sample_keep_25,0.25,75.0,10128,102.41197472583684,256.1115935263456,139.79397440540342,156.27540406319136,290.53808748483056,2.5023416190950636,ROTO solved-sample thinning; not a raw range re-solve
original_selfcal,FULL original self-cal v4-io/T4,solved_sample_keep_10,0.1,90.0,4067,101.23637421122248,250.4803629803465,137.45877238136794,169.2852558353297,306.12019415639804,1.0083211191243537,ROTO solved-sample thinning; not a raw range re-solve
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,solved_sample_keep_100,1.0,0.0,40661,104.47503409732244,206.1889222480439,125.39509954748621,112.789191439667,198.21128459282414,10.008998464966568,ROTO solved-sample thinning; not a raw range re-solve
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,solved_sample_keep_75,0.75,25.0,30404,104.78539225985736,205.36614876056544,125.4807362038514,118.15189754631014,207.44062756894235,7.513800421435068,ROTO solved-sample thinning; not a raw range re-solve
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,solved_sample_keep_50,0.5,50.0,20499,103.9675438662058,205.90908539475862,124.82352981450117,123.72814376259362,220.90371270772766,5.016350230034611,ROTO solved-sample thinning; not a raw range re-solve
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,solved_sample_keep_25,0.25,75.0,10111,104.00558309328883,207.59147836228388,126.14797988062519,137.7484153137588,239.88426343348794,2.5298207580038383,ROTO solved-sample thinning; not a raw range re-solve
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,solved_sample_keep_10,0.1,90.0,3995,103.38029836316944,207.8429553068334,125.08746678221353,148.9052903073081,254.8085698820719,0.9953667384866463,ROTO solved-sample thinning; not a raw range re-solve
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,solved_sample_keep_100,1.0,0.0,40661,107.68179187688538,207.9621661865513,127.75628339746346,111.70832424921426,196.43430068802115,10.008998464966568,ROTO solved-sample thinning; not a raw range re-solve
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,solved_sample_keep_75,0.75,25.0,30558,107.61106201061563,207.44297365686828,127.67068371200158,116.93933448226579,206.21898756194034,7.519379743588287,ROTO solved-sample thinning; not a raw range re-solve
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,solved_sample_keep_50,0.5,50.0,20148,107.5301308874331,208.2911232706104,127.69417370970213,123.55716646740589,218.51872399539707,4.9713068465303705,ROTO solved-sample thinning; not a raw range re-solve
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,solved_sample_keep_25,0.25,75.0,10173,107.57468769590258,207.45615507787753,127.65816316284896,134.95974749525615,238.34605604377938,2.4959429943041664,ROTO solved-sample thinning; not a raw range re-solve
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,solved_sample_keep_10,0.1,90.0,4230,109.34982203886567,209.89640790665948,130.32899845621523,151.3777776154362,263.7978111697829,1.0629355458786214,ROTO solved-sample thinning; not a raw range re-solve
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,solved_sample_keep_100,1.0,0.0,40661,104.39306196427792,207.44455636229569,126.68509529098873,113.35969229244698,198.9197272746091,10.008998464966568,ROTO solved-sample thinning; not a raw range re-solve
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,solved_sample_keep_75,0.75,25.0,30529,104.45140109256543,206.63087578788716,126.33640819877644,117.3109841319403,208.33122783940883,7.52258507912349,ROTO solved-sample thinning; not a raw range re-solve
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,solved_sample_keep_50,0.5,50.0,20448,104.03489420935068,207.0592675174887,126.57730012662694,124.43774654519365,219.1558648457233,5.045673406618283,ROTO solved-sample thinning; not a raw range re-solve
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,solved_sample_keep_25,0.25,75.0,10169,104.44686474273036,209.26063503220067,126.55241444575152,134.55585030358435,238.39051999575287,2.5272355124149883,ROTO solved-sample thinning; not a raw range re-solve
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,solved_sample_keep_10,0.1,90.0,4121,103.27341728942832,204.48381776767255,125.3609749797751,147.69734737030052,264.0702870598731,1.026641775133037,ROTO solved-sample thinning; not a raw range re-solve
