experiment,layout_solver,baseline_pair,scale_factor,delay_mode,tag_method,tracks_ok,captures_ok,n_overlap_total,err3d_p50_track_median_mm,err3d_p95_track_median_mm,err3d_rmse_track_median_mm,err_horizontal_xz_p50_track_median_mm,err_horizontal_xz_p95_track_median_mm,err_vertical_y_p50_track_median_mm,err_vertical_y_p95_track_median_mm,turn_center_abs_error_3d_track_median_mm,turn_center_abs_error_3d_track_p95_mm,radius_error_abs_track_median_mm,radius_error_abs_track_p95_mm,axis_angle_abs_track_median_deg,residual_rms_track_median_mm,sample_weighted_err3d_p50_mm,sample_weighted_err3d_p95_mm,sample_weighted_err3d_rmse_mm,sample_weighted_horizontal_xz_p50_mm,sample_weighted_horizontal_xz_p95_mm,sample_weighted_vertical_y_p50_mm,sample_weighted_vertical_y_p95_mm,layout_variant,scale_source
one_baseline,v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,113.36763340016802,209.222691538776,131.80710625365214,65.74257253996768,147.26983744415526,70.34726436737058,183.4228331154938,72.70383137900315,106.93793569897343,17.540813414555288,50.72979414556872,3.005853967903356,91.73987920900592,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,113.45964078694664,209.29990114651952,131.79718751639513,65.94587090561001,147.25046369307844,70.16852302319373,183.34940368937413,72.66855828610612,106.93656421413276,17.523127186815685,50.73965959040039,2.986255054747615,91.7442698250353,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T3,34,17,40661,119.57265849640292,209.4553732694751,131.96664407986657,69.27902587126619,148.61017672079817,76.49697444684173,184.4283843558872,72.45406448046457,108.6895529229438,18.457362153970703,52.02474215366025,3.198267258550615,92.36446064507729,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,one_baseline_layout_inter_anchor_delaycal,T4,34,17,40661,112.5692329459122,209.94715376340503,133.23699347529706,65.17174004477023,148.3010082570886,69.645949741923,185.1816952789709,71.67940980082669,109.96237939886176,18.09586803514324,52.9615024592976,2.7651292796663625,91.76291116056166,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,solver_delay,T1,34,17,40661,402.7894840940563,615.0348041054588,424.1249322171439,175.5341467334168,344.2711769563108,357.69623384553825,543.8523045503605,107.7595413361034,274.73098184190013,313.99816034039634,383.010232330886,9.281715502645811,219.0116413973056,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,solver_delay,T2,34,17,40661,402.43835283363694,614.0903864335963,424.049924350898,176.0057644670241,344.3286424669087,357.3662409087887,543.0575812298275,107.93229926508792,276.2716942475128,313.79023052296543,380.68994839510384,9.312607013531215,218.93826820757732,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,solver_delay,T3,34,17,40661,455.2570230625788,706.0800429734795,503.8782044415277,174.92690636650298,382.66574669880106,403.6136962623439,671.610207990894,174.3279563806433,458.3214028067797,186.95946311498116,277.0210183655691,8.4631452576636,247.0335912719981,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-B,0.9286065251127016,solver_delay,T4,34,17,40661,371.7821243570031,566.9652885426603,395.1978580161339,148.50373445065082,313.03592836260134,318.5876485400304,506.8111101207778,107.53462584209429,167.443099910536,258.84338533872307,316.0254349996593,10.853351647556805,217.1928919221427,,,,,,,,one_baseline_scale,A-B
one_baseline,v1-old,A-C,0.9288221884073664,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,113.20452644763012,209.0361357385657,131.69397975654064,65.69753135609835,147.24070691005505,70.15034464588098,183.52101027776405,72.69054833573958,106.9050755421718,17.533457476630105,50.52786933359964,3.000046212055652,91.69277929673768,,,,,,,,one_baseline_scale,A-C
one_baseline,v1-old,A-C,0.9288221884073664,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,113.28684919036692,209.13207479786092,131.68358651381754,65.91069911873949,147.14242007859278,70.02686623285402,183.48238060511235,72.66855156304139,106.9038954313274,17.51556881621363,50.53784078990039,2.980513466354296,91.67279361051106,,,,,,,,one_baseline_scale,A-C
