pair,obs_mm,pred_mm,residual_mm
AB,3007.7013447106315,2975.0839891390756,-32.61735557155589
AC,5536.912411630771,5550.21870201595,13.306290385178727
AD,4674.777691479871,4693.526798653024,18.74910717315379
AE,1459.2793628172387,1460.0932650535838,0.8139022363450295
AF,3196.0696072410005,3209.46723664352,13.39762940251967
AG,5760.702469295121,5785.1813615088895,24.47889221376863
AH,4860.01089695139,4808.219729991612,-51.79116695977791
BC,4571.094408056716,4544.990122269984,-26.104285786732362
BD,5437.495530718181,5480.711844719155,43.21631400097431
BE,3214.6668645737,3228.1287189630075,13.461854389307518
BF,1438.6837826946044,1435.2111102054596,-3.4726724891447702
BG,5003.545488251195,4996.622394465842,-6.923093785352648
BH,5659.977698054553,5654.922764845098,-5.054933209455157
CD,3123.133299028347,3057.309563774854,-65.8237352534934
CE,5670.774901279054,5734.670002764602,63.895101485548366
CF,4803.066106878616,4760.154589983002,-42.91151689561411
CG,1735.2157802622798,1713.4143487776844,-21.80143148459547
CH,3455.635989254498,3489.6994030681994,34.06341381370157
DE,5093.943982937109,5003.5611485450845,-90.38283439202405
DF,5593.208960148526,5633.425827711342,40.21686756281633
DG,3277.3742684590366,3305.5668641729185,28.19259571388193
DH,1525.5077073306318,1526.4870741314082,0.9793668007764609
EF,2791.1806489083565,2779.0814253314375,-12.09922357691903
EG,5605.087149552543,5542.771816118645,-62.31533343389856
EH,4572.759549727062,4660.9430800557275,88.18353032866526
FG,4657.452770511592,4699.973335369921,42.520564858329635
FH,5455.09136514955,5413.400067522137,-41.691297627413405
GH,2941.3277433196713,2933.0056223688134,-8.32212095085788
