a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,4365,100,4365,1,0
A,C,A,5087,100,5087,1,0
A,D,A,2724,100,2724,1,0
A,E,A,1642,100,1642,1,0
A,F,A,4620,100,4620,1,0
A,G,A,5147,100,5147,1,0
A,H,A,3142,100,3142,1,0
A,B,A,4339,100,4339,1,0
A,C,A,5070,100,5070,1,0
A,D,A,2764,100,2764,1,0
A,E,A,1612,100,1612,1,0
A,F,A,4626,100,4626,1,0
A,G,A,5172,100,5172,1,0
A,H,A,3148,100,3148,1,0
A,B,A,4308,100,4308,1,0
A,C,A,5087,100,5087,1,0
A,D,A,2764,100,2764,1,0
A,E,A,1661,100,1661,1,0
A,F,A,4614,100,4614,1,0
A,G,A,5173,100,5173,1,0
A,H,A,3143,100,3143,1,0
A,B,A,4242,100,4242,1,0
A,C,A,5087,100,5087,1,0
A,D,A,2825,100,2825,1,0
A,E,A,1632,100,1632,1,0
A,F,A,4632,100,4632,1,0
A,G,A,5132,100,5132,1,0
A,H,A,3151,100,3151,1,0
A,B,A,4347,100,4347,1,0
A,C,A,5078,93,5078,1,0
A,D,A,2825,100,2825,1,0
A,E,A,1602,100,1602,1,0
A,F,A,4629,100,4629,1,0
A,G,A,5151,100,5151,1,0
A,H,A,3169,100,3169,1,0
A,B,A,4281,100,4281,1,0
A,C,A,5082,93,5082,1,0
A,D,A,2772,100,2772,1,0
A,E,A,1590,100,1590,1,0
A,F,A,4633,100,4633,1,0
A,G,A,5111,100,5111,1,0
A,H,A,3103,100,3103,1,0
A,B,A,4302,100,4302,1,0
A,C,A,5087,94,5087,1,0
A,D,A,2754,100,2754,1,0
A,E,A,1585,100,1585,1,0
A,F,A,4606,100,4606,1,0
A,G,A,5165,100,5165,1,0
A,H,A,3161,100,3161,1,0
A,B,A,4284,100,4284,1,0
A,C,A,5092,94,5092,1,0
A,D,A,2757,100,2757,1,0
A,E,A,1655,100,1655,1,0
A,F,A,4648,100,4648,1,0
A,G,A,5174,100,5174,1,0
A,H,A,3121,100,3121,1,0
A,B,A,4269,100,4269,1,0
A,C,A,5102,94,5102,1,0
A,D,A,2778,100,2778,1,0
A,E,A,1603,100,1603,1,0
A,F,A,4596,100,4596,1,0
A,G,A,5132,100,5132,1,0
A,H,A,3116,100,3116,1,0
A,B,A,4324,100,4324,1,0
A,C,A,5082,95,5082,1,0
A,D,A,2747,100,2747,1,0
A,E,A,1565,100,1565,1,0
A,F,A,4598,100,4598,1,0
A,G,A,5178,100,5178,1,0
A,H,A,3124,100,3124,1,0
A,B,A,4320,100,4320,1,0
A,C,A,5074,95,5074,1,0
A,D,A,2763,100,2763,1,0
A,E,A,1556,100,1556,1,0
A,F,A,4642,100,4642,1,0
A,G,A,5199,100,5199,1,0
A,H,A,3150,100,3150,1,0
A,B,A,4325,100,4325,1,0
A,C,A,5073,95,5073,1,0
A,D,A,2797,100,2797,1,0
A,E,A,1618,100,1618,1,0
A,F,A,4657,100,4657,1,0
A,G,A,5136,100,5136,1,0
A,H,A,3176,100,3176,1,0
A,B,A,4277,100,4277,1,0
A,C,A,5078,95,5078,1,0
A,D,A,2784,100,2784,1,0
A,E,A,1591,100,1591,1,0
A,F,A,4581,100,4581,1,0
A,G,A,5120,100,5120,1,0
A,H,A,3164,100,3164,1,0
A,B,A,4287,100,4287,1,0
A,C,A,5075,95,5075,1,0
A,D,A,2795,100,2795,1,0
A,E,A,1583,100,1583,1,0
A,F,A,4612,100,4612,1,0
A,G,A,5177,100,5177,1,0
A,H,A,3155,100,3155,1,0
A,B,A,4364,100,4364,1,0
A,C,A,5046,96,5046,1,0
A,D,A,2829,100,2829,1,0
A,E,A,1623,100,1623,1,0
A,F,A,4612,100,4612,1,0
A,G,A,5149,100,5149,1,0
A,H,A,3153,100,3153,1,0
A,B,A,4351,100,4351,1,0
A,C,A,5065,96,5065,1,0
A,D,A,2750,100,2750,1,0
A,E,A,1612,100,1612,1,0
A,F,A,4622,100,4622,1,0
A,G,A,5164,100,5164,1,0
A,H,A,3102,100,3102,1,0
A,B,A,4287,100,4287,1,0
A,C,A,5087,96,5087,1,0
A,D,A,2732,100,2732,1,0
A,E,A,1599,100,1599,1,0
A,F,A,4643,100,4643,1,0
A,G,A,5127,100,5127,1,0
A,H,A,3144,100,3144,1,0
A,B,A,4263,100,4263,1,0
A,C,A,5098,96,5098,1,0
A,D,A,2770,100,2770,1,0
A,E,A,1626,100,1626,1,0
A,F,A,4584,100,4584,1,0
A,G,A,5111,100,5111,1,0
A,H,A,3115,100,3115,1,0
A,B,A,4250,100,4250,1,0
A,C,A,5097,96,5097,1,0
A,D,A,2710,100,2710,1,0
A,E,A,1618,100,1618,1,0
A,F,A,4584,100,4584,1,0
A,G,A,5144,100,5144,1,0
A,H,A,3126,100,3126,1,0
A,B,A,4352,100,4352,1,0
A,C,A,5126,96,5126,1,0
A,D,A,2779,100,2779,1,0
A,E,A,1551,100,1551,1,0
A,F,A,4608,100,4608,1,0
A,G,A,5154,100,5154,1,0
A,H,A,3160,100,3160,1,0
A,B,A,4329,100,4329,1,0
A,C,A,5077,96,5077,1,0
A,D,A,2783,100,2783,1,0
A,E,A,1579,100,1579,1,0
A,F,A,4576,100,4576,1,0
A,G,A,5161,100,5161,1,0
A,H,A,3139,100,3139,1,0
A,B,A,4297,100,4297,1,0
