sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-06T23:15:56.860950+00:00,0,0.0,1079.0,32607.0,36.0,6.98
2026-06-06T23:16:26.896274+00:00,0,98.0,18251.0,32607.0,41.0,145.7
2026-06-06T23:16:56.948362+00:00,0,98.0,18251.0,32607.0,42.0,142.64
2026-06-06T23:17:26.986188+00:00,0,99.0,18251.0,32607.0,42.0,138.37
2026-06-06T23:17:57.030056+00:00,0,98.0,13179.0,32607.0,42.0,143.08
2026-06-06T23:18:27.066862+00:00,0,98.0,16820.0,32607.0,43.0,146.1
2026-06-06T23:18:57.103448+00:00,0,98.0,18251.0,32607.0,43.0,146.0
2026-06-06T23:19:27.142727+00:00,0,97.0,16820.0,32607.0,43.0,144.99
2026-06-06T23:19:57.193879+00:00,0,98.0,18251.0,32607.0,43.0,146.17
2026-06-06T23:20:27.236229+00:00,0,98.0,18251.0,32607.0,43.0,146.7
2026-06-06T23:20:57.273861+00:00,0,98.0,13959.0,32607.0,44.0,145.31
2026-06-06T23:21:27.297628+00:00,0,98.0,6806.0,32607.0,44.0,142.66
