a,b,distance_mm,sigma_mm,var_mm2,n_ab,n_ba,mean_ab_mm,mean_ba_mm,bias_mm,high_bias
A,B,3717,20.053534997878486,402.1442659111373,500,500,3796.522,3656.0199999999995,140.50200000000058,True
A,C,2902,22.99245045925463,528.6527781212785,500,497,3045.26,2730.2394366197186,315.0205633802816,True
A,D,5622,42.20377088070198,1781.1582765507885,500,462,5694.622,5501.2835497835495,193.33845021645146,False
A,E,1663,21.717529966284186,471.6511078364516,500,499,1693.446,1619.1943887775553,74.25161122244472,False
A,F,4106,26.717114157417665,713.8041889004875,500,500,4083.754,4119.781999999999,36.02799999999906,False
A,G,3383,27.384427729862924,749.9068820920854,500,500,3476.546,3160.764,315.782,True
A,H,5221,24.409905527960284,595.8434878839461,500,495,5320.754,5011.48282828283,309.2711717171701,True
B,C,4600,22.563393257406776,509.10671528838964,500,497,4659.726,4576.116700201207,83.60929979879295,False
B,D,2860,14.367886960171317,206.43617570026095,500,462,2929.3579999999997,2832.192640692641,97.16535930735893,True
B,E,4279,24.04390402175578,578.1093206074037,500,500,4258.657999999999,4296.1,37.44200000000042,False
B,F,1835,33.86703373918158,1146.9759742908636,500,500,1785.498,1860.478,74.98000000000005,False
B,G,4991,32.23376671330297,1039.0157165276387,500,500,5063.778,4920.924,142.85399999999981,False
B,H,3178,20.262129096002024,410.5538755030518,500,495,3230.8320000000003,3105.4949494949497,125.33705050505084,True
C,D,4048,21.095149544511905,445.0053343053209,500,501,3957.3640000000005,4259.588822355289,302.224822355289,True
C,E,3179,26.717114157417033,713.8041889004536,497,500,3091.828973843058,3234.1620000000003,142.3330261569422,False
C,F,4906,12.779036673929713,163.3037783136406,497,500,4863.893360160966,5028.621999999999,164.72863983903352,True
C,G,1651,20.42279904469456,417.09072081997704,500,500,1650.866,1650.78,0.0860000000000305,False
C,H,4197,27.64817942816456,764.421825691982,500,500,4201.09,4193.416,7.673999999999737,False
D,E,5230,23.30949607915143,543.3326074639758,462,500,5152.064935064935,5266.379999999999,114.31506493506393,False
D,F,3420,15.255828139937028,232.7402922352945,462,500,3376.948051948052,3539.184,162.23594805194796,True
D,G,4318,19.20407095267302,368.79634115529973,501,500,4315.101796407186,4321.156,6.054203592814389,False
D,H,1522,28.806106429009365,829.7917675994146,501,500,1523.6586826347307,1520.7040000000002,2.954682634730421,False
E,F,3868,13.508086064001384,182.46838911246843,500,500,3906.456,3840.108,66.34799999999963,False
E,G,2851,24.48617292417301,599.5726644725034,500,500,2959.0860000000002,2767.5859999999993,191.50000000000088,True
E,H,4964,11.79273568298565,139.06861488876305,500,495,5108.598,4923.947474747473,184.65052525252634,True
F,G,4825,18.523457550083965,343.11847960976263,500,500,4896.9439999999995,4712.666,184.27799999999905,True
F,H,2877,16.947297504636378,287.2108927106544,500,495,3021.97,2834.1818181818185,187.78818181818124,True
G,H,3909,19.373354084857745,375.3268484972742,500,500,3916.5640000000003,3903.098,13.4660000000002,False
