a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,1784,90,1784,1,0
A,C,A,3021,100,3021,1,0
A,D,A,2566,100,2566,1,0
A,E,A,1749,100,1749,1,0
A,F,A,2514,100,2514,1,0
A,G,A,3278,100,3278,1,0
A,H,A,2757,90,2757,1,0
A,B,A,1805,91,1805,1,0
A,C,A,2999,100,2999,1,0
A,D,A,2531,100,2531,1,0
A,E,A,1734,100,1734,1,0
A,F,A,3236,100,3236,1,0
A,G,A,3271,100,3271,1,0
A,H,A,2784,91,2784,1,0
A,B,A,1783,92,1783,1,0
A,C,A,3013,100,3013,1,0
A,D,A,2558,100,2558,1,0
A,E,A,1667,100,1667,1,0
A,F,A,3176,100,3176,1,0
A,G,A,3231,100,3231,1,0
A,H,A,2808,92,2808,1,0
A,B,A,1751,92,1751,1,0
A,C,A,3042,100,3042,1,0
A,D,A,2549,100,2549,1,0
A,E,A,1657,100,1657,1,0
A,F,A,3234,100,3234,1,0
A,G,A,3225,100,3225,1,0
A,H,A,2838,92,2838,1,0
A,B,A,1786,93,1786,1,0
A,C,A,3014,100,3014,1,0
A,D,A,2549,100,2549,1,0
A,E,A,1709,100,1709,1,0
A,F,A,3254,100,3254,1,0
A,G,A,3232,100,3232,1,0
A,H,A,2786,93,2786,1,0
A,B,A,1778,93,1778,1,0
A,C,A,3046,100,3046,1,0
A,D,A,2560,93,2560,1,0
A,E,A,1658,100,1658,1,0
A,F,A,3251,100,3251,1,0
A,G,A,3249,100,3249,1,0
A,H,A,2825,93,2825,1,0
A,B,A,1765,94,1765,1,0
A,C,A,3035,100,3035,1,0
A,D,A,2521,94,2521,1,0
A,E,A,1716,100,1716,1,0
A,F,A,3277,100,3277,1,0
A,G,A,3240,100,3240,1,0
A,H,A,2806,94,2806,1,0
A,B,A,1778,94,1778,1,0
A,C,A,2943,100,2943,1,0
A,D,A,2566,94,2566,1,0
A,E,A,1750,100,1750,1,0
A,F,A,3278,100,3278,1,0
A,G,A,3212,100,3212,1,0
A,H,A,2801,94,2801,1,0
A,B,A,1812,94,1812,1,0
A,C,A,3055,100,3055,1,0
A,D,A,2544,94,2544,1,0
A,E,A,1669,100,1669,1,0
A,F,A,2845,100,2845,1,0
A,G,A,3196,100,3196,1,0
A,H,A,2787,94,2787,1,0
A,B,A,1772,95,1772,1,0
A,C,A,2991,100,2991,1,0
A,D,A,2559,95,2559,1,0
A,E,A,1682,100,1682,1,0
A,F,A,3268,100,3268,1,0
A,G,A,3212,100,3212,1,0
A,H,A,2818,95,2818,1,0
A,B,A,1785,95,1785,1,0
A,C,A,2997,100,2997,1,0
A,D,A,2577,95,2577,1,0
A,E,A,1751,100,1751,1,0
A,F,A,3264,100,3264,1,0
A,G,A,3260,100,3260,1,0
A,H,A,2764,95,2764,1,0
A,B,A,1791,95,1791,1,0
A,C,A,3027,100,3027,1,0
A,D,A,2585,95,2585,1,0
A,E,A,1751,100,1751,1,0
A,F,A,3243,100,3243,1,0
A,G,A,3238,100,3238,1,0
A,H,A,2844,95,2844,1,0
A,B,A,1791,95,1791,1,0
A,C,A,3024,100,3024,1,0
A,D,A,2564,95,2564,1,0
A,E,A,1751,100,1751,1,0
A,F,A,2851,100,2851,1,0
A,G,A,3263,100,3263,1,0
