node,status,assignment
BSF3C79,trajectory_retained_not_used_for_fit,Knee_R
BSFC2CC,trajectory_retained_not_used_for_fit,Elbow_R
BSF44AD,trajectory_retained_not_used_for_fit,Knee_L
BSF6C53,trajectory_retained_not_used_for_fit,Ankle_L
BSF8BC4,trajectory_retained_not_used_for_fit,Ankle_R
BSF1120,trajectory_retained_not_used_for_fit,Pelvis
BSF31CC,trajectory_retained_not_used_for_fit,Central
BSFAA61,trajectory_retained_not_used_for_fit,Elbow_L
BSFB165,trajectory_retained_not_used_for_fit,Wrist_L
BSFEC35,trajectory_retained_not_used_for_fit,Wrist_R
